Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	15_R1	15_R2	15_R3	Entity	Symbol
gene-PA2589	12	13	24	4	10	119	1	2	19	0	0	203	host	gene-PA2589
gene-PA1795	1379	1066	304	865	1203	489	190	188	41	93	57	246	host	cysS
gene-PA2468	785	474	20	25	30	38	10	7	6	4	4	86	host	foxI
gene-PA4119	14	15	14	17	21	96	9	4	10	6	3	175	host	aph
gene-PA2246	30	21	8	9	21	101	1	2	8	0	2	72	host	bkdR
gene-PA1033	22	20	28	13	11	125	3	4	15	3	1	122	host	gene-PA1033
gene-PA2214	3	2	21	3	1	222	0	2	23	0	0	306	host	gene-PA2214
gene-PA3210	25	18	37	14	25	323	7	3	33	2	8	253	host	trkH
gene-PA4724	66	42	25	179	40	97	8	5	15	2	2	177	host	gene-PA4724
gene-PA5368	46	37	19574	42	61	551	23	27	25106	24	9	859	host	pstC
gene-PA1496	17	24	13	9	13	121	0	1	15	3	4	110	host	gene-PA1496
gene-PA3978	53	53	66	36	59	138	15	14	388	8	10	815	host	gene-PA3978
gene-PA3440	56	46	36	33	40	111	8	6	21	3	3	95	host	gene-PA3440
gene-PA2568	110	65	31	43	74	73	8	15	10	4	5	46	host	gene-PA2568
gene-PA3091	244	166	38	68	83	176	16	16	16	11	8	176	host	gene-PA3091
gene-PA0504	40	35	13	40	67	63	13	11	1376	3	1	100	host	bioD
gene-PA4546	65	52	612	44	67	312	14	9	8410	6	6	491	host	pilS
gene-PA0925	24	14	18	26	28	106	3	8	22	11	4	121	host	gene-PA0925
gene-PA5178	1018	949	273	514	609	444	131	154	297	62	59	256	host	gene-PA5178
gene-PA5205	105	81	71	17	35	191	1	11	45	8	2	186	host	gene-PA5205
gene-PA1439	35	31	16	22	26	48	8	6	8	2	6	53	host	gene-PA1439
gene-PA1503	7	4	8	4	3	47	1	0	5	0	0	61	host	gene-PA1503
gene-PA0730	75	67	525	36	60	340	9	6	1966	9	2	179	host	gene-PA0730
gene-PA1695	45	13	11	14	8	65	6	6	6	1	4	81	host	pscP
