Geneid	5_R1	5_R2	15_R1	15_R2	35_R1	35_R2	Entity	Symbol
gene-PA1436	15	12	2	15	0	11	host	gene-PA1436
gene-PA0115	16	8	6	6	0	6	host	gene-PA0115
gene-PA0708	4	9	1	2	2	5	host	gene-PA0708
gene-PA1549	16	11	6	12	2	7	host	gene-PA1549
gene-PA1367	11	7	1	3	2	7	host	gene-PA1367
gene-PA1805	62	39	6	11	4	11	host	ppiD
gene-PA4372	11	10	3	15	3	8	host	gene-PA4372
gene-PA1874	40	18	14	25	4	16	host	gene-PA1874
gene-PHIKZ067	12	19	1769	1021	254	611	phage	gene-PHIKZ067
gene-PA4890	11	16	10	11	3	4	host	desT
gene-PA0380	8	15	6	3	3	3	host	gene-PA0380
gene-PA5256	7	7	2	5	0	5	host	dsbH
gene-PA1428	1	0	0	4	0	0	host	gene-PA1428
gene-PA3826	10	9	4	4	2	1	host	gene-PA3826
gene-PA4457	36	29	19	22	8	31	host	gene-PA4457
gene-PA4723	116	93	49	40	11	18	host	dksA
gene-PA1651	8	4	2	1	1	5	host	gene-PA1651
gene-PA0451	6	11	1	10	3	9	host	gene-PA0451
gene-PA2559	9	4	2	7	0	3	host	gene-PA2559
gene-PA2677	12	8	4	4	3	8	host	gene-PA2677
gene-PA4304	16	12	2	3	1	7	host	rcpA
gene-PA0346	7	6	2	6	2	2	host	gene-PA0346
gene-PA1532	51	34	8	11	5	19	host	dnaX
gene-PA2662	9	7	0	3	0	3	host	gene-PA2662
gene-PA1158	12	12	1	10	1	6	host	gene-PA1158
gene-PA0348	11	14	5	7	0	7	host	gene-PA0348
gene-PA1480	32	17	4	8	5	18	host	ccmF
gene-PA1946	11	12	7	11	2	9	host	rbsB
gene-PA5355	10	9	3	9	0	9	host	glcD
gene-PA3550	8	4	0	6	0	5	host	algF
gene-PA4949	29	14	14	15	7	9	host	gene-PA4949
gene-PA5030	23	12	14	12	12	8	host	gene-PA5030
gene-PA0108	21	20	6	10	1	8	host	coIII
gene-PA4693	1158	24	18	10	8	11	host	pssA
gene-PA3614	13	16	5	11	1	13	host	gene-PA3614
gene-PA0994	11	15	2	9	3	17	host	cupC3
gene-PA3736	23	30	11	8	4	11	host	hom
gene-PA5340	16	14	4	3	1	5	host	gene-PA5340
gene-PA5112	19	16	11	12	2	15	host	estA
gene-PA2747	2	3	6	3	0	1	host	gene-PA2747
gene-PA0116	11	8	3	2	1	2	host	gene-PA0116
gene-PA4176	13	6	1	3	1	1	host	ppiC2
gene-PA0030	5	4	2	6	2	4	host	gene-PA0030
gene-PA0192	34	31	7	39	5	19	host	gene-PA0192
gene-PA4704.2	46	61	22	20	19	17	host	prrF2
gene-PA3073	6	6	3	4	1	3	host	gene-PA3073
gene-PA5380	15	15	9	5	4	8	host	gbdR
gene-PA1142	8	3	3	1	0	3	host	gene-PA1142
gene-PA0043	15	16	8	9	1	13	host	gene-PA0043
gene-PA3569	5	2	0	9	2	7	host	mmsB
gene-PA0751	12	3	4	1	0	4	host	gene-PA0751
gene-PA4720	20	11	7	11	2	13	host	trmA
