Geneid	0_R1	0_R2	10_R1	10_R2	35_R1	35_R2	Entity	Symbol
gene-PA3821	22	79	20	15	14	11	host	secD
gene-PA1715	3	22	0	0	0	1	host	pscB
gene-PA2803	7	2	0	0	0	0	host	gene-PA2803
gene-PA5220	7	7	0	0	0	0	host	gene-PA5220
gene-PA3642	9	13	0	0	0	0	host	rnhB
gene-PA0413	95	122	3	3	1	1	host	chpA
gene-PA0975	23	80	1	0	3	0	host	gene-PA0975
gene-PA0615	7	3	3	5	8	10	host	gene-PA0615
gene-PA1578a	1	11	1	0	0	0	host	gene-PA1578a
gene-PA2402	85	34	13	12	17	10	host	gene-PA2402
gene-PA2496	3	4	0	0	0	0	host	gene-PA2496
gene-PA1420	3	2	2	1	1	1	host	gene-PA1420
gene-PA5016	34	87	6	5	5	4	host	aceF
gene-PHIKZ060	2	2	5071	5177	2690	2667	phage	gene-PHIKZ060
gene-PA2021	1	3	0	0	0	0	host	gene-PA2021
gene-PA5553	23	64	6	3	1	0	host	atpC
gene-PA0768	19	49	24	16	7	9	host	lepB
gene-PA4166	2	1	0	0	0	0	host	gene-PA4166
gene-PA2032	6	12	0	1	3	1	host	gene-PA2032
gene-PA2393	7	3	0	0	1	1	host	gene-PA2393
gene-PA3366.1	9	95	1	1	0	0	host	amiL
gene-PA2135	4	1	2	3	0	5	host	gene-PA2135
gene-PA0255	14	8	0	0	0	0	host	gene-PA0255
gene-PA0298	18	8	13	8	14	8	host	spuB
gene-PA2014	10	10	2	2	3	0	host	liuB
gene-PA0221	13	12	0	0	0	0	host	gene-PA0221
gene-PA4597	11	5	1	0	0	0	host	oprJ
gene-PA2341	6	4	1	0	0	1	host	gene-PA2341
gene-PA2551	5	6	1	3	2	3	host	gene-PA2551
gene-PA0783	13	17	36	38	26	27	host	putP
gene-PA1076	2	9	0	0	0	0	host	gene-PA1076
gene-PA3467	12	7	0	0	1	5	host	gene-PA3467
gene-PA2017	7	3	0	0	0	0	host	gene-PA2017
gene-PHIKZ241	1	1	347	319	133	124	phage	gene-PHIKZ241
gene-PA1008	5	21	0	0	1	2	host	bcp
gene-PA2435	9	10	0	0	0	0	host	gene-PA2435
gene-PA3480	12	62	3	2	1	1	host	gene-PA3480
gene-PA4123	18	5	1	0	0	0	host	hpcC
gene-PA3204	10	10	1	1	0	0	host	gene-PA3204
gene-PA5542	15	6	1	1	1	1	host	gene-PA5542
gene-PA1866	10	10	1	1	0	1	host	gene-PA1866
gene-PA2287	5	3	0	0	0	0	host	gene-PA2287
gene-PA0966	6	14	2	3	2	2	host	ruvA
gene-PA5214	7	22	2	0	3	0	host	gcvH1
gene-PA2392	6	7	0	0	0	1	host	pvdP
gene-PA2291	9	15	1	0	0	0	host	gene-PA2291
gene-PA5328	5	0	1	0	0	1	host	gene-PA5328
gene-PA1231	6	2	0	0	0	1	host	gene-PA1231
gene-PA1044	1	2	0	0	2	0	host	gene-PA1044
gene-PA0676	4	4	21	7	15	24	host	vreR
gene-PA4225	29	21	19	17	15	31	host	pchF
gene-PA4118	17	10	1	0	0	0	host	gene-PA4118
gene-PA4181	9	3	1	0	0	0	host	gene-PA4181
gene-PA1807	7	11	1	1	1	1	host	gene-PA1807
gene-PA1330	9	7	0	0	0	0	host	gene-PA1330
gene-PA2495	8	1	0	0	0	0	host	oprN
gene-PA3782	7	6	0	0	1	0	host	gene-PA3782
gene-PA0441	19	9	0	0	3	1	host	dht
gene-PA3789	11	11	0	0	0	1	host	gene-PA3789
gene-PA3110	10	10	4	1	1	2	host	gene-PA3110
gene-PA0588	13	22	9	19	8	13	host	gene-PA0588
gene-PA1726	16	25	1	1	3	1	host	bglX
gene-PA1490	1	1	1	1	0	0	host	gene-PA1490
gene-PA2321	2	11	0	1	0	0	host	gene-PA2321
gene-PA3726	6	5	0	0	1	0	host	gene-PA3726
gene-PA2583.1	93	539	2	1	4	7	host	gene-PA2583.1
gene-PA1112b	6	48	0	0	0	0	host	gene-PA1112b
gene-PA2754	4	1	1	1	0	0	host	gene-PA2754
gene-PA4324	6	14	0	1	1	1	host	gene-PA4324
gene-PA0564	13	6	4	2	8	5	host	gene-PA0564
gene-PA3364	7	9	26	13	29	18	host	amiC
gene-PA0895	10	42	0	0	0	0	host	aruC
gene-PA2166	3	1	0	2	2	3	host	gene-PA2166
gene-PA0543	6	2	0	0	0	0	host	gene-PA0543
gene-PA3133.3	12	116	0	0	0	0	host	gene-PA3133.3
gene-PA5099	15	3	0	0	2	3	host	gene-PA5099
gene-PA4947	34	75	38	35	45	43	host	amiB
gene-PA2662	7	0	0	0	0	1	host	gene-PA2662
gene-PA1286	6	1	1	2	5	4	host	gene-PA1286
gene-PHIKZ219	0	2	2658	2498	2534	2705	phage	gene-PHIKZ219
gene-PA0482	31	18	4	4	1	1	host	glcB
gene-PA1767	15	34	12	13	16	12	host	gene-PA1767
gene-PA1198	21	161	2	0	1	0	host	gene-PA1198
gene-PHIKZ_p25	0	0	168	148	47	48	phage	gene-PHIKZ_p25
gene-PA3833	7	4	2	0	0	2	host	gene-PA3833
gene-PA1131	6	9	0	0	0	1	host	gene-PA1131
gene-PA1848	8	5	0	0	0	0	host	gene-PA1848
gene-PA2911	29	19	1	1	0	0	host	gene-PA2911
