Geneid	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier	0_T	2.5_T	5_T	10_T	20_T	30_T	classification
gene-T7p48	phage	gene-T7p48	1.2795702126886408	0	0	0	0.137962267747277	22.0	1.0217820653814165	282.5743813441648	1887.3751224097646	2195.0430795209654	late
gene-T7p43	phage	gene-T7p43	1.1402104267313535	0	0	0	1.1220596572997261	80.5	4.05782004619258	5325.042657354845	15063.794699446325	9860.124151474722	middle
gene-T7p49	phage	gene-T7p49	1.2726643909739594	0	0	0	0.2332482683016699	39.5	1.5711743251327923	494.0843879441002	3291.527889748986	3581.579441457738	late
gene-T7p05	phage	gene-T7p05	1.1952936693636482	0	0	0	0.0982626188293255	18.0	283.8189649654412	1487.0135096749575	357.0780215540027	373.0821088158501	early
gene-T7p47	phage	gene-T7p47	1.434259925258725	0	0	0	1.2391855971224743	133.0	8.22140365086369	1164.315373437009	15408.195310592491	27509.30458986666	late
gene-T7p55	phage	gene-T7p55	1.343902916989094	0	0	0	0.26351625672291007	31.0	1.271278709117904	348.92839867579136	2846.285041798439	4154.005241830917	late
gene-T7p38	phage	gene-T7p38	1.1834581355964258	0	0	0	0.4262950820134752	25.0	1.194926623889777	2726.4451137887345	7394.271389432191	3485.7233677918366	middle
gene-T7p19	phage	gene-T7p19	1.1987967652365716	0	0	0	0.1870935771619398	23.0	0.46146761375212	464.6447364991871	2010.8008132976802	1680.4639226372537	middle
gene-T7p36	phage	gene-T7p36	1.2047626792565955	0	0	0	0.3493705967805917	18.0	0.6973373321205363	987.2296908186001	3982.2185156715323	2694.71405792127	middle
gene-T7p39	phage	gene-T7p39	1.1849899248679243	0	0	0	0.7215847441733652	31.5	1.8043393100110579	3100.561055258261	10118.388554264984	5888.059289178411	middle
gene-T7p52	phage	gene-T7p52	1.5021892330493187	0	0	0	1.454574155774548	140.0	10.032556423558786	690.8286691743713	14843.727552846554	31083.026927582752	late
gene-T7p33	phage	gene-T7p33	1.2595990749430914	0	0	0	0.5578023075389738	19.5	1.2780921718019398	1706.2848363629844	7165.042097463745	3609.228413463913	middle
gene-T7p42	phage	gene-T7p42	1.2593981789215751	0	0	0	3.9160550359571804	166.0	12.673960679671769	7882.271961449427	48704.269683910665	46008.7497044163	middle
gene-T7p41	phage	gene-T7p41	1.2303618105605871	0	0	0	0.5548256892640411	40.5	3.651613760723272	2668.5843837047823	12913.639799864495	9778.997853213126	middle
gene-T7p07	phage	gene-T7p07	1.0762415412503052	0	0	0	0.4267968876853884	98.5	271.1641439360351	5557.701043482395	2742.5416952496435	2461.5124977919295	early
gene-T7p26	phage	gene-T7p26	1.0969995311948757	0	0	0	0.3925486696453891	14.0	0.8370649461019267	3286.6888592010164	5482.860391421029	2636.961766555215	middle
