Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Outlier
gene-b1783	237.45111613775953	294.4361596773848	4854	4885	64.59530659411985	83.09561628558906	31.694975732895195	38.07203228508338	17.7245803091658	18.58907797740928	56.4623015111223	54.32989860290116	host	yeaG	0.9771537100419272	0	1
gene-b1217	16.23157954421431	17.84648057402897	420	275	10.609573950576854	12.372113956977257	5.396098019041296	5.123833987259943	1.9753297332504052	0.9825094068398139	3.5614682491630987	4.121849243717213	host	chaB	0.7416202887072576	0	1
gene-b2913	1245.1310769821953	1529.6895435470278	20459	19255	253.92637764585044	291.3520363104899	279.4610763545598	260.9912400599242	284.1805451376191	288.8577656109053	388.02630900028197	415.6394265950271	host	serA	0.8554517827926365	0	1
gene-b0334	1.7627054708649021	2.5846627038248853	87	41	0.762013598660216	1.3946746642410726	1.2496226991464054	0.9728798709987235	1.014358511669127	0.9039086542926288	0.4777579358633425	1.6879954045699062	host	prpD	0.596610528017679	0	1
gene-b2054	0.47739939835924433	0.8000146464219883	22	8	0.4103150146631932	0.4948845582790903	0.3408061906762924	0.1945759741997447	0.24024280539531953	0.07860075254718511	0.21716269811970113	0.19627853541510534	host	wcaF	0.689202437604511	0	1
gene-b3462	213.32408500529618	186.61880117497535	5713	4870	158.9091435359881	176.67378730563522	115.64690070282188	114.63767813268292	44.818630028749055	42.7588093856687	35.87527772937463	38.47059294136065	host	ftsX	0.583153586478765	0	1
gene-b0586	948.8129427236767	1194.2680181375626	28266	30291	438.8025999669521	531.7759526235316	27.26449525410339	27.24063638796426	7.020428646552116	6.602463213963549	4.821011898257365	7.262305810358898	host	entF	1.1606335942900223	0	1
gene-b4167	131.21138848750616	122.55608987302998	3373	2965	74.97041482203201	90.20395812268873	49.30329558450364	51.724779808098795	26.29324036826553	22.00821071321183	30.142182499014517	28.067830564360065	host	nnr	0.6410686288041799	0	1
gene-b0029	207.77890737820036	179.20328079852538	6648	5574	195.0754812570153	229.67142454679598	113.88606871766105	109.25440951315665	44.65846815848551	48.06436018260369	38.26406740869134	35.91897198096428	host	ispH	0.5872597188122014	0	1
gene-b4437	47.00547922306406	55.50870854404872	791	656	36.049104859694836	15.611358338440393	37.65908406973031	17.83613096830993	8.99575837980252	10.61110159386999	13.24692458530177	11.698200710740279	host	sibB	0.6688259857767854	0	1
gene-b3502	10.245725549402245	10.584809168044767	273	183	5.627177343952364	6.568467773522471	5.964108336835117	4.053666129161348	3.1498501151830784	2.475923705236331	2.692817456684294	3.3759908091398123	host	arsB	0.57084158722041	0	1
gene-b4611	150.56442563637705	152.80279746659977	3619	2452	99.53069927115745	68.83394310609165	103.77548506093103	73.5172889184702	32.67302153376346	37.88556272774322	36.743928521853434	38.78463859802482	host	sibE	0.5844987579632467	0	1
gene-b0440	588.4865660543762	556.5948053510517	14639	11732	497.8293456477857	397.3473107928114	324.39069249205096	369.59706299241503	164.2459979552668	168.2842112035233	154.7067061404751	146.34527600550254	host	hupB	0.5090564871349698	0	1
gene-b3200	122.94870659282692	144.1872551205168	4831	3250	117.58455991633794	146.6657872718031	79.74864861825242	90.89940928031406	33.39374994994942	31.24379913750608	32.74813487645093	34.034698040979265	host	lptA	0.5769937765304678	0	1
gene-b4321	2.901119420798485	4.061612820296248	156	101	3.575602270636398	3.1492653708669383	2.612847461851575	2.4321996774968087	1.6816996377672369	1.6113154272172947	1.0423809509745654	2.708643788728454	host	gntP	0.4699628290279306	0	1
gene-b3632	80.31326801628211	97.63255665757572	3505	1646	97.77220635117233	98.25707957104846	57.70984828785218	61.29143187291958	17.938129469517193	17.134964055286353	14.984226170259378	16.91920975278208	host	waaQ	0.6363342727713814	0	1
gene-b2448	1.615813348292827	2.0615762042412773	42	21	0.8206300293263864	0.5398740635771894	0.1704030953381462	0.7134452387323972	0.5071792558345635	0.31440301018874045	0.5211904754872827	1.2954383337396953	host	yffQ	0.7161751505324514	0	1
gene-b4791	0.7344606128603759	0.5230864995836078	17	11	0.2930821533308523	0.3149265370866938	0.795214444911349	0.6485865806658156	0.4270983207027903	0.19650188136796276	0.1737301584957609	0.31404565666416856	host	yriA	0.4823265376162594	0	1
gene-b0633	78.9177928518474	75.90908202780942	1690	1529	58.7336635275028	57.091682223287776	56.6874297158233	49.2601508015687	23.116696608038524	23.462324635334756	19.28404759302946	17.625812480276462	host	rlpA	0.497272526792362	0	1
gene-b0616	3.1581806352996167	3.3231377620605667	63	39	1.2309450439895797	1.5746326854334691	1.1928216673670233	0.8755918838988511	1.0410521567130513	0.9432090305662213	1.2161111094703263	1.5702282833208427	host	citE	0.5968501628809906	0	1
gene-b3388	294.29836757315263	286.5283225954444	10457	8416	253.69191192318576	313.35190440126036	188.57942550754845	200.34839476767044	69.02976608358848	68.6184569736926	54.203809450677404	53.30925021874261	host	damX	0.593891956162977	0	1
gene-b0623	2583.3183136138005	2737.0039543800876	71149	59901	3107.3742224750285	2058.3148568933325	2007.0644579244654	2326.3503475321477	802.7046001158504	802.6708850118544	634.8534316831343	639.2006784328321	host	cspE	0.4949387197920994	0	1
gene-b2086	48.14389317299764	53.4779021339006	1188	1085	28.722051026423525	30.952779645092193	12.780232150360964	14.852632697247179	5.899295554707291	5.895056441038883	9.64202379651473	9.970949599087351	host	yegS	0.761201244281624	0	1
gene-b3067	418.8261644836294	484.5319475848865	20639	12309	931.0047682707855	1012.7587537655091	501.72351370728177	584.2467918637667	110.858707867418	112.9099810340314	79.00378957594727	78.86471552978934	host	rpoD	0.6251813179033078	0	1
gene-b2153	50.64105925672292	50.277843548212644	1173	1052	38.1006799330108	38.73596406166334	24.254040569796143	32.429329033290784	10.357134277042665	12.77262228891758	13.59438490229329	12.718849094898827	host	folE	0.5511907419947452	0	1
gene-b0770	0.9180757660754699	2.1231157924275843	54	19	1.1137121826572387	0.764821590067685	0.6248113495732027	0.6485865806658156	0.5605665459224123	0.353703386462333	0.3474603169915218	0.7851141416604214	host	ybhI	0.723048943583378	0	1
gene-b0288	6.646868546386402	5.907800465885452	187	159	3.575602270636398	3.824107950338425	3.2944598432041596	2.8213516258962983	2.0020233782943295	2.043619566226813	2.2150595208209514	2.904922324143559	host	ykgJ	0.5167447610943672	0	1
gene-b1600	4.002810340089049	3.9693034380167878	152	137	4.454848730628955	4.318992508617515	3.6920670656598342	3.3726502194622414	0.9876648666252026	1.2183116644813692	0.9989484113506252	1.059904091241569	host	mdtJ	0.5328125907848037	0	1
gene-b0787	3.96608730944603	4.4616201435072425	153	98	4.044533715965762	3.05928636027074	2.3856433347340467	2.4970583355633904	0.6139538360102611	0.9432090305662213	1.0858134905985057	1.2169269195736532	host	ybhM	0.6141181483447203	0	1
gene-b1658	166.20843669030307	143.17185191544274	2523	2101	69.10877175541498	63.975076533896946	82.13429195298647	92.71545170617834	24.878477180937534	24.75923705236331	20.97791663836313	18.921250814016155	host	purR	0.7200933332798681	0	1
gene-b4604	0.18361515321509397	0.24615835274522715	7	4	0.0	0.0	0.11360206355876414	0.09728798709987235	0.10677458017569758	0.0	0.21716269811970113	0.15702282833208428	host	yojO	0.723746864455746	0	1
gene-b4763	188.68293144383057	204.9268286604016	4201	3206	125.43916162560478	117.3326298174425	134.56164428535612	112.20547845518611	61.395383601026104	70.7406772924666	73.44442450408292	70.85655128485303	host	sroC	0.4713614625824596	0	1
gene-b2470	17.296547432861853	19.41574007277979	540	405	10.316491797246002	13.946746642410726	10.621792942744447	9.46936407772091	4.61800059259892	3.615634617170515	4.212956343522202	5.613566112872014	host	acrD	0.591314363156688	0	1
gene-b0979	29.85582391277428	24.400446715870643	681	636	16.998764893189435	18.31072865632634	9.485772307156806	9.274788103521164	4.217595916940054	3.9300376273592557	3.5180357095391583	4.828451971211591	host	appB	0.708501947773038	0	1
gene-b3919	603.4695625567279	683.3663570148437	16971	13978	456.6219948894679	491.78028241352143	278.43865778253087	313.26731846158896	131.78652558185473	127.41181987898706	138.2023410833778	131.46736302103756	host	tpiA	0.6237437718179256	0	1
gene-b0957	1598.002678430963	1399.4717749448027	27391	26496	1356.7945206298477	953.8674913302974	606.6918204355799	1047.888909052725	281.72472979357804	318.9225534602036	317.92619004724247	246.91839755220255	host	ompA	0.6027002637189752	0	1
gene-b2528	433.9927761391961	407.60746235200304	9932	7679	264.9462666110905	244.4279822845725	106.61553664990014	113.89180356491723	48.155335659239604	39.143174768498184	63.71553562832031	52.99520456207845	host	iscA	0.7876175276293426	0	1
gene-b4084	7.087544914102628	8.584772551989797	177	129	4.630698022627467	5.533709151666192	4.771286669468093	3.6645141807618584	2.375734408909271	2.200821071321183	2.084761901949131	2.0020410612340744	host	alsK	0.5556181608113906	0	1
gene-b3094	51.70602714537046	57.01642845461324	1283	1004	32.180420435727584	33.24724441529525	29.47973549349929	28.926961497695377	15.85602515609109	15.955952767078577	13.50751982304541	15.38823717654426	host	exuR	0.5505380863671417	0	1
gene-b4572	2.460443053082259	3.35390755615372	117	53	1.7584929199851138	2.02452773841446	2.2152402393959005	1.1674558451984682	1.3079886071522953	1.1004105356605915	1.1292460302224459	1.6487396974868849	host	ylbE	0.5402840942366783	0	1
gene-b0775	248.17424108552103	255.94314726684993	4564	4494	97.77220635117233	106.7151065670911	84.80394044661743	85.41885267368792	67.081129995382	77.34314050643015	93.5102578103433	90.83770619011077	host	bioB	0.6047140139122453	0	1
gene-b0905	150.0870262380178	118.43293746454742	5018	3809	177.72501777982885	181.93755942551283	138.48091547813348	171.0322813215756	37.47787764166985	40.00778304651722	22.28089282708134	21.55138318857857	host	ycaO	0.5575520524270559	0	1
gene-b2839	9.290926752683756	9.446326786598092	279	225	5.920259497283216	7.513247384782552	4.884888733026858	4.540106064660709	2.4825089890849688	2.475923705236331	2.3887896793167123	3.2974793949737697	host	lysR	0.5557503083690698	0	1
gene-b2791	14.285258920134313	12.861773930938119	683	467	26.31877736911054	24.114374839781124	8.860960957583602	10.604390593886086	2.642670859348515	2.6724255866042936	2.0413293623251905	2.8656666170605383	host	truC	0.6628486689898152	0	1
gene-b4129	35.87840093822936	44.708510817351886	958	635	21.922545069147752	25.599028514618396	14.200257944845516	16.020088542445645	7.2339778069035106	7.781474502171326	9.555158717266849	9.382113992842037	host	lysU	0.6810504306697419	0	1
gene-b2723	2.8643963901554663	4.061612820296248	120	53	1.7584929199851138	1.889559222520163	1.9880361122783723	0.8755918838988511	1.1211330918448246	0.7467071491982585	0.9120833321027447	2.0805524754001166	host	hycC	0.6568572734330774	0	1
gene-b2225	4.149702462661124	3.9693034380167878	144	88	2.4618900879791594	3.1492653708669383	3.408061906762924	2.529487664596681	1.2546013170644466	1.7292165560380723	0.781785713230924	1.6879954045699062	host	yfaP	0.5096184996640624	0	1
gene-b4673	0.44067636771622554	0.6153958818630679	17	19	0.35169858399702275	0.3149265370866938	0.05680103177938207	0.22700530323303547	0.13346822521962196	0.039300376273592556	0.043432539623940225	0.03925570708302107	host	ymjD	0.8548002036998451	0	1
gene-b1530	7.895451588249041	10.000183080274853	452	257	13.012847607889842	11.652281872207672	9.712976434274333	10.34495596161976	5.979376489839064	5.462752302029365	4.386686502017963	4.435894900381381	host	marR	0.4109581224223531	0	1
gene-b0306	2.276827899867165	2.5231231156385783	67	29	1.6412600586527728	1.6196221907315682	1.2496226991464054	0.9404505419654327	0.5605665459224123	0.5502052678302958	0.8252182528548643	1.5309725762378217	host	ykgE	0.5520211587374867	0	1
gene-b0741	573.5035695520245	585.3953326222434	16881	12576	570.6309525351694	549.0519226580016	395.2783801527198	434.55300904609646	164.61970898588174	160.62063783017277	125.60690459243514	114.54815326825549	host	pal	0.5235458841121162	0	1
gene-b2508	543.6844686698932	458.34685281161296	10414	8135	245.0752966152587	242.62840207264853	396.8120080107631	394.24335305771604	193.39545834323224	175.35827893277	113.53265857697976	99.86651881920561	host	guaB	0.5361030995004364	0	1
gene-b0644	9.327649783326775	11.50790299083937	208	192	3.2825201173055456	3.824107950338425	1.9880361122783723	2.237623703297064	1.6016187026354636	1.2576120407549618	3.127142852923696	3.807803587053044	host	ybeQ	0.7951599668577731	0	1
gene-b0800	78.51383951477419	68.24740329861423	1536	1365	33.9389133557127	38.64598505106714	22.663611679973446	25.23001798790023	17.697886664121874	17.252865184107133	22.28089282708134	20.020410612340747	host	ybiB	0.6268048115221144	0	1
gene-b2076	18.21462319893732	20.769611012878542	615	526	16.295367725195387	19.795382331163612	12.439425959684673	13.425742219782384	5.231954428609181	4.558843647736737	3.257440471795517	3.6507807587209595	host	mdtC	0.5808320361966939	0	1
