Geneid	Ctrl_R1	Ctrl_R2	Ctrl_R3	0_R1	0_R2	0_R3	2_R1	2_R2	2_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	20_R1	20_R2	20_R3	30_R1	30_R2	30_R3	Entity	Symbol
gene-NWMN_RS01500	76	36	72	73	62	77	83	35	72	41	40	52	19	47	36	50	14	41	66	28	20	host	gene-NWMN_RS01500
gene-NWMN_RS09200	271	270	494	369	473	355	365	328	315	276	291	269	161	248	124	140	142	139	115	120	76	host	gene-NWMN_RS09200
gene-NWMN_RS12215	50	33	144	87	110	132	104	69	101	66	84	67	42	71	43	51	45	48	54	39	38	host	alsS
gene-NWMN_RS11770	690	552	481	484	512	393	542	398	441	376	300	251	206	457	123	189	172	119	144	132	50	host	gene-NWMN_RS11770
gene-NWMN_RS15260	2	4	5	9	7	3	5	5	2	3	4	3	4	6	1	3	0	3	2	1	1	host	gene-NWMN_RS15260
gene-CPT_phageK_gp066	1	1	3	0	7	6	118	19	407	872	144	1747	1522	1776	1801	1659	1884	1403	939	830	715	phage	gene-CPT_phageK_gp066
gene-CPT_phageK_gp079	0	0	0	0	7	7	121	24	549	788	130	1635	966	1120	939	771	744	825	456	325	432	phage	gene-CPT_phageK_gp079
gene-NWMN_RS03275	186	158	336	260	270	226	245	225	227	196	224	156	71	207	84	97	91	78	110	72	49	host	gene-NWMN_RS03275
gene-NWMN_RS00860	3792	977	2637	2232	1593	1568	3828	1611	2059	1761	1431	605	833	1887	343	788	590	368	832	723	187	host	gene-NWMN_RS00860
gene-NWMN_RS06375	491	247	912	702	717	631	737	683	635	394	579	378	198	277	173	237	163	182	255	200	118	host	gene-NWMN_RS06375
gene-NWMN_RS04035	170	108	115	104	109	94	145	96	96	89	97	65	49	109	28	53	21	28	45	29	16	host	gene-NWMN_RS04035
gene-NWMN_RS01115	892	683	1065	901	1033	537	662	449	383	455	486	335	141	191	174	139	76	138	190	82	99	host	gene-NWMN_RS01115
gene-NWMN_RS10440	637	466	1244	896	990	1028	981	795	851	727	787	571	338	601	266	322	299	204	324	1244	143	host	gene-NWMN_RS10440
gene-NWMN_RS14640	15	3	27	22	21	30	26	15	26	12	17	28	14	18	10	19	10	12	18	7	10	host	asp3
gene-CPT_phageK_gp220	2	1	0	1	21	12	410	137	1404	4239	671	9454	8199	6095	10353	10691	11718	7110	5321	4911	3527	phage	gene-CPT_phageK_gp220
gene-NWMN_RS12600	270	241	195	238	269	154	189	213	161	147	166	107	62	150	29	65	52	56	48	50	32	host	gene-NWMN_RS12600
gene-NWMN_RS05770	66	27	175	80	73	126	86	44	106	78	41	108	33	32	55	86	24	60	73	35	35	host	gene-NWMN_RS05770
gene-NWMN_RS05545	462	483	352	391	441	317	409	352	293	213	273	160	94	279	86	173	104	72	158	84	35	host	gene-NWMN_RS05545
