Geneid	Ctrl_R1	Ctrl_R2	Ctrl_R3	0_R1	0_R2	0_R3	2_R1	2_R2	2_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	20_R1	20_R2	20_R3	30_R1	30_R2	30_R3	Entity	Symbol
gene-SAURSH1000_RS09570	9	3	12	14	5	12	8	3	9	6	3	3	3	4	3	1	3	1	0	0	0	host	gene-SAURSH1000_RS09570
gene-SAURSH1000_RS12835	145	209	127	148	210	123	164	160	135	140	177	51	87	356	45	38	59	24	52	55	22	host	arcC
gene-SAURSH1000_RS13180	22	25	41	35	38	29	40	39	29	40	37	18	26	17	5	8	5	2	7	8	0	host	vraE
gene-SAURSH1000_RS03000	141	296	168	208	245	134	174	150	216	198	103	82	343	117	44	167	78	40	127	59	17	host	mnhG2
gene-SAURSH1000_RS11930	149	136	169	219	68	131	184	71	102	208	73	55	165	185	34	44	61	19	42	76	13	host	cntA
gene-SAURSH1000_RS12485	30	179	27	42	34	27	47	30	28	49	46	20	24	21	9	4	9	4	10	8	5	host	gene-SAURSH1000_RS12485
gene-SAURSH1000_RS06935	346	179	295	489	298	271	545	271	309	514	389	229	212	386	115	68	78	45	58	96	12	host	gene-SAURSH1000_RS06935
gene-SAURSH1000_RS07135	1119	1732	989	1338	1114	1062	1605	1418	876	1439	1914	569	1066	2316	355	484	659	207	262	593	98	host	gene-SAURSH1000_RS07135
gene-SAURSH1000_RS05330	593	173	267	345	179	69	395	131	191	367	205	169	172	227	59	181	35	61	76	81	56	host	gene-SAURSH1000_RS05330
gene-SAURSH1000_RS07145	724	1238	718	827	725	762	915	929	503	953	1298	399	938	1564	273	270	426	139	121	462	72	host	gene-SAURSH1000_RS07145
gene-CPT_phageK_gp165	0	0	1	524	5	1	7	2	3	90	21	180	509	526	439	8302	3632	27815	58151	34498	65764	phage	gene-CPT_phageK_gp165
gene-SAURSH1000_RS07470	3526	780	3984	4778	843	4971	3390	824	3184	3124	1191	1630	1623	810	877	396	339	528	298	444	379	host	hrcA
gene-SAURSH1000_RS05125	22	13	24	44	17	31	36	19	19	41	18	20	15	21	7	2	2	1	4	4	1	host	srtB
gene-SAURSH1000_RS09780	567	214	205	328	304	167	266	265	277	260	352	153	148	414	45	151	56	33	100	74	30	host	gene-SAURSH1000_RS09780
gene-SAURSH1000_RS11700	7	25	18	17	19	16	14	34	19	26	22	9	21	20	7	2	8	2	4	5	1	host	gene-SAURSH1000_RS11700
gene-SAURSH1000_RS12025	34	30	29	63	42	49	59	46	22	68	62	19	34	45	15	11	18	3	13	10	4	host	gene-SAURSH1000_RS12025
gene-SAURSH1000_RS01765	2838	1980	2552	3355	2653	2506	4163	4228	2345	3674	6444	1398	1706	4211	710	641	915	267	426	832	192	host	guaB
gene-SAURSH1000_RS09190	929	843	1342	1280	900	1446	1463	961	1216	1335	1103	553	726	1071	351	204	294	175	132	283	93	host	gene-SAURSH1000_RS09190
gene-SAURSH1000_RS10060	980	923	880	1080	1231	861	1291	1306	882	931	1291	439	412	930	140	212	226	84	134	268	54	host	prmC
gene-SAURSH1000_RS10655	245	340	246	238	390	227	340	321	206	258	359	97	139	312	55	56	78	24	52	101	16	host	gene-SAURSH1000_RS10655
gene-SAURSH1000_RS02790	71	116	111	164	96	122	220	129	129	281	204	57	179	286	53	37	63	16	23	68	7	host	gene-SAURSH1000_RS02790
gene-SAURSH1000_RS12115	330	273	1339	303	84	1011	284	70	379	411	97	230	1052	422	271	334	286	150	145	430	55	host	gene-SAURSH1000_RS12115
gene-SAURSH1000_RS10580	51	100	100	125	71	86	152	98	102	179	123	57	108	111	33	29	43	8	21	43	8	host	gene-SAURSH1000_RS10580
gene-SAURSH1000_RS11660	782	2508	857	1624	1359	929	1622	1073	1196	1645	617	730	1291	514	401	296	260	189	227	247	102	host	gene-SAURSH1000_RS11660
gene-SAURSH1000_RS12855	0	1	0	1	0	1	0	1	1	1	2	0	1	6	0	0	0	0	0	0	0	host	gene-SAURSH1000_RS12855
gene-SAURSH1000_RS09660	16	27	12	30	31	12	48	44	18	52	40	12	27	27	4	7	6	5	6	6	1	host	gene-SAURSH1000_RS09660
gene-SAURSH1000_RS09320	308	645	371	449	308	308	422	310	308	580	348	199	488	848	141	266	217	105	217	242	41	host	putP
gene-SAURSH1000_RS12990	15	15	8	18	18	7	22	19	14	21	11	9	10	7	1	4	2	2	4	5	1	host	gene-SAURSH1000_RS12990
gene-SAURSH1000_RS08950	2666	1121	1204	1640	1241	689	1568	1265	1267	1301	1701	994	489	984	343	881	190	247	410	360	220	host	gene-SAURSH1000_RS08950
gene-SAURSH1000_RS00570	20	18	13	33	17	34	26	14	18	33	20	12	33	26	7	5	7	5	4	7	1	host	gene-SAURSH1000_RS00570
gene-SAURSH1000_RS07550	346	339	351	504	354	401	561	412	392	616	577	208	316	481	82	78	120	46	69	136	24	host	mtnN
gene-SAURSH1000_RS10930	162	168	148	154	206	152	238	216	118	194	260	90	151	327	46	56	83	25	31	115	12	host	gene-SAURSH1000_RS10930
gene-SAURSH1000_RS07785	5591	4432	4141	7271	5241	4562	8951	6435	4916	6168	9055	3998	2647	6221	1813	1254	1493	822	1096	1509	396	host	gene-SAURSH1000_RS07785
gene-SAURSH1000_RS12335	273	261	277	510	470	247	444	445	376	265	460	178	113	241	32	109	78	19	131	127	18	host	gene-SAURSH1000_RS12335
gene-SAURSH1000_RS06010	359	382	345	592	515	367	613	521	409	460	537	194	230	358	63	87	93	43	80	119	23	host	gene-SAURSH1000_RS06010
gene-SAURSH1000_RS08750	3966	1733	1954	2250	1665	922	2005	1956	1573	1577	2404	1607	924	2146	479	940	495	671	563	608	385	host	gene-SAURSH1000_RS08750
gene-SAURSH1000_RS04355	44	342	63	62	146	66	58	81	55	135	53	24	113	123	28	25	30	15	19	27	6	host	opp3b
gene-SAURSH1000_RS11260	8	9	11	14	12	11	24	15	14	25	28	9	8	20	4	7	10	2	3	0	2	host	gene-SAURSH1000_RS11260
gene-CPT_phageK_gp059	0	0	0	0	1	0	99	6	65	1764	323	1431	3055	1993	1741	410	612	510	202	199	220	phage	gene-CPT_phageK_gp059
gene-SAURSH1000_RS02825	25	25	23	57	10	40	41	32	25	99	50	20	51	62	6	15	18	1	13	12	2	host	gene-SAURSH1000_RS02825
gene-SAURSH1000_RS05490	227	2310	116	327	2321	134	700	5171	200	974	4322	236	378	438	77	81	47	50	43	49	24	host	pyrF
gene-SAURSH1000_RS10105	292	239	208	418	208	205	498	226	269	324	254	199	174	319	46	74	64	18	80	70	17	host	gene-SAURSH1000_RS10105
gene-SAURSH1000_RS04720	50	77	55	71	76	53	81	109	68	88	128	27	24	58	13	17	11	1	9	13	3	host	gene-SAURSH1000_RS04720
gene-SAURSH1000_RS10290	483	520	536	778	401	664	778	539	461	945	740	319	601	728	178	124	250	70	113	229	41	host	gene-SAURSH1000_RS10290
gene-SAURSH1000_RS04345	10025	7126	9620	10812	8955	8658	13236	9324	8559	8365	9945	5586	3125	5687	2551	1434	1365	1249	1012	1857	747	host	fabF
gene-SAURSH1000_RS07245	214	169	231	425	93	127	420	94	203	443	95	141	315	168	82	200	59	76	120	66	49	host	gene-SAURSH1000_RS07245
gene-SAURSH1000_RS01695	72	77	90	161	54	90	133	68	75	149	79	40	92	88	28	22	23	10	18	23	3	host	gene-SAURSH1000_RS01695
gene-SAURSH1000_RS12185	1106	453	1885	1511	123	1340	1754	96	1212	1547	78	842	769	279	340	183	126	134	109	217	109	host	gene-SAURSH1000_RS12185
gene-SAURSH1000_RS03580	349	253	273	611	308	308	573	401	367	473	574	185	267	429	70	110	118	45	113	100	17	host	ytxJ
gene-SAURSH1000_RS02590	166	148	192	215	189	182	276	178	167	220	226	99	137	240	63	43	70	25	35	59	12	host	gene-SAURSH1000_RS02590
gene-SAURSH1000_RS07690	502	473	482	769	593	429	846	572	507	676	680	296	356	514	107	148	176	48	170	179	29	host	gene-SAURSH1000_RS07690
gene-CPT_phageK_gp121	0	1	0	58	0	1	180	26	95	3504	562	4924	14559	8951	12771	7962	9067	8318	3668	4931	2882	phage	gene-CPT_phageK_gp121
gene-SAURSH1000_RS12385	6	10	3	4	1	6	8	2	6	3	4	3	1	3	2	0	3	4	2	1	1	host	gene-SAURSH1000_RS12385
gene-SAURSH1000_RS03970	65	204	73	105	119	61	129	127	84	202	121	71	251	338	60	69	87	49	41	44	30	host	gene-SAURSH1000_RS03970
gene-SAURSH1000_RS00190	11	14	8	21	13	14	13	17	11	15	10	6	14	6	2	3	4	0	2	1	1	host	gene-SAURSH1000_RS00190
gene-SAURSH1000_RS06415	83	61	101	153	52	78	165	75	86	135	120	75	103	89	36	44	37	21	48	39	14	host	gene-SAURSH1000_RS06415
gene-SAURSH1000_RS11390	37	55	38	61	47	73	80	39	51	66	55	36	57	57	12	21	17	6	15	18	5	host	gene-SAURSH1000_RS11390
gene-SAURSH1000_RS04045	409	503	530	505	640	564	590	500	527	541	465	238	322	415	162	103	158	50	77	146	38	host	gene-SAURSH1000_RS04045
gene-CPT_phageK_gp058	0	0	0	0	0	0	49	3	17	1098	114	716	2031	1025	881	226	362	249	95	128	89	phage	gene-CPT_phageK_gp058
gene-SAURSH1000_RS05475	814	5813	585	1037	9520	377	1610	9219	1121	1375	3150	193	550	374	84	455	96	75	177	147	34	host	gene-SAURSH1000_RS05475
gene-SAURSH1000_RS10205	245	1240	134	387	2629	128	589	1870	502	538	896	538	632	474	242	409	224	190	223	183	88	host	czrB
gene-SAURSH1000_RS01950	1252	2773	2792	1164	2171	2345	1108	1039	2062	1550	719	892	1754	6104	713	1008	1151	471	526	938	243	host	gene-SAURSH1000_RS01950
gene-SAURSH1000_RS12500	40	39	31	46	48	26	33	41	34	28	51	25	23	38	8	17	12	10	9	10	2	host	gene-SAURSH1000_RS12500
gene-CPT_phageK_gp158	0	0	0	412	2	3	80	15	22	825	297	1086	2487	2438	2783	14660	11267	35001	38317	35575	26021	phage	gene-CPT_phageK_gp158
gene-SAURSH1000_RS00215	12	9	14	27	16	14	28	17	17	29	13	4	17	15	3	8	8	0	3	1	2	host	gene-SAURSH1000_RS00215
gene-SAURSH1000_RS07975	387	437	393	512	593	496	587	571	339	573	522	195	354	458	113	92	149	53	68	137	37	host	mutM
gene-SAURSH1000_RS00610	1386	303	4283	1500	137	3164	1373	101	1941	998	93	958	502	101	504	116	44	220	65	125	147	host	gene-SAURSH1000_RS00610
gene-SAURSH1000_RS03390	564	529	717	1147	545	609	1310	631	778	1117	828	422	568	768	177	185	233	97	155	267	53	host	saeR
gene-SAURSH1000_RS13025	21	19	36	55	29	16	48	33	28	58	34	16	27	36	8	5	14	2	9	8	5	host	icaC
gene-CPT_phageK_gp231	0	0	0	15	1	0	58	9	14	1354	137	1536	4202	2287	2547	1474	1987	1535	782	985	436	phage	gene-CPT_phageK_gp231
gene-SAURSH1000_RS04995	593	416	389	999	373	393	985	469	504	1066	543	339	714	527	159	246	152	66	237	99	39	host	gene-SAURSH1000_RS04995
gene-SAURSH1000_RS01545	264	232	142	211	491	176	221	422	197	154	326	91	66	141	23	53	29	17	45	24	6	host	tatC
gene-SAURSH1000_RS10140	276	596	243	286	456	252	363	400	234	296	392	103	167	374	68	54	68	33	36	55	14	host	gene-SAURSH1000_RS10140
gene-SAURSH1000_RS05650	187	230	206	244	251	248	211	337	161	357	314	101	193	204	64	41	57	26	22	63	13	host	gene-SAURSH1000_RS05650
gene-SAURSH1000_RS01585	2150	1582	2660	2634	1365	2427	3598	1427	2083	2315	1619	1692	1346	1710	928	646	545	420	424	791	249	host	gene-SAURSH1000_RS01585
gene-SAURSH1000_RS06790	8133	6789	6433	9337	7603	6009	11249	9420	6872	7585	11816	4045	3244	7545	1958	1597	1708	879	1312	2072	545	host	gene-SAURSH1000_RS06790
gene-SAURSH1000_RS08295	164	224	148	231	193	147	244	186	169	233	183	118	176	148	50	60	49	17	44	48	16	host	gene-SAURSH1000_RS08295
gene-SAURSH1000_RS04340	4189	3215	4631	5477	4689	4806	6213	4501	4491	4675	4361	2183	1537	2443	872	570	565	428	453	817	234	host	gene-SAURSH1000_RS04340
gene-SAURSH1000_RS03740	1118	12629	971	1545	6568	1512	1738	4266	1689	3702	3436	685	4605	9135	1279	1606	2273	502	627	1461	238	host	gene-SAURSH1000_RS03740
gene-SAURSH1000_RS02055	3418	1051	1237	1803	901	392	1627	694	884	3547	830	1301	1763	1524	802	2064	375	1114	1618	799	801	host	gene-SAURSH1000_RS02055
gene-SAURSH1000_RS06235	126	121	139	183	174	154	216	156	175	212	160	58	112	141	43	32	34	15	29	35	6	host	gene-SAURSH1000_RS06235
gene-SAURSH1000_RS00865	56	64	47	85	46	48	101	52	74	117	56	33	70	110	19	29	25	4	18	29	5	host	gene-SAURSH1000_RS00865
gene-SAURSH1000_RS10250	65	126	89	68	54	82	91	72	71	82	70	27	49	87	14	19	21	7	13	27	14	host	gene-SAURSH1000_RS10250
gene-SAURSH1000_RS01470	39	79	72	49	25	55	71	18	47	101	13	30	71	21	20	42	20	16	23	69	8	host	gene-SAURSH1000_RS01470
gene-SAURSH1000_RS02335	7917	3617	3797	5044	3770	1427	4861	3485	2813	4302	3924	2089	2434	4017	689	1445	687	295	924	868	267	host	gene-SAURSH1000_RS02335
gene-SAURSH1000_RS09840	399	391	374	701	399	498	671	452	446	772	573	228	374	533	112	104	144	57	90	149	25	host	gene-SAURSH1000_RS09840
gene-SAURSH1000_RS05195	829	709	1077	1033	387	982	1268	359	809	1500	353	559	722	454	358	180	204	149	145	176	71	host	gene-SAURSH1000_RS05195
gene-SAURSH1000_RS07945	1326	1693	961	2129	881	645	1886	776	1039	2017	928	444	1245	1227	230	418	311	64	254	333	41	host	gene-SAURSH1000_RS07945
gene-SAURSH1000_RS05675	13173	6218	7498	17412	6453	4911	17821	7437	8529	10310	12714	6539	5337	11112	3141	3636	2417	1651	3102	2365	845	host	rplS
gene-CPT_phageK_gp163	0	1	0	9	0	2	251	13	107	3158	402	2149	4530	2202	1950	937	959	1393	683	461	718	phage	gene-CPT_phageK_gp163
gene-SAURSH1000_RS05740	1043	3085	1128	1361	1916	1232	1435	1932	876	1382	1709	521	1094	1282	345	286	424	177	181	512	92	host	hslU
gene-CPT_phageK_gp116	0	0	0	177	1	4	5	5	3	70	39	219	576	651	816	2449	1540	7857	16511	11719	26703	phage	gene-CPT_phageK_gp116
gene-SAURSH1000_RS01575	302	193	212	397	175	213	443	185	225	493	293	168	387	414	90	149	162	59	147	122	31	host	gene-SAURSH1000_RS01575
gene-SAURSH1000_RS10530	83	72	50	99	66	59	105	70	70	2189	76	43	66	99	24	27	32	17	20	33	12	host	gene-SAURSH1000_RS10530
gene-SAURSH1000_RS06450	551	404	546	785	528	501	909	414	560	634	529	332	323	526	107	160	159	49	133	202	40	host	pepF
gene-SAURSH1000_RS00050	38	78	40	57	45	29	58	34	33	50	42	19	55	61	11	9	12	4	9	7	0	host	gene-SAURSH1000_RS00050
gene-CPT_phageK_gp043	0	0	0	9	0	8	403	44	423	1907	452	1056	1555	1011	753	525	431	601	384	249	377	phage	gene-CPT_phageK_gp043
gene-SAURSH1000_RS01135	94	50	101	97	79	103	102	62	110	77	56	37	37	38	18	14	7	5	13	10	5	host	gene-SAURSH1000_RS01135
gene-CPT_phageK_gp055	0	0	0	0	1	0	57	8	14	1330	205	1386	3522	1991	2021	660	895	578	266	266	204	phage	gene-CPT_phageK_gp055
gene-SAURSH1000_RS05870	381	264	326	499	512	394	521	598	339	505	659	144	239	495	65	76	150	22	84	141	14	host	gene-SAURSH1000_RS05870
gene-SAURSH1000_RS01075	1251	668	1098	1396	134	719	1127	71	714	833	115	368	345	126	132	123	121	27	98	166	32	host	gene-SAURSH1000_RS01075
gene-SAURSH1000_RS08930	426	341	346	716	394	435	713	443	429	706	450	208	300	382	66	111	97	35	119	105	32	host	gene-SAURSH1000_RS08930
gene-SAURSH1000_RS05430	1084	1573	1204	1612	1768	1309	1877	1744	1287	1332	1913	597	677	1332	273	327	387	106	214	365	63	host	gene-SAURSH1000_RS05430
gene-SAURSH1000_RS03905	84	170	57	121	66	57	139	64	69	150	50	49	86	100	28	23	23	14	24	30	3	host	gene-SAURSH1000_RS03905
gene-CPT_phageK_gp076	0	0	0	6	0	2	125	20	43	1848	345	2093	3941	3158	2458	811	1201	983	415	405	467	phage	gene-CPT_phageK_gp076
gene-SAURSH1000_RS05415	1104	1669	1091	1180	1764	1295	1406	1732	969	1101	1609	524	563	1183	238	226	290	94	149	321	68	host	gene-SAURSH1000_RS05415
gene-SAURSH1000_RS04960	154	71	100	251	82	137	285	219	138	363	463	100	146	269	47	40	63	19	48	75	14	host	gene-SAURSH1000_RS04960
gene-SAURSH1000_RS02105	6	5	9	8	25	6	9	9	5	6	15	7	7	10	0	1	3	1	3	2	1	host	gene-SAURSH1000_RS02105
gene-SAURSH1000_RS05695	7035	3240	10483	7329	1681	9838	7106	1854	5424	7842	1894	4249	4803	2463	2362	1163	962	1085	546	1313	597	host	sucC
gene-CPT_phageK_gt004	0	0	0	51	0	1	4	5	7	53	19	176	460	420	576	3893	2172	2286	3725	1860	1263	phage	tRNA-Asp
gene-SAURSH1000_RS10085	826	962	1040	1051	782	1193	1037	690	888	1322	837	570	1331	1057	703	351	506	250	174	321	168	host	gene-SAURSH1000_RS10085
gene-SAURSH1000_RS03755	1085	12854	1132	1217	8974	1089	1351	6839	1108	1885	5455	674	4647	9256	829	2509	3644	573	1000	2973	233	host	tpiA
gene-SAURSH1000_RS12570	8	15	14	20	22	12	24	24	13	23	31	5	10	15	5	3	6	3	0	4	2	host	gene-SAURSH1000_RS12570
gene-SAURSH1000_RS04135	5035	5811	5138	7775	5544	5179	9093	6756	5771	6718	8857	3505	3289	6571	1955	1112	1512	806	968	1700	528	host	gene-SAURSH1000_RS04135
