Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ercc_standard,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,phage,plasmid,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,substrain,time_post-infection
SRR13084793,RNA-Seq,69,2199397908,PRJNA679481,SAMN16834536,861930804,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",No,SRX9531474,GSM4914560,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322 empty vector,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:27:00Z,1,GSM4914560,Bacterial liquid culture,SRP293242,K-12,MG1655,30
SRR13084794,RNA-Seq,69,1686453978,PRJNA679481,SAMN16834535,655654707,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Prior to extraction,SRX9531475,GSM4914561,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322-toxIN,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:25:00Z,1,GSM4914561,Bacterial liquid culture,SRP293242,K-12,MG1655,0
SRR13084795,RNA-Seq,69,1335595671,PRJNA679481,SAMN16834534,517075015,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Prior to extraction,SRX9531476,GSM4914562,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322-toxIN,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:25:00Z,1,GSM4914562,Bacterial liquid culture,SRP293242,K-12,MG1655,2.5
SRR13084796,RNA-Seq,69,1996716825,PRJNA679481,SAMN16834533,756938636,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Prior to extraction,SRX9531477,GSM4914563,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322-toxIN,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:26:00Z,1,GSM4914563,Bacterial liquid culture,SRP293242,K-12,MG1655,5
SRR13084797,RNA-Seq,69,1812788079,PRJNA679481,SAMN16834532,689470270,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Prior to extraction,SRX9531478,GSM4914564,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322-toxIN,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:26:00Z,1,GSM4914564,Bacterial liquid culture,SRP293242,K-12,MG1655,10
SRR13084798,RNA-Seq,69,2446249893,PRJNA679481,SAMN16834531,926640339,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Prior to extraction,SRX9531479,GSM4914565,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322-toxIN,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:28:00Z,1,GSM4914565,Bacterial liquid culture,SRP293242,K-12,MG1655,20
SRR13084799,RNA-Seq,69,1982599701,PRJNA679481,SAMN16834530,751744534,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Prior to extraction,SRX9531480,GSM4914566,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322-toxIN,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:27:00Z,1,GSM4914566,Bacterial liquid culture,SRP293242,K-12,MG1655,30
SRR13084800,RNA-Seq,69,1466546976,PRJNA679481,SAMN16834529,568711986,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Prior to extraction,SRX9531481,GSM4914567,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322 empty vector,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:25:00Z,1,GSM4914567,Bacterial liquid culture,SRP293242,K-12,MG1655,0
SRR13084801,RNA-Seq,69,3568144974,PRJNA679481,SAMN16834490,1374694399,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Prior to extraction,SRX9531482,GSM4914568,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322 empty vector,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:31:00Z,1,GSM4914568,Bacterial liquid culture,SRP293242,K-12,MG1655,2.5
SRR13084802,RNA-Seq,69,2945311437,PRJNA679481,SAMN16834489,1126997448,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Prior to extraction,SRX9531483,GSM4914569,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Escherichia coli str. K-12 substr. MG1655,T4,pBR322 empty vector,ILLUMINA,2021-06-01T00:00:00Z,2020-11-19T10:29:00Z,1,GSM4914569,Bacterial liquid culture,SRP293242,K-12,MG1655,5
