Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol
gene-b3655	319	1404	302	1470	61	671	40	451	25	310	26	123	host	yicH
gene-b1310	0	39	5	110	0	202	0	118	1	85	0	41	host	ycjN
gene-b1151	0	34	2	75	1	91	4	62	1	44	1	16	host	beeE
gene-b3439	111	421	110	655	70	313	28	185	9	121	15	78	host	yhhW
gene-b2964	52	431	79	561	41	327	19	233	35	150	18	68	host	nupG
gene-T4p066	0	0	283	33481	3831	39333	140	8049	548	8680	27	4814	phage	55.1
gene-b3221	42	155	61	194	26	131	7	92	6	65	4	21	host	nanQ
gene-b2207	5	46	9	60	1	43	2	35	0	15	1	8	host	napD
gene-b1215	981	7252	1110	7468	438	611	200	237	133	190	103	76	host	kdsA
gene-b3126	8	51	16	146	8	121	7	109	0	82	1	17	host	garL
gene-b3168	7579	23157	13378	26439	10791	4754	4786	1250	2445	983	1693	387	host	infB
gene-b3380	7	84	18	289	8	358	2	261	6	136	1	70	host	yhfW
gene-b1796	4	16	4	26	2	33	1	22	2	14	0	8	host	yoaG
gene-b4539	30	263	90	262	39	59	8	27	5	14	3	8	host	yoeB
gene-b1095	4505	28235	6344	36727	3767	7707	1311	2433	831	1880	665	842	host	fabF
gene-b1110	16	205	23	229	19	138	8	68	8	53	7	37	host	ycfJ
gene-b0420	887	7105	1540	8213	513	1002	236	409	113	306	117	129	host	dxs
gene-b3505	220	1969	251	1785	99	444	32	253	29	191	20	68	host	insH11
gene-b0527	12	162	36	247	14	153	6	105	3	74	2	31	host	ybcI
gene-b1381	141	779	137	826	42	338	28	257	22	187	15	71	host	ydbH
gene-b0759	315	1331	340	1536	151	344	59	163	42	117	34	54	host	galE
gene-b2821	484	1832	818	2576	319	1165	180	747	88	516	60	290	host	ptrA
gene-b0126	2456	16983	2003	12852	636	1410	223	526	164	440	130	192	host	can
gene-b0506	518	1073	475	1018	205	362	66	180	36	96	35	57	host	allR
gene-b2299	373	2147	283	1907	94	269	49	137	34	89	24	41	host	yfcD
gene-b3521	37	224	22	283	7	237	4	194	4	143	6	55	host	rcdB
gene-b4139	173	966	208	1474	103	1037	33	243	57	215	27	105	host	aspA
gene-b3686	35	89	46	180	20	181	12	99	6	76	4	23	host	ibpB
gene-T4p122	12	3	3400	165445	10898	323128	17627	308357	71308	435157	16551	321084	phage	ipIII
gene-b2330	771	6953	755	5151	250	712	113	306	81	259	72	98	host	prmB
gene-b4212	39	88	29	121	11	111	5	99	5	71	3	25	host	ytfH
gene-b4039	211	741	171	651	67	257	40	167	23	96	17	38	host	ubiC
gene-b4328	429	2089	477	2945	388	5456	149	2214	61	207	54	75	host	iadA
gene-b0849	300	107	15	129	7	72	2	30	1	22	0	11	host	grxA
gene-b3747	246	784	347	1188	147	949	75	548	42	381	34	121	host	kup
gene-b0498	12	14	16	51	8	81	1	49	4	25	2	18	host	ybbC
gene-T4p143	1	0	10	1868	4	3814	44	23086	2352	71603	704	62965	phage	53
gene-b1250	74	550	50	443	21	214	5	110	11	79	5	27	host	kch
gene-b3622	271	1352	144	1196	49	380	4	171	23	128	1	86	host	waaL
gene-b0197	976	2860	931	4514	564	800	173	273	137	215	146	109	host	metQ
gene-b0119	265	412	254	553	157	180	86	83	30	49	32	29	host	yacL
gene-b1586	29	233	14	238	8	93	2	39	1	30	3	15	host	ynfD
gene-b3279	485	1588	520	1869	228	597	81	239	61	171	47	88	host	yrdA
gene-b0418	86	1446	299	1205	146	318	52	142	37	122	29	42	host	pgpA
gene-b3594	43	85	35	245	23	206	6	115	8	88	7	57	host	yibA
gene-b1423	25	169	25	241	12	246	9	166	7	129	4	37	host	ydcJ
gene-b2280	966	1327	1354	1997	611	576	227	219	125	160	120	62	host	nuoJ
gene-b1335	27	257	38	170	11	106	6	68	4	44	4	20	host	ogt
gene-b1221	205	1649	238	1734	99	301	43	136	27	99	18	43	host	narL
gene-b4772	6	29	17	69	5	50	1	39	2	24	0	7	host	ymiD
gene-b2351	556	2263	298	1802	74	244	12	126	30	82	12	69	host	yfdH
gene-b0471	925	5818	1532	6922	862	1208	330	304	178	215	131	114	host	ybaB
gene-b0653	416	1406	766	2570	339	499	81	238	49	186	24	71	host	gltK
gene-b0549	0	24	1	67	0	9088	1	336	1	73	0	25	host	ybcO
gene-b0110	153	469	187	508	43	181	30	104	9	70	14	25	host	ampD
gene-T4p252	10	1	84	28426	167	54306	359	46705	48746	422485	77089	650720	phage	37
gene-b0762	197	1270	186	985	86	683	22	205	20	79	9	66	host	acrZ
gene-b3369	5	25	20	105	11	93	0	55	2	36	0	12	host	yhfL
gene-b3602	249	1433	190	1426	92	319	39	127	19	67	15	35	host	yibL
gene-b2957	64	159	108	261	45	246	28	150	13	120	11	47	host	ansB
gene-b0776	997	1860	1478	3664	825	820	224	281	99	184	88	98	host	bioF
gene-b1387	10	86	8	260	5	326	5	227	1	181	1	78	host	paaZ
gene-b1914	496	3368	620	1618	159	225	47	107	39	80	34	35	host	uvrY
gene-b0163	223	854	163	735	47	169	13	93	13	55	8	26	host	yaeH
gene-b1426	18	74	18	108	14	45	1	21	6	16	2	8	host	ydcH
gene-b0704	7	44	4	92	0	103	0	70	2	41	0	26	host	ybfC
gene-b3816	1186	1778	851	10644	435	790	231	453	156	298	105	131	host	corA
gene-b4218	127	1222	310	1616	102	455	52	274	41	168	18	70	host	paeA
gene-b2902	357	348	812	461	438	276	119	163	32	120	22	50	host	ygfF
gene-b1772	10	39	11	98	4	96	3	73	2	46	0	23	host	ydjH
