Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol
gene-b0629	207	24	137	26	74	10	49	1	49	2	107	3	host	ybeF
gene-b2919	62	13	72	12	40	6	34	3	41	4	92	0	host	scpB
gene-b4301	79	18	105	27	29	11	40	3	43	1	124	2	host	sgcE
gene-b3294	28317	13958	60525	21303	15991	13039	9417	3917	10539	2748	6566	2970	host	rplQ
gene-b1834	1445	362	1606	593	277	158	170	44	211	34	321	29	host	letB
gene-b2189	6338	142	1547	71	947	64	413	17	1165	25	1125	30	host	proL
gene-b0801	1228	477	1345	596	390	413	134	93	129	32	213	38	host	hcxB
gene-b2489	134	7	73	19	73	4	80	7	90	1	155	2	host	hyfI
gene-b0606	2872	1440	4437	1277	617	473	10261	124	229	73	276	97	host	ahpF
gene-b2214	439	34	371	124	109	57	56	28	74	7	170	11	host	ftp
gene-b0817	386	313	203	224	76	84	50	27	39	16	74	11	host	mntR
gene-b4769	113	13	92	32	26	21	7	3	9	0	17	0	host	ybiE
gene-b0039	199	45	194	58	92	27	70	6	95	3	180	3	host	caiA
gene-b4392	1287	306	1011	313	187	69	156	36	177	18	379	21	host	slt
gene-b3607	2019	583	2126	1163	561	537	301	140	239	65	283	76	host	cysE
gene-b4814	171	26	130	49	32	37	25	6	11	0	27	0	host	zbiJ
gene-b0939	39	3	46	5	24	2	17	1	25	1	68	0	host	elfD
gene-b0322	91	14	63	5	20	6	22	3	18	0	43	0	host	yahH
gene-b4554	282	246	132	75	41	28	30	10	25	7	49	15	host	yibT
gene-b1184	104	25	80	31	50	21	40	5	51	7	136	3	host	umuC
gene-b1850	494	509	629	475	267	271	172	81	164	40	185	60	host	eda
gene-b0588	572	96	781	326	112	68	61	16	74	10	129	11	host	fepC
gene-T4p273	5	0	8214	1191	15023	2028	10136	1221	4924	242	6616	186	phage	ndd.4
gene-b1711	521	80	273	159	78	60	60	24	79	9	139	15	host	btuC
gene-b1234	942	227	851	484	128	136	69	37	74	17	112	15	host	rssA
gene-b1827	416	383	171	221	60	90	50	32	47	24	81	31	host	kdgR
gene-b3227	197	24	153	29	97	20	94	6	92	7	291	7	host	dcuD
gene-b4391	7544	1801	7420	2050	1367	1125	483	314	676	190	485	194	host	ettA
gene-b4753	7	4	7	2	17	2	9	2	6	0	10	0	host	yqfH
gene-b1567	22	2	10	1	13	2	14	2	5	0	21	0	host	ydfW
gene-b4536	658	96	246	48	47	16	21	3	17	4	28	4	host	yobH
gene-b0549	20	0	21	0	18	1	22	0	33	2	66	1	host	ybcO
gene-b4808	24	0	13	4	15	1	9	6	6	1	8	1	host	chiZ
gene-b4411	2404	358	1219	481	819	327	379	96	168	37	128	55	host	ecnB
gene-b3907	145	33	128	25	120	7	110	2	122	2	335	0	host	rhaT
gene-b1504	19	3	37	3	28	3	17	1	30	0	108	1	host	ydeS
gene-b1563	371	146	528	138	90	59	26	10	54	12	47	15	host	relE
gene-b2789	71	8	82	18	90	9	55	3	93	0	259	2	host	gudP
gene-b3290	776	352	1166	678	203	234	111	70	145	46	251	34	host	trkA
gene-b3017	1573	497	1883	1032	258	280	186	90	216	63	304	64	host	ftsP
gene-b4679	231	17	87	22	46	7	23	4	15	2	22	4	host	yohP
gene-b2021	621	1174	1081	2014	321	1320	95	237	119	121	145	132	host	hisC
gene-b3934	57737	193	393	261	108	99	98	29	105	14	261	23	host	cytR
gene-b2881	4937	33	341	51	160	34	156	15	182	6	444	7	host	xdhD
gene-b4765	168	18	32	29	16	3	14	2	7	1	10	2	host	yadX
