"Geneid","2.5_R1","2.5_R2","5_R1","5_R2","10_R1","10_R2","20_R1","20_R2","30_R1","30_R2"
"gene-T4p066",26014.8758539822,16595.9890469152,10363.7362677429,3551.53321223103,757.022243899366,914.551812951181,570.301757502333,857.797415349345,330.757427748901,966.257804821044
"gene-T4p122",312546.211673284,82008.4050018486,29481.5969318357,29176.513965418,95314.5078086724,35036.458365783,74209.9958466722,43004.2108146515,202754.303210076,64447.4285424097
"gene-T4p143",919.253563744954,925.937323844499,10.8209201438193,344.381249115225,237.921276654087,2623.10139816014,2447.71849205381,7076.13690452294,8624.19367167504,12638.2265643035
"gene-T4p252",7721.72993545761,14090.3074773039,451.773416004456,4903.5050116548,1941.22132542766,5306.7638742558,50729.7983051254,41751.9056479111,944361.457323518,130611.399824086
"gene-T4p127",15903.0866527877,11257.4746048353,12471.1104657517,7242.20945143808,697.541924735845,873.647520161713,274.743912373387,484.240476406888,379.758528156145,2229.77938382987
"gene-T4p233",735.402850995963,513.032724935255,48.6941406471869,792.149108150988,21656.243477264,9181.7638778447,5503.20382056996,5935.89881946526,18252.9099016986,9175.63549846058
"gene-T4p274",107644.592314534,21418.0009775144,7975.01814599483,9366.01421295858,1243.67940069182,5249.61148738607,354.877553482291,839.119568402222,637.014305294179,1425.70195007143
"gene-T4p005",3585.08889860532,1258.54114841605,1333.67840772573,2915.77328170656,3471.48771845281,3750.24191058103,803.417804364601,939.920647164473,992.272283246702,610.98644741904
"gene-T4p230",5147.81995697174,5470.36633080722,7915.50308520382,12539.8476965454,63800.7532554902,54429.7516924472,63048.5244065034,56702.1879971581,126680.094827829,60631.1718654129
"gene-T4p098",105346.458405172,11744.7317725758,4931.63435554565,1926.9638797504,465.027949823897,521.643356101239,328.860137537842,382.055853426333,1261.77833548655,742.657639766901
"gene-T4p227",210049.439315722,52484.9826541493,17194.4421085289,11107.2433707819,4817.90585224525,5910.44306200702,2813.00301191388,4355.49602381241,5402.37131989871,6010.10748852441
"gene-T4p211",299768.587137229,47646.6131584073,18890.6213410726,4874.34005531913,2903.72103552828,3178.14992670611,5342.93653835215,2721.62912658076,4973.61169133532,3125.58507201356
"gene-T4p086",3585.08889860532,4826.47308472906,10783.0469233159,7196.70128427655,38094.4407733645,4735.92174377167,1324.80681989137,838.42779629307,2229.55006852963,1854.03476176402
"gene-T4p265",5239.74531334624,3305.71521023499,4166.05425537043,2889.85890873958,1140.94066759119,2111.22962311416,759.708545577925,438.188218854723,245.005502036223,488.949732560046
"gene-T4p033",31898.0986619499,27028.1501377243,28223.6649651167,23972.2396981778,27696.1995232325,26336.2289124987,8287.06732662605,7740.04048013549,5978.13424968383,7787.06643037749
"gene-T4p020",22245.9362426279,9755.05703065297,3441.05260573454,1533.46270417511,129.77524181132,801.837761709092,149.860315840029,293.706672628831,12.2502751018111,993.555491039503
"gene-T4p237",58188.7505850556,31594.8849153364,51970.1742207282,43339.3959967422,86176.1678644586,36438.2257550709,34802.9769605712,31167.0017811786,93530.850402328,35686.1046187667
"gene-T4p149",275.776069123486,368.788741402734,18.9366102516838,181.671492716264,308.216199301885,667.876202823586,2389.43948033824,3829.35392250827,20494.71024533,6558.67055054683
"gene-T4p105",91.9253563744954,1246.64473740306,949.535742620144,5675.06709180414,9370.85391912573,8579.67541259084,9825.21695726191,15511.803652705,39286.6322515083,25198.775153853
"gene-T4p095",5147.81995697174,6756.17008779471,17932.9699083445,17340.417568192,14405.0518410565,3987.14593965336,4064.96106716079,4081.45544400092,7533.91918761385,4413.39356302558
"gene-T4p152",2206.20855298789,5552.15415652154,167.724262229199,2413.82903319279,778.65145086792,5633.88459353601,28664.9481909567,67578.6243956049,62366.1505433205,88327.2838716929
"gene-T4t006",67932.8383607521,11752.6627132511,12027.4527398552,4050.40746534105,10890.3057086666,4905.67455884796,8450.4566987572,4976.60855324451,7974.92909127905,4294.16690410084
"gene-T4p013",350419.458499576,74481.9423009627,20348.7403304522,12710.7742053485,10847.0472947295,11125.3995235576,5424.11087609883,5519.05671140724,3993.58968319043,3699.23791916324
"gene-T4p270",444275.247357936,28377.4014201144,33374.4229535747,5015.92101982167,10814.6034842767,2459.93871914437,2585.0904482405,796.130873047733,7019.40763333778,1486.92102578195
"gene-T4p036",267318.936337033,68364.7086213241,20600.326723796,12888.2921748715,13242.4819664968,12314.8054594469,4390.6991147853,4323.08155926925,9065.20357534024,4444.90633314541
"gene-T4p256",459.626781872477,951.217197247106,3914.46786202663,1852.38105023567,291.99429407547,702.076736517002,594.237780171227,1119.08962343502,196.004401628978,929.727077675753
"gene-T4p035",277798.426963725,86525.0757164477,31992.0504052018,23452.8687110486,18541.6376737923,27917.9751900604,8292.27080981495,9037.31083397084,11012.9973165282,8272.00179731717
"gene-T4p157",2665.83533486037,8582.2691782889,51.3993706831417,2927.96296933912,319.030802786162,3348.35723392451,19061.3996175415,32920.1499549456,216780.86820165,80025.575768785
"gene-T4t003",32725.4268693204,9017.97523163971,12068.0311903945,13090.279813642,41311.7853099369,16356.0359640107,13448.9226500048,17718.062557967,44113.2406416219,15923.1819514454
