Geneid	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	30_R1	30_R2	30_R3	Entity	Symbol
gene-phage515_00114	1153	1335	1136	2599	2942	3765	5473	2715	2717	phage	tmpE
gene-Saur515_RS05730	1985	2314	2694	805	926	1437	1796	919	779	host	gene-Saur515_RS05730
gene-Saur515_RS11170	635	651	703	221	195	360	208	162	115	host	gene-Saur515_RS11170
gene-Saur515_RS01200	1768	1892	1943	525	500	774	800	438	275	host	yycH
gene-Saur515_RS03260	1093	1022	1419	462	283	729	583	577	296	host	sarR
gene-Saur515_RS11135	305	314	325	75	75	128	106	92	44	host	gene-Saur515_RS11135
gene-phage515_00175	3788	4353	3858	6913	7252	10445	9459	6987	5016	phage	gene-phage515_00175
gene-Saur515_RS11695	1117	1215	1277	459	399	616	497	440	243	host	gene-Saur515_RS11695
gene-Saur515_RS07250	3620	4241	4041	2045	2171	3114	2161	1300	958	host	gene-Saur515_RS07250
gene-Saur515_RS07415	11	8	12	4	5	1	6	3	5	host	gene-Saur515_RS07415
gene-Saur515_RS05270	848	887	955	296	245	424	371	232	162	host	polX
gene-Saur515_RS06090	2063	2257	2202	817	773	1097	895	478	329	host	aspS
gene-Saur515_RS11655	64	67	85	22	19	25	46	16	9	host	essA
gene-Saur515_RS04340	903	872	968	242	230	378	352	277	154	host	lgt
gene-Saur515_RS07475	2830	3136	3045	854	817	1122	1017	577	427	host	guaB
gene-Saur515_RS05465	5300	5730	5987	1444	1240	2319	1982	1901	818	host	rsmH
gene-Saur515_RS08615	15	10	7	5	3	7	11	10	5	host	pstA
gene-Saur515_RS05065	111	130	127	40	54	82	68	69	42	host	gene-Saur515_RS05065
gene-Saur515_RS09150	1607	1831	1922	512	389	825	793	694	321	host	gene-Saur515_RS09150
gene-Saur515_RS08420	94	90	97	26	26	43	37	36	17	host	gene-Saur515_RS08420
gene-Saur515_RS02780	28058	32271	30738	10493	11366	16879	8572	6569	4160	host	gene-Saur515_RS02780
gene-Saur515_RS03580	2252	2225	2279	692	525	738	1023	381	306	host	rpmD
