Geneid	0	2	5	10	15	21	28	35	42	49	Entity	Symbol
gene-Y11_RS16545	217448	206459	213434	291350	284423	265319	223981	245850	174095	166543	host	rplA
gene-Y11_RS18405	20379	16932	16571	17799	15210	11245	9420	10283	7470	7559	host	rapA
gene-Y11_RS02515	869	354	441	593	579	482	427	475	501	352	host	xyeB
gene-Y11_RS18650	13271	8019	8465	9345	9322	6496	6172	5903	4757	4494	host	gene-Y11_RS18650
gene-Y11_RS07555	143	54	63	60	133	96	64	137	123	101	host	pduA
gene-Y11_RS16005	6654	4404	4482	5204	4829	3641	3149	3479	2541	2569	host	hemY
gene-Y11_RS11320	601	345	314	357	482	228	266	359	243	342	host	hypB
gene-Y11_RS14075	30501	28683	32576	39876	40218	33591	28695	30825	23676	22476	host	glmS
gene-Y11_RS04430	801	338	459	718	984	667	646	978	857	566	host	gene-Y11_RS04430
gene-Y11_RS17480	22470	15418	21027	26497	34875	19280	28875	31399	20332	18087	host	rpsO
gene-Y11_RS18075	3058	1755	1587	1379	1626	1387	1659	2230	2062	2124	host	gene-Y11_RS18075
gene-g068	7	1747	3018	7649	12211	14151	19127	24255	22701	33005	phage	g068
gene-g352	3	2049	4009	7480	6563	7257	6261	5837	5200	5070	phage	g352
gene-Y11_RS03990	1082	734	758	772	684	495	493	542	471	519	host	sapF
gene-Y11_RS17675	320	157	237	396	467	357	388	552	445	377	host	nrdG
gene-Y11_RS15370	1459	905	863	964	1135	985	892	1123	1020	830	host	gene-Y11_RS15370
gene-Y11_RS10750	4569	4539	5475	4694	5001	3509	3045	3177	2546	2222	host	ispD
gene-Y11_RS04495	684	467	644	1161	1239	967	1058	1159	909	843	host	gene-Y11_RS04495
gene-Y11_RS08980	799	3485	5667	14553	18520	11870	13326	15577	10048	7263	host	gene-Y11_RS08980
gene-Y11_RS18975	20786	14237	16501	18723	17977	13555	11449	11385	7983	7642	host	gcvP
gene-Y11_RS02475	3434	4140	5155	5796	6534	4384	4680	4725	4037	3627	host	mltG
gene-Y11_RS19115	487	221	310	382	525	353	431	448	464	369	host	gene-Y11_RS19115
gene-Y11_RS06130	0	0	0	1	0	1	0	1	0	0	host	gene-Y11_RS06130
gene-Y11_RS03465	637	293	358	466	605	531	581	495	605	425	host	gene-Y11_RS03465
gene-Y11_RS04855	3216	2364	2814	3716	4222	3213	3674	3719	2615	2654	host	yciH
gene-Y11_RS12240	1901	873	1287	1255	1583	1137	1223	1211	1102	991	host	gene-Y11_RS12240
gene-g035	0	3145	5884	12178	11592	12105	13324	11423	10079	11208	phage	g035
gene-g247	2	1017	1750	4527	5833	6751	7964	10322	9250	14625	phage	g247
gene-Y11_RS05215	3003	1745	1640	2342	2939	2253	2913	3118	2472	2777	host	gene-Y11_RS05215
gene-Y11_RS06005	155	79	90	89	131	118	85	177	170	120	host	gene-Y11_RS06005
gene-Y11_RS02645	1838	1114	1225	1442	1672	1132	1145	1297	1046	1018	host	rluE
gene-Y11_RS02185	1331	590	628	668	757	614	763	694	713	621	host	gene-Y11_RS02185
gene-Y11_RS12505	5649	5071	4605	4605	3926	2941	2549	2781	2199	2543	host	ptsN
gene-Y11_RS06960	478	223	237	306	325	341	322	457	455	312	host	gene-Y11_RS06960
gene-Y11_RS14070	11075	13863	14561	14805	15538	11632	10093	11285	8275	7859	host	glmU
gene-Y11_RS14170	685	365	524	880	994	877	979	1402	1106	951	host	gene-Y11_RS14170
gene-Y11_RS03805	34492	9963	17342	19222	30297	11619	10532	14838	11872	6278	host	gene-Y11_RS03805
gene-Y11_RS13220	1727	593	751	1247	1299	961	1261	1370	1544	986	host	gene-Y11_RS13220
gene-Y11_RS18835	3731	3606	4496	5029	6235	4741	4616	5252	3990	3726	host	hrpB
gene-Y11_RS21850	921	506	622	626	596	537	518	638	473	587	host	gene-Y11_RS21850
