Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Expression of 0	Rows with missing values	Outlier
gene-b3655	319	1404	302	1470	61	671	40	451	25	310	26	123	host	yicH	1.122521428564602	0	0	0	1
gene-b1310	0	39	5	110	0	202	0	118	1	85	0	41	host	ycjN	1.251985612894519	0	1	0	1
gene-b1151	0	34	2	75	1	91	4	62	1	44	1	16	host	beeE	1.1460110934181391	0	1	0	1
gene-b3439	111	421	110	655	70	313	28	185	9	121	15	78	host	yhhW	1.0564993989008507	0	0	0	1
gene-b2964	52	431	79	561	41	327	19	233	35	150	18	68	host	nupG	1.0367879812243481	0	0	0	1
gene-T4p066	0	0	283	33481	3831	39333	140	8049	548	8680	27	4814	phage	55.1	1.5722678031922355	0	1	0	1
gene-b3221	42	155	61	194	26	131	7	92	6	65	4	21	host	nanQ	0.907322750404534	0	0	0	1
gene-b2207	5	46	9	60	1	43	2	35	0	15	1	8	host	napD	1.0856368671924364	0	1	0	1
gene-b1215	981	7252	1110	7468	438	611	200	237	133	190	103	76	host	kdsA	1.666994498825916	0	0	0	1
gene-b3126	8	51	16	146	8	121	7	109	0	82	1	17	host	garL	1.08088517061866	0	1	0	1
gene-b3168	7579	23157	13378	26439	10791	4754	4786	1250	2445	983	1693	387	host	infB	1.0347402905263108	0	0	0	1
gene-b3380	7	84	18	289	8	358	2	261	6	136	1	70	host	yhfW	1.193775043866725	0	0	0	1
gene-b1796	4	16	4	26	2	33	1	22	2	14	0	8	host	yoaG	0.965663961765345	0	1	0	1
gene-b4539	30	263	90	262	39	59	8	27	5	14	3	8	host	yoeB	1.3455196013976605	0	0	0	1
gene-b1095	4505	28235	6344	36727	3767	7707	1311	2433	831	1880	665	842	host	fabF	1.4259656923521413	0	0	0	1
gene-b1110	16	205	23	229	19	138	8	68	8	53	7	37	host	ycfJ	1.1205793522773035	0	0	0	1
gene-b0420	887	7105	1540	8213	513	1002	236	409	113	306	117	129	host	dxs	1.5749224728104108	0	0	0	1
gene-b3505	220	1969	251	1785	99	444	32	253	29	191	20	68	host	insH11	1.458374328235726	0	0	0	1
gene-b0527	12	162	36	247	14	153	6	105	3	74	2	31	host	ybcI	1.0870085001645533	0	0	0	1
gene-b1381	141	779	137	826	42	338	28	257	22	187	15	71	host	ydbH	1.1415760576089995	0	0	0	1
gene-b0759	315	1331	340	1536	151	344	59	163	42	117	34	54	host	galE	1.3057712858633064	0	0	0	1
gene-b2821	484	1832	818	2576	319	1165	180	747	88	516	60	290	host	ptrA	0.9689583650887714	0	0	0	1
gene-b0126	2456	16983	2003	12852	636	1410	223	526	164	440	130	192	host	can	1.6955176908830714	0	0	0	1
gene-b0506	518	1073	475	1018	205	362	66	180	36	96	35	57	host	allR	1.0264904766747371	0	0	0	1
gene-b2299	373	2147	283	1907	94	269	49	137	34	89	24	41	host	yfcD	1.5715792587337114	0	0	0	1
gene-b3521	37	224	22	283	7	237	4	194	4	143	6	55	host	rcdB	1.0123859627651295	0	0	0	1
gene-b4139	173	966	208	1474	103	1037	33	243	57	215	27	105	host	aspA	1.2015766993411263	0	0	0	1
gene-b3686	35	89	46	180	20	181	12	99	6	76	4	23	host	ibpB	0.9380391436585175	0	0	0	1
gene-T4p122	12	3	3400	165445	10898	323128	17627	308357	71308	435157	16551	321084	phage	ipIII	1.118692967916577	0	0	0	0
gene-b2330	771	6953	755	5151	250	712	113	306	81	259	72	98	host	prmB	1.6810465750834067	0	0	0	1
gene-b4212	39	88	29	121	11	111	5	99	5	71	3	25	host	ytfH	0.8466833056646667	0	0	0	1
gene-b4039	211	741	171	651	67	257	40	167	23	96	17	38	host	ubiC	1.1231559835213887	0	0	0	1
gene-b4328	429	2089	477	2945	388	5456	149	2214	61	207	54	75	host	iadA	1.3201057134343965	0	0	0	1
gene-b0849	300	107	15	129	7	72	2	30	1	22	0	11	host	grxA	1.4484297947751523	0	1	0	1
gene-b3747	246	784	347	1188	147	949	75	548	42	381	34	121	host	kup	0.909044095501794	0	0	0	1
gene-b0498	12	14	16	51	8	81	1	49	4	25	2	18	host	ybbC	1.0024917980181451	0	0	0	1
gene-T4p143	1	0	10	1868	4	3814	44	23086	2352	71603	704	62965	phage	53	1.7829772062562361	0	1	0	1
gene-b1250	74	550	50	443	21	214	5	110	11	79	5	27	host	kch	1.3112839808112178	0	0	0	1
gene-b3622	271	1352	144	1196	49	380	4	171	23	128	1	86	host	waaL	1.3945482820468735	0	0	0	1
gene-b0197	976	2860	931	4514	564	800	173	273	137	215	146	109	host	metQ	1.328695492817553	0	0	0	1
gene-b0119	265	412	254	553	157	180	86	83	30	49	32	29	host	yacL	0.9036342824132866	0	0	0	1
gene-b1586	29	233	14	238	8	93	2	39	1	30	3	15	host	ynfD	1.4063963905327173	0	0	0	1
gene-b3279	485	1588	520	1869	228	597	81	239	61	171	47	88	host	yrdA	1.1686021768705972	0	0	0	1
gene-b0418	86	1446	299	1205	146	318	52	142	37	122	29	42	host	pgpA	1.4016094892244153	0	0	0	1
gene-b3594	43	85	35	245	23	206	6	115	8	88	7	57	host	yibA	0.9798764075512267	0	0	0	1
gene-b1423	25	169	25	241	12	246	9	166	7	129	4	37	host	ydcJ	1.0179058960980656	0	0	0	1
gene-b2280	966	1327	1354	1997	611	576	227	219	125	160	120	62	host	nuoJ	0.936400628654994	0	0	0	1
gene-b1335	27	257	38	170	11	106	6	68	4	44	4	20	host	ogt	1.1965030989529997	0	0	0	1
gene-b1221	205	1649	238	1734	99	301	43	136	27	99	18	43	host	narL	1.5461741178627348	0	0	0	1
gene-b4772	6	29	17	69	5	50	1	39	2	24	0	7	host	ymiD	1.0257487260655096	0	1	0	1
gene-b2351	556	2263	298	1802	74	244	12	126	30	82	12	69	host	yfdH	1.5586334938855864	0	0	0	1
gene-b0471	925	5818	1532	6922	862	1208	330	304	178	215	131	114	host	ybaB	1.433267099121648	0	0	0	1
gene-b0653	416	1406	766	2570	339	499	81	238	49	186	24	71	host	gltK	1.2908722435374336	0	0	0	1
gene-b0549	0	24	1	67	0	9088	1	336	1	73	0	25	host	ybcO	3.120009158291164	0	1	0	1
gene-b0110	153	469	187	508	43	181	30	104	9	70	14	25	host	ampD	1.0939823688963042	0	0	0	1
gene-T4p252	10	1	84	28426	167	54306	359	46705	48746	422485	77089	650720	phage	37	1.7848857390218624	0	0	0	0
gene-b0762	197	1270	186	985	86	683	22	205	20	79	9	66	host	acrZ	1.2786239226127911	0	0	0	1
gene-b3369	5	25	20	105	11	93	0	55	2	36	0	12	host	yhfL	1.136951138597869	0	1	0	1
gene-b3602	249	1433	190	1426	92	319	39	127	19	67	15	35	host	yibL	1.4905324910592477	0	0	0	1
