Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-b3655	84.4709997023655	70.98139155074725	302	1470	13.779758348218106	20.337710871524862	14.038658957103122	15.147986931620071	5.132256189090383	7.610487398935489	12.490458010683184	3.9875677363754782	host	yicH	2.3796890592581113	0	0	1
gene-b1310	0.0	1.9717053208540904	5	110	0.0	6.122529949400927	0.0	3.963331392308578	0.2052902475636153	2.086746544869408	0.0	1.3291892454584926	host	ycjN	2.750400033639783	0	0	1
gene-b1151	0.0	1.718922587411258	2	75	0.2258976778396411	2.758169432650913	1.4038658957103125	2.082428358670609	0.2052902475636153	1.0801982114618114	0.4804022311801225	0.5187079982277044	host	beeE	2.80304856149267	0	0	1
gene-b3439	29.3927303039579	21.284306155886465	110	655	15.812837448774877	9.486890466150944	9.827061269972186	6.21369752183972	1.847612228072538	2.970545081519981	7.206033467701837	2.528701491360059	host	yhhW	2.449061906535974	0	0	1
gene-b2964	13.7695673496019	21.789871622772125	79	561	9.261804791425284	9.911224225020312	6.668363004623983	7.825900122100836	7.185158664726536	3.68249390271072	8.647240161242204	2.204508992467744	host	nupG	2.496698085127873	0	0	1
gene-T4p066	0.0	0.0	283	33481	865.4140038036651	1192.1656955434985	49.13530634986093	270.34622353128594	112.4990556648612	213.0936471701937	12.970860241863306	156.0662689667606	phage	55.1	3.007303910135204	0	0	0
gene-b3221	11.121573628524612	7.836264736727794	61	194	5.8733396238306685	3.970551600849116	2.4567653174930464	3.0900549838338067	1.231741485381692	1.5957473578413122	1.92160892472049	0.6808042476738622	host	nanQ	2.178793316041933	0	0	1
gene-b2207	1.3239968605386443	2.325601147674055	9	60	0.2258976778396411	1.3033108308130688	0.7019329478551561	1.1755643960237308	0.0	0.368249390271072	0.4804022311801225	0.2593539991138522	host	napD	2.5379276773892885	0	0	1
gene-b1215	259.768184037682	366.6360765854837	1110	7468	98.9431828937628	18.51913761922756	70.19329478551562	7.960250338789263	27.30360292596084	4.664492276766913	49.481429811552616	2.463862991581596	host	kdsA	2.57574234970952	0	0	1
gene-b3126	2.118394976861831	2.578383881116887	16	146	1.8071814227171288	3.667456058799565	2.4567653174930464	3.6610434047596185	0.0	2.0130966668151937	0.4804022311801225	0.551127248116936	host	garL	2.6251579864530705	0	0	1
gene-b3168	2006.914441204477	1170.7379516671326	13378	26439	2437.661841567567	144.09162069035648	1679.7255442173887	41.98444271513324	501.9346552930395	24.13261004243092	813.3209773879473	12.5462497071326	host	infB	1.8783071343963196	0	1	1
gene-b3380	1.853595604754102	4.246749921839579	18	289	1.8071814227171288	10.85082040537392	0.7019329478551561	8.76635163891982	1.231741485381692	3.338794471791053	0.4804022311801225	2.269347492246207	host	yhfW	2.7566307648079738	0	0	1
gene-b1796	1.0591974884309154	0.8089047470170627	4	26	0.4517953556792822	1.0002152887635178	0.350966473927578	0.738926191786345	0.4105804951272306	0.3436994309196672	0.0	0.2593539991138522	host	yoaG	2.378212953661207	0	0	1
gene-b4539	7.943981163231865	13.296371779092969	90	262	8.810009435746002	1.78826369809235	2.807731791420625	0.906863962646878	1.0264512378180766	0.3436994309196672	1.4412066935403671	0.2593539991138522	host	yoeB	2.2497987240893385	0	0	1
gene-b1095	1192.9211713453185	1427.4640957516729	6344	36727	850.956552421928	233.59573425758884	460.1170473190549	81.71851930073534	170.59619572536434	46.15392358064103	319.4674837347814	27.297008406732942	host	fabF	2.5089736127970776	0	1	1
gene-b1110	4.236789953723662	10.364092071156117	23	229	4.292055878953181	4.1827184802838016	2.807731791420625	2.283953683703248	1.6423219805089226	1.3011478456244543	3.362815618260857	1.1995122459015666	host	ycfJ	2.5901119121970964	0	0	1
gene-b0420	234.8770430595555	359.2042642222644	1540	8213	115.88550873173588	30.370173313364997	82.82808784690842	13.737309656391597	23.19779797468853	7.512287561529869	56.20706104807433	4.182083235710867	host	dxs	2.523216314299309	0	0	1
gene-b3505	58.255861863700346	99.54584042978728	251	1785	22.36387010612447	13.457442067000056	11.230927165682498	8.497651205542969	5.953417179344845	4.6890422361183175	9.60804462360245	2.204508992467744	host	insH11	2.566721018905056	0	0	1
gene-b0527	3.1775924652927463	8.19016056354776	36	247	3.162567489754976	4.637361793358128	2.105798843565468	3.5266931880711923	0.615870742690846	1.8166969920039555	0.960804462360245	1.004996746566177	host	ybcI	2.585919524266026	0	0	1
gene-b1381	37.336711467189765	39.38354987039324	137	826	9.487702469264926	10.244629321274818	9.827061269972186	8.632001422231394	4.516385446399537	4.590842398712698	7.206033467701837	2.301766742135438	host	ydbH	2.4557398862571143	0	0	1
gene-b0759	83.41180221393459	67.2907636424819	340	1536	34.11054935378581	10.42648664650455	20.707021961727104	5.474771330053375	8.622190397671844	2.8723452441143618	16.333675860124163	1.7506394940185026	host	galE	2.3665403491323507	0	0	1
gene-b2821	128.16289610014076	92.61959353345368	818	2576	72.06135923084551	35.31063064877267	63.17396530696405	25.089902966563624	18.06554178559815	12.667779025324878	28.824133870807348	9.401582467877144	host	ptrA	2.2033041875904553	0	0	1
gene-b0126	650.347257896582	858.6018324119235	2003	12852	143.67092310601174	42.73647142898667	78.26552368584991	17.66705349452807	33.66760060043291	10.801982114618111	62.45229005341592	6.224495978732453	host	can	2.5058259607310167	0	1	1
gene-b0506	137.16607475180354	54.24717459683177	475	1018	46.30902395712643	10.97205862219374	23.163787279220152	6.045759750979187	7.390448912290152	2.356796097734861	16.814078091304285	1.847897243686197	host	allR	1.9416233759806092	0	0	1
gene-b2299	98.77016579618288	108.54490574035208	283	1907	21.23438171692626	8.153270081132918	17.197357222451327	4.601494921578603	6.979868417162921	2.1849463822750272	11.52965354832294	1.3291892454584926	host	yfcD	2.5202745893340177	0	0	1
gene-b3521	9.797576767985968	11.324666458238877	22	283	1.5812837448774877	7.183364346574355	1.4038658957103125	6.515985509388679	0.8211609902544613	3.510644187250887	2.8824133870807347	1.783058743907734	host	rcdB	2.6164468407315207	0	0	1
gene-b4139	45.81029137463709	48.83762410115516	208	1474	23.267460817483038	31.431007710538424	11.581893639610076	8.161775663821903	11.701544111126074	5.278241260552033	12.970860241863306	3.4040212383693107	host	aspA	2.5515242228322146	0	0	1
gene-b3686	9.26797802377051	4.499532655282411	46	180	4.517953556792822	5.48602931109687	4.211597687130936	3.3251678630385526	1.231741485381692	1.865796910706765	1.92160892472049	0.7456427474523252	host	ibpB	2.2402117776175166	0	0	1
gene-T4p122	3.1775924652927463	0.1516696400656992	3400	165445	2461.8328930964085	9793.865631138728	6186.486035921419	10356.957441848272	14638.83697326628	10683.08666147926	7951.137328262207	10409.302431434016	phage	ipIII	2.1900318622113613	0	0	0
gene-b2330	204.16031589505891	351.5196691256023	755	5151	56.47441945991027	21.58040259392802	39.65921155381632	10.277791576664615	16.628510052652842	6.358439472013844	34.588960644968815	3.1770864891446897	host	prmB	2.529870636155939	0	0	1
gene-b4212	10.327175512201425	4.448976108593845	29	121	2.484874456236052	3.3643605167500144	1.7548323696378902	3.3251678630385526	1.0264512378180766	1.743047113949741	1.4412066935403671	0.8104812472307882	host	ytfH	2.179138649511003	0	0	1
gene-b4039	55.87266751473079	37.46240109622772	171	651	15.135144415255953	7.789555430673457	14.038658957103122	5.609121546741801	4.721675693963152	2.356796097734861	8.166837930062082	1.231931495790798	host	ubiC	2.1888483500631915	0	0	1
gene-b4328	113.59893063421568	105.61262603241524	477	2945	87.64829900178074	165.36892774223494	52.29400461520913	74.362844937044	12.522705101380534	5.081841585740794	25.941720483726613	2.4314437416923647	host	iadA	2.346744709528369	0	0	1
gene-b0849	79.43981163231865	5.409550495676607	15	129	1.5812837448774877	2.1822879027567663	0.7019329478551561	1.0076266251631978	0.2052902475636153	0.5400991057309057	0.0	0.3566117487815468	host	grxA	2.006568782714975	0	0	1
gene-b3747	65.1406455385013	39.63633260383608	347	1188	33.20695864242724	28.76376694050237	26.322485544568355	18.405979686314414	8.622190397671844	9.35353451288523	16.333675860124163	3.9227292365970152	host	kup	2.1921517045784262	0	0	1
gene-b0498	3.1775924652927463	0.7077916536399298	16	51	1.8071814227171288	2.455073890601362	0.350966473927578	1.645790154433223	0.8211609902544613	0.6137489837851201	0.960804462360245	0.5835464980061675	host	ybbC	2.0945534285242067	0	0	1
gene-T4p143	0.2647993721077288	0.0	10	1868	0.9035907113585644	115.6006397376987	15.442524852813436	775.4022756172528	482.8426622696233	1757.850739438638	338.20317075080624	2041.2780692754632	phage	53	1.2497292372908346	0	0	0
gene-b1250	19.59515353597193	27.80610067871153	50	443	4.743851234632463	6.486244599860388	1.7548323696378902	3.694630958931725	2.2581927231997687	1.9394467887609796	2.4020111559006123	0.8753197470092513	host	kch	2.5554161009017466	0	0	1
gene-b3622	71.76062984119451	68.3524511229418	144	1196	11.068986214142411	11.517630597882931	1.4038658957103125	5.743471763430227	4.721675693963152	3.1423947969798145	0.4804022311801225	2.788055490473912	host	waaL	2.565170944548476	0	0	1
gene-b0197	258.44418717714336	144.59172352929994	931	4514	127.40629030155758	24.24764336396407	60.717199989471005	9.1694022889851	28.1247639162153	5.278241260552033	70.13872575229787	3.5336982379262367	host	metQ	2.391153851542396	0	0	1
gene-b0119	70.17183360854814	20.829297235689364	254	553	35.465935420823655	5.455719756891916	30.183116757771717	2.787766996284847	6.158707426908459	1.2029480082188353	15.37287139776392	0.9401582467877144	host	yacL	1.8916874868596996	0	0	1
gene-b1586	7.679181791124137	11.779675378435975	14	238	1.8071814227171288	2.818788541060823	0.7019329478551561	1.309914612712157	0.2052902475636153	0.736498780542144	1.4412066935403671	0.4862887483384729	host	ynfD	2.769985455461541	0	0	1
gene-b3279	128.4276954722485	80.28379614144347	520	1869	51.50467054743817	18.094803860358187	28.428284388133825	8.027425447133476	12.522705101380534	4.198043049090221	22.57890486546576	2.8528939902523747	host	yrdA	2.243532024077866	0	0	1
gene-b0418	22.77274600126468	73.10476651166704	299	1205	32.9810609645876	9.638438237175718	18.25025664423406	4.769432692439136	7.595739159853767	2.995095040871386	13.931664704223552	1.3616084953477243	host	pgpA	2.34473216838092	0	0	1
gene-b3594	11.38637300063234	4.297306468528145	35	245	5.195646590311745	6.243768166220748	2.105798843565468	3.862568729792258	1.6423219805089226	2.1603964229236228	3.362815618260857	1.847897243686197	host	yibA	2.4726071996998513	0	0	1
gene-b1423	6.619984302693221	8.544056390367725	25	241	2.710772134075693	7.456150334418951	3.1586982653482027	5.575533992569694	1.4370317329453073	3.1669447563312194	1.92160892472049	1.1995122459015666	host	ydcJ	2.542912335046474	0	0	1
