Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Outlier
gene-b0378	1329	1319	845	1007	784	1017	677	689	343	362	371	430	host	yaiW	0.4428734798552242	0	1
gene-b3128	132	155	81	109	61	106	82	79	50	67	40	136	host	garD	0.37899763180402063	0	1
gene-b3532	356	352	222	245	223	274	177	158	95	88	95	230	host	bcsB	0.41922711796024054	0	1
gene-b0048	2898	2687	2299	2794	2616	3219	2540	2668	812	954	585	682	host	folA	0.45986956459863754	0	1
gene-b3636	27774	28716	30977	36238	32205	40622	29255	33955	7819	9158	6019	6324	host	rpmG	0.5116782971650709	0	1
gene-b3228	5448	4745	4745	4636	4779	6172	3311	3699	1760	1895	1283	2194	host	sspB	0.41524035511967017	0	1
gene-b4771	53	60	50	88	41	62	70	75	16	16	21	29	host	ychT	0.475750302888076	0	1
gene-b1695	36	31	23	33	20	32	26	17	22	6	11	35	host	ydiO	0.3797511308391537	0	1
gene-b2871	66	79	51	60	52	60	63	41	40	21	23	77	host	ygeX	0.34001230064806526	0	1
gene-b2611	397	378	303	407	232	303	270	302	104	121	112	141	host	ypjD	0.4224417899041981	0	1
gene-b0467	969	1028	569	613	512	630	468	515	339	383	318	366	host	priC	0.39427147035695737	0	1
gene-b0693	92	100	64	113	72	89	108	117	50	28	47	84	host	speF	0.3389053523690086	0	1
gene-b0116	71996	57313	49508	38572	61954	56584	56190	49201	31089	31523	18604	24767	host	lpd	0.34571381372064897	0	1
gene-b1715	419	453	447	522	349	378	374	414	90	130	92	119	host	pheM	0.485353722761422	0	1
gene-b3091	324	318	220	210	205	256	158	179	124	140	97	159	host	uxaA	0.3455073965570223	0	1
gene-b3266	392	443	284	375	266	302	311	276	422	176	171	337	host	acrF	0.26564857548556076	0	1
gene-b1845	1280	1504	944	1012	672	843	490	557	288	325	348	469	host	ptrB	0.5178480507630369	0	1
gene-b1838	199	222	373	476	208	365	140	130	62	76	69	95	host	pphA	0.6494035608848986	0	1
gene-b1176	4887	5864	2913	3449	2607	3319	2092	2514	1240	1577	1297	1623	host	minC	0.49372806843561134	0	1
gene-b4434	2789	3359	4444	7922	2914	3241	7378	5632	866	1094	986	822	host	azuR	0.6849333652688439	0	1
gene-b1480	2504	3208	2223	4981	1172	1595	1339	1518	500	556	950	1339	host	sra	0.6653688995630618	0	1
gene-b0537	1424	1617	1215	2040	1011	1460	1541	1526	416	563	502	576	host	intD	0.4412770397965488	0	1
gene-b0989	20	28	30	51	27	37	53	38	7	14	11	9	host	cspH	0.5518854181738266	0	1
gene-b1009	48	68	25	55	21	31	19	22	17	14	9	44	host	rutD	0.5674216974954651	0	1
gene-b2632	103	126	71	103	69	97	58	70	33	32	36	78	host	yfjP	0.39769304092575675	0	1
gene-b3706	4269	4362	3592	3767	5423	6490	2038	2203	923	1021	846	1177	host	mnmE	0.6082870574856939	0	1
gene-b2938	32277	31032	21176	18997	22445	27343	13602	15005	11663	12998	9816	11803	host	speA	0.3954431600997747	0	1
gene-b1379	2055	2721	1644	2201	1173	1844	1139	1382	584	777	703	768	host	hslJ	0.4617070206946845	0	1
gene-b0590	720	132	605	141	132	25	74	41	47	31	32	63	host	fepD	1.32134467804479	0	1
gene-b1907	331	353	307	396	248	361	266	281	134	144	205	216	host	tyrP	0.29893334006064304	0	1
gene-b4144	6930	7398	3353	4313	2735	3590	2552	2682	1755	2064	1891	1932	host	yjeI	0.5311931618416736	0	1
gene-b4154	2798	3103	1750	2227	1674	2398	912	1114	684	858	880	1512	host	frdA	0.4712287578609098	0	1
gene-b1895	443	592	283	454	166	194	171	182	123	131	192	267	host	uspC	0.5401411549245684	0	1
gene-b2896	2042	1884	1452	1548	1430	1582	1211	1246	697	742	549	781	host	ygfX	0.3666471516548787	0	1
