Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Outlier
gene-b1783	6466	9569	4854	4885	1102	1847	558	1174	664	473	1300	1384	host	yeaG	0.9771537100419273	0	1
gene-b1217	442	580	420	275	181	275	95	158	74	25	82	105	host	chaB	0.7416202887072576	0	1
gene-b2913	33906	49714	20459	19255	4332	6476	4920	8048	10646	7350	8934	10588	host	serA	0.8554517827926365	0	1
gene-b0334	48	84	87	41	13	31	22	30	38	23	11	43	host	prpD	0.596610528017679	0	1
gene-b2054	13	26	22	8	7	11	6	6	9	2	5	5	host	wcaF	0.689202437604511	0	1
gene-b3462	5809	6065	5713	4870	2711	3927	2036	3535	1679	1088	826	980	host	ftsX	0.583153586478765	0	1
gene-b0586	25837	38813	28266	30291	7486	11820	480	840	263	168	111	185	host	entF	1.1606335942900223	0	1
gene-b4167	3573	3983	3373	2965	1279	2005	868	1595	985	560	694	715	host	nnr	0.6410686288041799	0	1
gene-b0029	5658	5824	6648	5574	3328	5105	2005	3369	1673	1223	881	915	host	ispH	0.5872597188122014	0	1
gene-b4437	1280	1804	791	656	615	347	663	550	337	270	305	298	host	sibB	0.6688259857767854	0	1
gene-b3502	279	344	273	183	96	146	105	125	118	63	62	86	host	arsB	0.57084158722041	0	1
gene-b4611	4100	4966	3619	2452	1698	1530	1827	2267	1224	964	846	988	host	sibE	0.5844987579632467	0	1
gene-b0440	16025	18089	14639	11732	8493	8832	5711	11397	6153	4282	3562	3728	host	hupB	0.5090564871349698	0	1
gene-b3200	3348	4686	4831	3250	2006	3260	1404	2803	1251	795	754	867	host	lptA	0.5769937765304678	0	1
gene-b4321	79	132	156	101	61	70	46	75	63	41	24	69	host	gntP	0.4699628290279306	0	1
gene-b3632	2187	3173	3505	1646	1668	2184	1016	1890	672	436	345	431	host	waaQ	0.6363342727713814	0	1
gene-b2448	44	67	42	21	14	12	3	22	19	8	12	33	host	yffQ	0.7161751505324514	0	1
gene-b4791	20	17	17	11	5	7	14	20	16	5	4	8	host	yriA	0.4823265376162594	0	1
gene-b0633	2149	2467	1690	1529	1002	1269	998	1519	866	597	444	449	host	rlpA	0.49727252679236206	0	1
gene-b0616	86	108	63	39	21	35	21	27	39	24	28	40	host	citE	0.5968501628809906	0	1
gene-b3388	8014	9312	10457	8416	4328	6965	3320	6178	2586	1746	1248	1358	host	damX	0.593891956162977	0	1
gene-b0623	70346	88951	71149	59901	53012	45751	35335	71736	30071	20424	14617	16283	host	cspE	0.49493871979209947	0	1
gene-b2086	1311	1738	1188	1085	490	688	225	458	221	150	222	254	host	yegS	0.761201244281624	0	1
gene-b3067	11405	15747	20639	12309	15883	22511	8833	18016	4153	2873	1819	2009	host	rpoD	0.6251813179033078	0	1
gene-b2153	1379	1634	1173	1052	650	861	427	1000	388	325	313	324	host	folE	0.5511907419947452	0	1
gene-b0770	25	69	54	19	19	17	11	20	21	9	8	20	host	ybhI	0.723048943583378	0	1
gene-b0288	181	192	187	159	61	85	58	87	75	52	51	74	host	ykgJ	0.5167447610943672	0	1
gene-b1600	109	129	152	137	76	96	65	104	37	31	23	27	host	mdtJ	0.5328125907848037	0	1
gene-b0787	108	145	153	98	69	68	42	77	23	24	25	31	host	ybhM	0.6141181483447203	0	1
gene-b1658	4526	4653	2523	2101	1179	1422	1446	2859	932	630	483	482	host	purR	0.7200933332798681	0	1
gene-b4604	5	8	7	4	0	0	2	3	4	0	5	4	host	yojO	0.723746864455746	0	1
gene-b4763	5138	6660	4201	3206	2140	2608	2369	3460	2300	1800	1691	1805	host	sroC	0.4713614625824596	0	1
gene-b2470	471	631	540	405	176	310	187	292	173	92	97	143	host	acrD	0.591314363156688	0	1
gene-b0979	813	793	681	636	290	407	167	286	158	100	81	123	host	appB	0.708501947773038	0	1
gene-b3919	16433	22209	16971	13978	7790	10931	4902	9660	4937	3242	3182	3349	host	tpiA	0.6237437718179256	0	1
gene-b0957	43515	45482	27391	26496	23147	21202	10681	32313	10554	8115	7320	6290	host	ompA	0.6027002637189752	0	1
gene-b2528	11818	13247	9932	7679	4520	5433	1877	3512	1804	996	1467	1350	host	iscA	0.7876175276293426	0	1
gene-b4084	193	279	177	129	79	123	84	113	89	56	48	51	host	alsK	0.5556181608113906	0	1
gene-b3094	1408	1853	1283	1004	549	739	519	892	594	406	311	392	host	exuR	0.5505380863671417	0	1
gene-b4572	67	109	117	53	30	45	39	36	49	28	26	42	host	ylbE	0.5402840942366783	0	1
gene-b0775	6758	8318	4564	4494	1668	2372	1493	2634	2513	1968	2153	2314	host	bioB	0.6047140139122453	0	1
gene-b0905	4087	3849	5018	3809	3032	4044	2438	5274	1404	1018	513	549	host	ycaO	0.5575520524270559	0	1
gene-b2839	253	307	279	225	101	167	86	140	93	63	55	84	host	lysR	0.5557503083690698	0	1
gene-b2791	389	418	683	467	449	536	156	327	99	68	47	73	host	truC	0.6628486689898152	0	1
gene-b4129	977	1453	958	635	374	569	250	494	271	198	220	239	host	lysU	0.6810504306697419	0	1
gene-b2723	78	132	120	53	30	42	35	27	42	19	21	53	host	hycC	0.6568572734330774	0	1
gene-b2225	113	129	144	88	42	70	60	78	47	44	18	43	host	yfaP	0.5096184996640624	0	1
gene-b4673	12	20	17	19	6	7	1	7	5	1	1	1	host	ymjD	0.8548002036998451	0	1
gene-b1530	215	325	452	257	222	259	171	319	224	139	101	113	host	marR	0.4109581224223531	0	1
gene-b0306	62	82	67	29	28	36	22	29	21	14	19	39	host	ykgE	0.5520211587374867	0	1
gene-b0741	15617	19025	16881	12576	9735	12204	6959	13400	6167	4087	2892	2918	host	pal	0.5235458841121162	0	1
gene-b2508	14805	14896	10414	8135	4181	5393	6986	12157	7245	4462	2614	2544	host	guaB	0.5361030995004364	0	1
gene-b0644	254	374	208	192	56	85	35	69	60	32	72	97	host	ybeQ	0.7951599668577731	0	1
gene-b0800	2138	2218	1536	1365	579	859	399	778	663	439	513	510	host	ybiB	0.6268048115221144	0	1
gene-b2076	496	675	615	526	278	440	219	414	196	116	75	93	host	mdtC	0.5808320361966939	0	1
gene-b1754	473	502	435	335	121	204	90	182	120	52	84	104	host	ynjB	0.703657559178078	0	1
gene-b4081	120	212	155	66	34	56	45	70	83	37	43	74	host	mdtO	0.6230142566351163	0	1
gene-b1485	471	682	320	359	72	146	61	91	59	38	46	60	host	ddpC	1.0035050799285492	0	1
gene-b1636	4328	5043	4246	3545	1997	2776	1893	3265	1665	1148	780	781	host	pdxY	0.5335632033369174	0	1
gene-b3077	13	20	17	11	8	12	7	12	7	2	8	14	host	ebgC	0.4287739441216372	0	1
gene-b3199	2210	3062	2958	2077	1252	1936	890	1715	757	528	472	537	host	lptC	0.5817046700126453	0	1
gene-b3161	64818	58898	3606	3178	810	887	422	604	239	153	114	140	host	mtr	2.0378930821786687	0	1
gene-b2024	4380	4111	3795	3489	1876	3072	1186	2256	656	473	436	434	host	hisA	0.6763897857778471	0	1
gene-b3333	121	229	163	122	63	84	45	86	62	45	33	75	host	gspL	0.5788837387409699	0	1
gene-b2305	374	451	500	413	187	265	131	240	105	70	70	94	host	rpnB	0.6237037926191146	0	1
gene-b3052	9223	9690	8720	7175	4698	6366	3713	6812	4216	2660	1831	1829	host	hldE	0.48406129800665865	0	1
gene-b4770	469	557	512	372	221	297	112	246	156	85	102	116	host	yljB	0.6027157531083135	0	1
gene-b1461	294	392	246	216	110	162	81	115	93	48	50	54	host	pptA	0.6792546778306047	0	1
gene-b0563	15	17	14	3	9	3	5	6	7	4	5	5	host	tfaX	0.6055014290452081	0	1
gene-b1591	1374	1424	1235	1095	543	764	421	797	364	250	169	166	host	dmsD	0.6259253518993952	0	1
gene-b3818	15	19	27	14	13	18	7	17	11	2	1	4	host	yigG	0.600705696510618	0	1
gene-b1626	780	844	1262	1054	516	872	286	544	208	140	91	114	host	ydgK	0.6847318208449866	0	1
gene-b4073	79	128	128	74	29	51	43	33	39	27	28	61	host	nrfD	0.5777510677586812	0	1
gene-b3279	3924	4680	3273	2777	1136	1579	839	1414	970	686	813	936	host	yrdA	0.6889459388491709	0	1
gene-b3256	24878	32278	30582	23894	16875	23578	12872	25905	11992	7789	4252	4409	host	accC	0.518757989400309	0	1
gene-b4459	1069	1588	864	906	411	678	361	506	203	197	285	275	host	ryjA	0.6655538968467597	0	1
gene-b4370	78614	116350	124371	72148	68612	75413	231325	49196	62502	54599	37356	29110	host	leuQ	0.6255359378002359	0	1
gene-b1041	10	24	28	4	8	11	3	3	8	5	3	10	host	csgB	0.8033733393210153	0	1
gene-b2245	268	323	237	183	94	140	58	119	72	47	45	75	host	yfaU	0.6492229994309492	0	1
gene-b2766	170	214	269	217	186	197	129	201	145	86	62	85	host	ygcN	0.36895243345895207	0	1
gene-b0768	106	118	99	68	22	45	22	46	34	15	19	31	host	ybhD	0.6753042573536762	0	1
gene-b2410	478	467	628	487	320	496	196	357	157	99	66	121	host	yfeH	0.5633400958163745	0	1
gene-b4032	75	90	96	49	27	60	28	41	49	29	16	40	host	malG	0.49105328970828954	0	1
gene-b1612	4252	4649	3323	2477	1538	1990	1265	2422	1958	1444	1342	1468	host	fumA	0.4706592455830757	0	1
gene-b1027	24	35	43	23	15	16	11	19	12	5	10	13	host	insE4	0.5576625753694922	0	1
gene-b1816	1295	1292	944	862	420	566	364	625	394	231	181	214	host	yoaE	0.6183122722514169	0	1
gene-b3572	3667	4203	2859	2688	1291	1875	987	1891	918	649	510	556	host	avtA	0.6539841614708763	0	1
gene-b1117	3554	3676	3239	2812	1724	2411	1436	2529	860	556	418	461	host	lolD	0.594480659108499	0	1
gene-b1179	1078	1585	949	764	524	581	353	703	407	254	252	243	host	ycgL	0.6058779532790558	0	1
gene-b3953	73	88	63	33	19	29	11	28	24	19	20	26	host	frwD	0.6512661130364449	0	1
gene-b3672	1572	1829	653	685	512	535	507	1053	324	257	298	409	host	ivbL	0.6762885020538371	0	1
gene-b3118	4	27	25	6	4	12	5	6	9	4	4	27	host	tdcA	0.8215468506230608	0	1
gene-b3808	1596	1727	1472	1124	850	924	576	1057	593	340	360	321	host	yzcX	0.5214049088615523	0	1
gene-b1744	1583	2136	904	944	355	643	111	196	62	45	101	114	host	astE	1.0856485538325495	0	1
gene-b3371	71	124	105	56	32	57	36	47	42	18	20	46	host	frlB	0.563480034659545	0	1
gene-b0445	165	228	159	112	59	76	56	83	78	40	51	60	host	ybaE	0.568739560476283	0	1
gene-b2224	67	86	77	44	28	32	24	36	33	17	26	34	host	atoB	0.5084322977157767	0	1
gene-b3059	789	921	641	616	364	488	365	534	358	231	197	219	host	plsY	0.464549755398259	0	1
gene-b3516	5595	8128	4851	2838	1076	1366	697	1231	1024	661	1527	1797	host	gadX	0.8859911569957125	0	1
gene-b4127	992	1416	944	566	302	405	129	248	147	100	278	298	host	yjdJ	0.8206218863468439	0	1
gene-b1949	17	32	31	9	4	23	6	22	10	4	13	12	host	fliQ	0.6157914744587852	0	1
gene-b0234	40	64	57	34	18	37	17	30	17	16	10	26	host	yafP	0.5304488422086373	0	1
gene-b1896	3291	4878	3254	2355	927	1493	477	921	511	336	790	866	host	otsA	0.8267177779328987	0	1
gene-b2392	3418	4453	2370	2296	493	598	313	564	390	290	408	495	host	mntH	1.0212762927645518	0	1
gene-b4196	117	145	150	92	55	71	48	65	36	44	29	37	host	ulaD	0.5490639073649991	0	1
gene-b1473	96	148	68	43	39	46	18	37	38	18	19	30	host	yddG	0.7292004754066835	0	1
gene-b4662	409	407	297	282	208	182	186	322	244	158	157	193	host	sgrT	0.33950430139631804	0	1
gene-b2307	1108	1319	1078	920	338	554	286	531	280	164	165	186	host	hisM	0.6940064414657937	0	1
gene-b1229	623	777	939	869	721	753	601	893	381	339	235	325	host	tpr	0.3781648517092061	0	1
gene-b3990	6644	7908	7577	6564	3357	5955	1761	2946	403	283	119	147	host	thiH	0.8209864954603049	0	1
gene-b2696	12138	13536	10833	9512	5777	6877	4103	7925	3817	2449	2567	2691	host	csrA	0.5487831323303849	0	1
gene-b4709	101	173	244	192	112	159	68	128	37	35	24	48	host	insA9	0.6173180627789164	0	1
gene-b2729	628	661	557	390	233	297	144	260	191	113	148	173	host	hypD	0.5953587407464977	0	1
gene-b1376	313	424	269	207	107	153	66	147	106	52	87	81	host	uspF	0.654486326138396	0	1
gene-b1644	108	152	155	133	78	104	57	111	48	34	17	40	host	ydhJ	0.524862194769503	0	1
gene-b1127	4535	6006	3837	3197	1486	2052	689	1378	869	536	844	868	host	pepT	0.7821549284241263	0	1
gene-b2135	67	97	46	42	11	15	11	12	23	8	11	22	host	yohC	0.8742216332627284	0	1
gene-b2988	8689	9433	7243	6001	2981	4308	2152	3651	2839	1895	1853	1995	host	gss	0.5949665983636766	0	1
gene-b2128	1383	1423	1243	1135	667	815	407	762	316	201	222	252	host	yehW	0.6064955009651941	0	1
gene-b0737	3211	3795	4241	3245	2172	3044	1527	2908	1097	716	444	470	host	tolQ	0.5760907044588714	0	1
