Geneid	0_R1	0_R2	0_R3	0_R4	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	25_R1	25_R2	25_R3	Entity	Symbol	relative changes	negligible changes	Outlier
gene-PA2194	16	20	19	82	87	15	61	20	3	6	16	3	3	host	hcnB	1.0524896746010968	0	1
gene-PA5386	12	16	17	32	30	12	11	6	3	6	30	4	2	host	cdhA	0.7343287608261896	0	1
gene-PA2147	32	18	45	28	17	26	35	20	7	8	24	2	0	host	katE	0.6395379574513432	0	1
gene-PA0086	809	942	1164	1635	1878	629	733	487	81	164	141	21	20	host	gene-PA0086	0.8780990081342441	0	1
gene-PA1818	379	213	345	338	390	230	423	146	86	170	79	32	34	host	ldcA	0.6176046068619566	0	1
gene-PA0166	25	20	42	35	48	42	54	28	8	13	62	4	4	host	gene-PA0166	0.6274649486339534	0	1
gene-PA0133	54	59	82	93	63	65	54	21	16	19	47	11	11	host	gene-PA0133	0.5798489828208099	0	1
gene-PA0866	121	59	66	90	73	44	122	31	14	60	58	5	10	host	aroP2	0.6308310613695406	0	1
gene-PA5364	254	177	327	352	291	173	258	62	43	95	54	10	18	host	gene-PA5364	0.7278981962780274	0	1
gene-PA3089a	62	43	93	119	100	51	88	31	14	18	24	4	4	host	gene-PA3089a	0.7499873170534105	0	1
gene-PA2107	2	1	9	7	10	2	9	4	3	1	2	0	1	host	gene-PA2107	0.8685190035431412	0	1
gene-PA2796	159	129	221	245	185	148	264	41	48	103	31	15	18	host	tal	0.6881365468539473	0	1
gene-PA3313	211	206	310	407	199	178	191	35	42	111	41	17	10	host	gene-PA3313	0.7789710057555846	0	1
gene-PA1222	332	212	343	438	502	204	347	241	39	97	94	15	14	host	gene-PA1222	0.7084822848014468	0	1
gene-PA5345	1254	921	1369	1942	1585	673	1339	574	111	251	217	23	33	host	recG	0.7934519355241964	0	1
gene-EST35_0151	0	0	0	0	547	80	44	762	58	69	5565	7111	185	phage	gene-EST35_0151	2.0383796913598	0	0
gene-PA1457	648	332	596	614	581	341	618	69	50	134	33	22	15	host	cheZ	0.8257105469298258	0	1
gene-PA2659	73	58	126	111	80	88	129	11	31	48	8	10	12	host	gene-PA2659	0.7110654124992811	0	1
gene-PA1110	67	47	93	127	118	48	100	22	19	35	26	4	9	host	gene-PA1110	0.7346133043509587	0	1
gene-PA0887.1	18	10	22	7	23	18	69	2	7	29	28	3	9	host	gene-PA0887.1	0.8977921922647033	0	1
gene-PA0751	295	193	270	338	530	160	246	205	34	63	88	8	13	host	gene-PA0751	0.7731996231520796	0	1
gene-PA0501	218	175	220	458	235	164	326	47	28	56	47	14	16	host	bioF	0.852619640375694	0	1
gene-PA3304.1	2	4	7	9	8	3	12	5	4	7	13	0	1	host	gene-PA3304.1	0.6701243665668833	0	1
gene-PA1617	180	129	211	201	329	206	279	63	43	68	51	16	19	host	gene-PA1617	0.7194631808269107	0	1
gene-PA1218	13	9	32	23	26	15	16	11	3	6	50	3	1	host	gene-PA1218	0.8327722470067164	0	1
gene-PA2983	223	260	394	399	277	167	327	73	61	166	35	15	20	host	gene-PA2983	0.7191284574433506	0	1
gene-PA1055	56	70	107	110	69	60	107	15	31	69	17	7	7	host	gene-PA1055	0.6540491278133022	0	1
gene-PA1902	2	3	6	3	6	4	3	0	1	1	14	0	0	host	phzD2	1.1085000267733012	0	1
gene-PA3486	82	72	171	136	122	79	117	34	15	33	93	8	5	host	gene-PA3486	0.6848554682573748	0	1
gene-PA3456	126	111	138	217	260	101	180	93	15	42	64	7	7	host	gene-PA3456	0.7345326632519172	0	1
gene-PA0472	16	11	15	29	14	14	16	9	5	42	32	4	5	host	gene-PA0472	0.673620579362938	0	1
gene-PA4808	149	105	144	263	341	129	417	130	27	64	55	6	5	host	selA	0.8693018836885836	0	1
gene-PA4979	22	16	45	27	24	18	29	14	11	11	38	3	3	host	gene-PA4979	0.6013495096916018	0	1
gene-PA1770	2976	1955	3277	3528	3280	1566	2229	1141	642	1265	277	171	192	host	ppsA	0.6904238731748248	0	1
gene-PA1377	76	60	72	109	137	31	66	59	7	17	49	4	2	host	gene-PA1377	0.7446719031852135	0	1
gene-PA1278	188	131	177	358	373	155	209	107	27	49	34	4	4	host	cobP	0.8444960922286374	0	1
gene-PA4530	57	35	59	89	94	34	115	16	15	25	5	5	6	host	gene-PA4530	0.8367812770421618	0	1
gene-PA5323	902	561	840	965	1373	688	1041	352	173	408	101	45	55	host	argB	0.7145027297386666	0	1
gene-PA1040	49	27	83	69	74	42	65	21	4	7	27	3	2	host	gene-PA1040	0.7729868000071304	0	1
gene-PA4231	149	136	171	173	136	131	145	36	30	51	42	9	6	host	pchA	0.6613751283556544	0	1
gene-PA3889	25	22	24	43	45	30	50	16	15	27	29	4	7	host	gene-PA3889	0.5174277835986998	0	1
