Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	60_R1	60_R2	60_R3	Entity	Symbol	relative changes	negligible changes	Outlier
gene-VC_RS12620	702	959	830	897	1156	1063	780	980	675	host	astA	0.17125419023052632	0	1
gene-VC_RS03065	265	354	301	413	520	414	254	895	228	host	gene-VC_RS03065	0.4804807307507176	0	1
gene-VC_RS02265	53675	45782	43421	43558	30707	27471	8403	9653	6905	host	gene-VC_RS02265	0.5668182241243547	0	1
gene-VC_RS18015	268	421	397	280	387	310	318	339	201	host	gene-VC_RS18015	0.20376495933963729	0	1
gene-VC_RS15185	75	83	98	71	110	82	97	93	85	host	gene-VC_RS15185	0.13183937806248594	0	1
gene-VC_RS01635	1217	1936	1608	1465	2162	1440	1421	1686	999	host	hemE	0.21485106869478263	0	1
gene-VC_RS13050	1017	1709	1389	1339	1800	1421	1911	2212	1468	host	recG	0.21271005948449617	0	1
gene-VC_RS06950	171	232	228	126	208	150	111	129	81	host	ccoS	0.3174540493115841	0	1
gene-VC_RS13570	257	396	283	279	408	277	254	276	214	host	gene-VC_RS13570	0.2083781783384938	0	1
gene-VPVV882_gp20	513	678	564	8283	8780	8560	23994	26204	16316	phage	gene-VPVV882_gp20	0.8860805265013831	0	0
gene-VPVV882_gp47	349	441	425	2831	2705	2798	12197	10791	8324	phage	gene-VPVV882_gp47	0.9646940993295099	0	0
gene-VC_RS01710	1425	1673	1616	2435	2746	1974	1557	1334	803	host	gene-VC_RS01710	0.31932454378011227	0	1
gene-VC_RS01995	1827	2635	2479	2915	2574	2172	2294	2630	1871	host	uvrA	0.14548269327553282	0	1
gene-VC_RS16215	84	113	106	91	110	78	166	163	94	host	gene-VC_RS16215	0.27132998341868264	0	1
gene-VC_RS00170	387	555	586	636	786	639	587	577	429	host	gene-VC_RS00170	0.19171277215712787	0	1
gene-VC_RS08745	100	173	130	197	222	200	247	236	160	host	gene-VC_RS08745	0.24967798431701857	0	1
gene-VC_RS18535	143	240	175	251	369	306	455	532	341	host	gene-VC_RS18535	0.38348732469487345	0	1
gene-VC_RS00580	1324	2189	1754	1171	2346	1308	1066	7309	796	host	lysA	0.8833194044719435	0	1
gene-VC_RS11160	589	966	872	942	1253	928	1312	1623	1030	host	tcdA	0.2667750324792597	0	1
gene-VC_RS04610	200	287	202	159	274	176	347	469	306	host	gene-VC_RS04610	0.34577864507306744	0	1
gene-VC_RS11600	296	306	276	17310	407	537	356	359	312	host	ftsL	2.3789609446113364	0	1
gene-VC_RS09460	1200	1964	1673	1947	2357	1907	3277	3635	2342	host	gene-VC_RS09460	0.32101025239104636	0	1
gene-VC_RS03790	368	558	466	340	508	407	288	307	213	host	ndk	0.2738718510660337	0	1
gene-VC_RS08725	123	195	196	177	264	200	366	420	253	host	gene-VC_RS08725	0.3671868026646359	0	1
gene-VC_RS12950	295	546	444	578	761	579	561	702	434	host	fieF	0.2439980062870459	0	1
gene-VC_RS03840	1779	2593	2453	3516	4344	3470	5996	6754	4845	host	xseA	0.3955181768224791	0	1
gene-VC_RS15865	197	258	241	256	360	282	422	427	304	host	nrdD	0.2502258286901396	0	1
