Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	60_R1	60_R2	60_R3	Entity	Symbol	relative changes	negligible changes	Outlier
gene-VC_RS03415	135	164	164	152	175	133	225	264	310	host	gene-VC_RS03415	0.30365608775582276	0	1
gene-VC_RS00480	481	527	612	375	522	411	408	601	600	host	gene-VC_RS00480	0.17010052286277808	0	1
gene-VC_RS07910	646	725	780	640	1007	694	994	1165	1170	host	gene-VC_RS07910	0.23468802309114284	0	1
gene-VC_RS03250	1141	1098	1560	1217	1386	1198	951	1371	1428	host	rimP	0.141844747753358	0	1
gene-VC_RS09975	447	485	613	356	540	427	411	491	500	host	sixA	0.15001640717088152	0	1
gene-VC_RS12430	2222	1859	2478	7943	1628	1431	727	1085	1031	host	rpmD	0.9162413641340802	0	1
gene-VC_RS13170	1029	1062	1252	805	957	968	710	987	931	host	gspC	0.14956945838163874	0	1
gene-VC_RS14405	1644	1164	1429	1114	943	953	826	849	1040	host	prtV	0.23248205009366102	0	1
gene-VC_RS02085	390	409	543	323	400	335	416	578	551	host	gene-VC_RS02085	0.2044764967262168	0	1
gene-VC_RS09225	457	428	566	596	556	396	362	573	541	host	gene-VC_RS09225	0.16495101901912304	0	1
gene-VC_RS12905	1857	2222	2930	2490	2433	2424	2747	2061	2742	host	rpmE	0.13411810236597962	0	1
gene-VC_RS08645	57	81	73	77	101	94	86	110	129	host	gene-VC_RS08645	0.22589261341793498	0	1
gene-VC_RS07145	380	302	443	469	583	470	689	709	792	host	gene-VC_RS07145	0.2893508248804419	0	1
gene-VC_RS07395	228	303	366	296	349	301	408	398	457	host	gene-VC_RS07395	0.1921306849204045	0	1
gene-VC_RS18495	449	497	651	257	283	255	109	110	87	host	gene-VC_RS18495	0.6154170250910271	0	1
gene-VC_RS08210	356	314	330	194	267	244	65	94	73	host	gene-VC_RS08210	0.49994289338856734	0	1
gene-VC_RS05610	3280	3618	4360	2677	3037	2383	2034	2444	2540	host	clpA	0.23330460027431238	0	1
gene-VC_RS11530	6084	7103	7003	4789	5229	3952	2659	2948	12668	host	secA	0.48934271004823426	0	1
gene-VC_RS12705	225	250	349	202	249	191	189	212	241	host	pilM	0.19728756871826908	0	1
gene-VC_RS13845	425	410	446	450	490	467	469	539	520	host	gene-VC_RS13845	0.08494375804978699	0	1
gene-VC_RS02005	94	111	176	100	86	92	87	98	116	host	gene-VC_RS02005	0.24649892241143773	0	1
gene-VC_RS18725	63	57	79	69	117	56	22	85	73	host	gene-VC_RS18725	0.34949946372339946	0	1
gene-VC_RS08005	501	589	667	531	638	490	963	967	1010	host	mgtE	0.28544012332464175	0	1
gene-VC_RS16325	693	710	828	927	1187	860	2142	2745	2694	host	gene-VC_RS16325	0.5696289622471115	0	1
gene-VC_RS11655	1583	1722	2021	1847	2467	3045	2588	2367	3240	host	fldB	0.2352801723041185	0	1
gene-VC_RS10090	1641	1773	2267	1396	1853	1556	1403	1927	1840	host	pgm	0.14991924509660587	0	1
gene-VC_RS05895	83	89	111	52	84	50	54	70	62	host	hutG	0.2663411178347659	0	1
gene-VC_RS11545	6282	6996	7772	5665	15812	5652	7362	6114	5809	host	ftsZ	0.4038594691347969	0	1
gene-VC_RS07100	58	66	87	73	69	57	102	97	131	host	gene-VC_RS07100	0.2796285232767731	0	1
gene-VC_RS03725	3145	3771	4055	2285	2008	1813	1463	1314	1452	host	secD	0.4136807740728808	0	1
gene-VC_RS14690	161	191	232	215	256	158	273	295	319	host	gene-VC_RS14690	0.23152555287193044	0	1
gene-VC_RS17030	711	893	929	610	854	639	1340	1203	1398	host	gene-VC_RS17030	0.2924484227368675	0	1
gene-VC_RS17425	29	38	32	24	25	26	22	30	43	host	gene-VC_RS17425	0.21708254751905476	0	1
gene-VC_RS04610	224	214	297	224	204	190	284	295	317	host	gene-VC_RS04610	0.18016839336642387	0	1
gene-VC_RS18505	306	258	332	193	208	156	56	99	82	host	gene-VC_RS18505	0.49446571283004565	0	1
gene-VC_RS10875	636	813	778	651	1284	602	1136	653	689	host	gene-VC_RS10875	0.283947290022362	0	1
gene-VC_RS17010	1048	1124	1423	822	1070	1099	822	983	1086	host	gene-VC_RS17010	0.16050412894404933	0	1
gene-VC_RS04815	273	257	323	317	389	289	357	528	510	host	gene-VC_RS04815	0.2583743785138359	0	1
gene-VC_RS02500	3104	3125	4278	2543	2906	2757	2463	3212	3470	host	gene-VC_RS02500	0.16713928617078957	0	1
gene-VC_RS03770	3835	4533	4551	3103	3633	3196	2898	3016	4224	host	hscA	0.16832680344168144	0	1
gene-VC_RS14365	123	168	171	268	283	225	681	589	571	host	emrD	0.58338203347303	0	1
gene-VC_RS01815	9769	10183	10860	18440	38995	6422	64824	5446	5737	host	rpsG	1.0015861448384782	0	1
gene-VC_RS03955	100	97	132	103	114	86	140	219	192	host	gene-VC_RS03955	0.3283041680180821	0	1
gene-VC_RS12160	2060	1882	2183	1562	1698	1985	1490	1579	1696	host	mlaE	0.12849091458385678	0	1
gene-VC_RS14395	49	51	66	46	69	57	66	131	93	host	gene-VC_RS14395	0.3647365902051675	0	1
gene-VC_RS14520	167	252	300	179	275	202	276	322	352	host	ulaG	0.23440583997583395	0	1
gene-VPVV882_gp35	3105	2783	3423	9059	18271	19090	95234	127040	155524	phage	D	1.1849652694560364	0	0
gene-VC_RS06610	517	612	709	410	408	423	364	427	419	host	gene-VC_RS06610	0.2260536775048086	0	1
gene-VC_RS04240	556	640	844	512	787	656	419	566	543	host	gene-VC_RS04240	0.20641384826444042	0	1
gene-VC_RS13120	397	400	405	278	358	316	226	328	301	host	gene-VC_RS13120	0.17323299882430915	0	1
gene-VC_RS03235	2045	1875	2338	1828	2028	1630	3443	4284	2387	host	secG	0.338815666408304	0	1
gene-VC_RS07090	699	905	922	703	829	707	1022	911	1016	host	rstR	0.14231676159067483	0	1
gene-VC_RS16975	349	344	377	271	287	272	341	419	469	host	gene-VC_RS16975	0.18194971166186572	0	1
gene-VC_RS18560	32	32	22	40	32	34	42	60	60	host	gene-VC_RS18560	0.31160637815000397	0	1
gene-VC_RS08330	1128	1131	1511	1020	1258	905	895	1159	1185	host	purR	0.15667312106075995	0	1
gene-VC_RS17700	837	800	967	753	842	648	551	640	685	host	gene-VC_RS17700	0.16204946915528975	0	1
gene-VC_RS02230	229	228	250	189	197	172	130	220	169	host	apaG	0.1785329300677685	0	1
gene-VC_RS10020	1307	1263	1649	1203	1300	1146	1335	1441	1508	host	znuA	0.1098552849459835	0	1
gene-VC_RS14290	2211	2187	3259	2085	2680	2408	2333	2713	3099	host	gene-VC_RS14290	0.15326222030599027	0	1
gene-VC_RS07735	2363	2365	2715	1616	1744	1538	1383	1540	1787	host	gene-VC_RS07735	0.23210086026947604	0	1
gene-VC_RS11395	923	949	1219	685	845	732	777	924	1032	host	gene-VC_RS11395	0.17213988746740377	0	1
gene-VC_RS04040	111	105	139	98	148	85	13170	128	112	host	gene-VC_RS04040	2.6194223826720378	0	1
gene-VPVV882_gp17	857	688	741	4806	4582	5155	12885	10428	12185	phage	gene-VPVV882_gp17	0.7932300733447971	0	0
gene-VC_RS11995	2059	2387	2556	1584	1926	1445	1091	1348	1290	host	leuB	0.27777683045519397	0	1
gene-VC_RS16835	315	379	519	301	436	326	393	491	529	host	gene-VC_RS16835	0.20329230993247271	0	1
gene-VC_RS01060	569	604	726	409	456	405	168	213	204	host	gene-VC_RS01060	0.44081438743994167	0	1
gene-VC_RS11835	635	640	820	421	430	525	293	376	373	host	acpS	0.31624477467432144	0	1
gene-VC_RS03685	6547	6537	6821	5989	6028	4600	4033	4936	4869	host	gene-VC_RS03685	0.16881538524945633	0	1
gene-VC_RS18005	200	204	276	135	162	132	73	113	112	host	gene-VC_RS18005	0.37155315304369135	0	1
gene-VC_RS09695	642	660	850	480	605	537	358	454	483	host	gene-VC_RS09695	0.24232897627967814	0	1
gene-VC_RS01760	26701	3468	4065	2753	3181	2716	5748	3429	3288	host	hflK	1.1897047047250005	0	1
gene-VC_RS10080	553	592	713	586	690	539	952	888	841	host	gene-VC_RS10080	0.20626999347591637	0	1
gene-VC_RS11010	1041	1032	1344	968	1205	958	1223	1546	1583	host	gene-VC_RS11010	0.1851368872791013	0	1
gene-VC_RS11065	3168	3533	4578	1963	1810	1876	976	907	921	host	nqrE	0.5583598395187693	0	1
gene-VC_RS01370	928	1036	1243	671	745	652	444	443	491	host	gene-VC_RS01370	0.356863160326772	0	1
gene-VC_RS07565	135	140	154	93	150	109	185	277	248	host	gene-VC_RS07565	0.348617316226375	0	1
gene-VC_RS09295	124	99	158	107	158	98	131	162	175	host	gene-VC_RS09295	0.20667946282324853	0	1
gene-VC_RS09135	719	854	1175	687	882	788	781	901	1022	host	lpoB	0.1667395470084671	0	1
gene-VC_RS00220	227	253	284	229	323	268	216	361	287	host	dprA	0.16568156101892748	0	1
gene-VC_RS05355	7455	15205	8481	5537	6345	4935	5688	6121	6785	host	gene-VC_RS05355	0.39733329363816455	0	1
