Geneid	0_R1	0_R2	15_R2	15_R3	60_R1	60_R2	60_R3	120_R1	120_R2	120_R3	Entity	Symbol	relative changes	negligible changes	Outlier
gene-VC_RS11855	702	820	902	881	962	978	843	1112	1030	1019	host	rnc	0.12277711081098591	0	1
gene-VC_RS08875	619	788	926	875	641	541	580	563	505	514	host	ybgC	0.22143148336436286	0	1
gene-VC_RS06875	1202	1273	1493	1552	1202	1201	1030	1120	976	1134	host	gene-VC_RS06875	0.1425419763449789	0	1
gene-VC_RS03725	4386	3976	4184	4044	2867	2821	2962	3552	3475	3228	host	secD	0.15377773954457677	0	1
gene-VC_RS03860	3807	5732	4051	3733	16891	16206	15740	31843	33450	30520	host	gene-VC_RS03860	0.7077653347328828	0	1
gene-VC_RS11865	7537	7842	7208	7351	10823	10949	11534	13672	11619	11963	host	lepA	0.22116017456138393	0	1
gene-VC_RS09675	1027	960	1026	956	965	1027	1021	1209	1314	970	host	gene-VC_RS09675	0.1079858775736702	0	1
gene-VC_RS10275	476	611	591	630	672	602	550	910	867	886	host	gene-VC_RS10275	0.21334068546702298	0	1
gene-VC_RS02195	12602	14040	15348	14565	13955	12193	14341	15148	11609	65487	host	rplU	0.8222578281899241	0	1
gene-VC_RS15340	343	401	332	320	724	644	838	1637	1987	1666	host	gene-VC_RS15340	0.6774722223072666	0	1
gene-VC_RS04835	939	740	1012	1088	783	587	642	1118	1122	975	host	gene-VC_RS04835	0.20940440522858922	0	1
gene-VC_RS04765	2383	2678	2514	2724	4735	4457	4497	5345	5299	4849	host	miaB	0.2930373460920106	0	1
gene-VC_RS01375	103	96	101	90	162	178	156	280	316	265	host	gene-VC_RS01375	0.4567461139377938	0	1
gene-VC_RS10190	792	905	925	898	1159	1082	1206	1197	1079	1022	host	smrB	0.13116096782460934	0	1
gene-VC_RS17250	536	481	659	627	621	452	526	803	817	691	host	gene-VC_RS17250	0.19202024683696903	0	1
gene-VC_RS14360	1410	1586	1382	1403	3710	3752	3691	5362	6444	5219	host	gene-VC_RS14360	0.5270954153105956	0	1
gene-VC_RS02670	982	914	980	878	1357	1341	1558	1587	1385	1450	host	folK	0.21005294242240005	0	1
gene-VC_RS08985	664	823	868	936	776	917	792	1476	1615	1464	host	gene-VC_RS08985	0.31739879636065554	0	1
gene-VC_RS07960	574	666	634	666	785	688	831	1161	1371	1052	host	gene-VC_RS07960	0.29777226781364674	0	1
gene-VC_RS06525	1407	1367	1230	1225	2739	3525	3336	3472	3052	3128	host	gene-VC_RS06525	0.39053001542231663	0	1
gene-VC_RS07440	591	673	683	748	581	522	522	501	457	485	host	gene-VC_RS07440	0.15959201186271021	0	1
gene-VC_RS07215	4316	4272	3915	3867	4498	4446	5111	6844	6743	5892	host	gene-VC_RS07215	0.21266403241528922	0	1
gene-VC_RS00580	2004	2155	2538	2313	1838	1855	1772	1795	1616	1709	host	lysA	0.1414709279293878	0	1
gene-VC_RS05655	1425	1446	1777	1502	1075	971	993	922	1146	889	host	gene-VC_RS05655	0.23590252460654315	0	1
gene-VC_RS06145	1076	1051	1166	1120	1661	1661	1695	2093	2035	1722	host	gene-VC_RS06145	0.24544223274280152	0	1
gene-VC_RS09300	38	47	49	41	80	70	75	155	159	152	host	gene-VC_RS09300	0.5425335025900404	0	1
gene-VC_RS17570	233	218	272	275	235	210	265	330	365	319	host	gene-VC_RS17570	0.17971304330592738	0	1
gene-VC_RS16345	360	387	336	379	563	546	544	783	720	668	host	moeB	0.2871911130935501	0	1
gene-VC_RS17065	392	454	412	361	496	519	447	697	702	693	host	gene-VC_RS17065	0.24291186261366707	0	1
