Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol	relative changes	negligible changes	Outlier
gene-AUO97_RS17180	3	0	0	0	0	0	host	gene-AUO97_RS17180	2.23606797749979	0	1
gene-AUO97_RS08455	0	0	0	0	0	0	host	gene-AUO97_RS08455	0.0	0	1
gene-AUO97_RS07760	3028	2107	655	705	532	367	host	glmS	0.800584519902217	0	1
gene-M172_gp35	3563	4180	29154	46956	157765	129184	phage	gene-M172_gp35	0.974180101494452	0	0
gene-AUO97_RS10170	60	60	26	22	7	2	host	gene-AUO97_RS10170	0.7818074115081501	0	1
gene-AUO97_RS10920	3029	2262	638	664	463	299	host	gene-AUO97_RS10920	0.8443131349305855	0	1
gene-AUO97_RS03240	101	63	26	33	11	14	host	gene-AUO97_RS03240	0.7651521785890594	0	1
gene-AUO97_RS13540	167	123	85	115	64	67	host	gene-AUO97_RS13540	0.34790435691198307	0	1
gene-AUO97_RS04845	5	10	0	6	5	2	host	gene-AUO97_RS04845	0.6738557951469003	0	1
gene-AUO97_RS07725	6	7	5	5	3	1	host	gene-AUO97_RS07725	0.439790447668071	0	1
gene-AUO97_RS06740	22	28	6	8	7	1	host	gene-AUO97_RS06740	0.8007519614110875	0	1
gene-AUO97_RS02250	2574	2007	929	1134	600	443	host	htpX	0.5970348695602311	0	1
gene-AUO97_RS09775	48	33	10	13	7	6	host	gene-AUO97_RS09775	0.8014615183634761	0	1
gene-AUO97_RS10955	962	705	206	229	135	94	host	ndhC	0.8398861011694505	0	1
gene-AUO97_RS18940	69	40	17	30	8	7	host	pgaA	0.756558818276173	0	1
gene-AUO97_RS16235	84	60	35	35	15	17	host	gene-AUO97_RS16235	0.5919346877810535	0	1
gene-AUO97_RS00385	180	134	58	59	40	18	host	gene-AUO97_RS00385	0.6953837308476376	0	1
gene-AUO97_RS02225	121	107	52	71	23	41	host	gene-AUO97_RS02225	0.5057084500331157	0	1
gene-AUO97_RS09840	726	538	254	255	147	114	host	gene-AUO97_RS09840	0.6497938781408658	0	1
gene-AUO97_RS11310	72	73	18	34	17	9	host	gene-AUO97_RS11310	0.7011738117983206	0	1
gene-AUO97_RS14000	194	144	65	27	45	22	host	tssM	0.7740623358538105	0	1
gene-AUO97_RS11165	134	94	33	52	13	9	host	ccsA	0.805334188009777	0	1
gene-AUO97_RS03495	193	133	46	47	26	23	host	gene-AUO97_RS03495	0.8102320671448698	0	1
gene-AUO97_RS11205	267	197	77	78	53	35	host	ligA	0.7170755103758945	0	1
gene-AUO97_RS06915	0	0	0	0	0	0	host	gene-AUO97_RS06915	0.0	0	1
gene-AUO97_RS11470	507	398	114	135	74	54	host	cntA	0.8132071250352935	0	1
gene-AUO97_RS15420	20955	16726	7167	8463	5141	3717	host	rpsA	0.6077662781555075	0	1
gene-AUO97_RS17205	12	21	2	9	0	3	host	gene-AUO97_RS17205	0.9188435268803907	0	1
gene-AUO97_RS08780	73	56	17	34	9	10	host	gspN	0.7272556533528659	0	1
gene-AUO97_RS06405	825	603	195	238	104	79	host	gene-AUO97_RS06405	0.8124607360129006	0	1
gene-AUO97_RS03680	1	1	0	0	0	0	host	cadR	1.4142135623730954	0	1
gene-AUO97_RS04175	197	164	37	44	36	25	host	gene-AUO97_RS04175	0.8258924053889228	0	1
gene-AUO97_RS07195	14	11	7	18	6	5	host	gene-AUO97_RS07195	0.45930904020071806	0	1
gene-AUO97_RS18605	53	25	13	13	7	4	host	gene-AUO97_RS18605	0.8606938775491908	0	1
gene-AUO97_RS10320	2625	1975	759	935	528	394	host	gene-AUO97_RS10320	0.6786618214084423	0	1
gene-AUO97_RS13185	0	0	0	0	0	0	host	gene-AUO97_RS13185	0.0	0	1
gene-AUO97_RS16925	1	0	0	0	0	0	host	gene-AUO97_RS16925	2.2360679774997902	0	1
gene-AUO97_RS06695	748	615	211	218	124	91	host	gene-AUO97_RS06695	0.7544158502241285	0	1
gene-AUO97_RS02835	41	38	21	17	5	0	host	gene-AUO97_RS02835	0.7510630287839546	0	1
gene-AUO97_RS19130	0	0	0	0	0	0	host	gene-AUO97_RS19130	0.0	0	1
gene-AUO97_RS00465	40	25	8	11	3	4	host	gene-AUO97_RS00465	0.8742309056351122	0	1
gene-AUO97_RS11865	489	395	128	149	89	68	host	gene-AUO97_RS11865	0.7358196439506876	0	1
gene-AUO97_RS05340	0	0	0	0	0	0	host	gene-AUO97_RS05340	0.0	0	1
gene-AUO97_RS09620	853	643	236	244	120	120	host	gene-AUO97_RS09620	0.7550926855051795	0	1
gene-AUO97_RS00890	0	0	0	0	0	0	host	gene-AUO97_RS00890	0.0	0	1
gene-AUO97_RS08390	0	0	0	0	0	0	host	gene-AUO97_RS08390	0.0	0	1
gene-AUO97_RS06370	50	45	11	22	16	12	host	gene-AUO97_RS06370	0.6028368177183973	0	1
gene-AUO97_RS11850	347	283	115	137	67	34	host	betB	0.6918593968326893	0	1
gene-AUO97_RS15960	227	145	51	79	27	25	host	gene-AUO97_RS15960	0.7859430471939238	0	1
gene-AUO97_RS18045	57	45	37	44	30	18	host	gene-AUO97_RS18045	0.319790086882469	0	1
gene-AUO97_RS18700	84	59	26	39	14	14	host	tsaE	0.6434542126348548	0	1
gene-AUO97_RS03150	127	110	27	25	21	12	host	gene-AUO97_RS03150	0.8635774321105917	0	1
gene-AUO97_RS08345	0	0	0	0	0	0	host	gene-AUO97_RS08345	0.0	0	1
gene-AUO97_RS14970	1491	1400	912	1149	512	374	host	gene-AUO97_RS14970	0.43130216115220665	0	1
gene-AUO97_RS04675	589	561	148	142	81	66	host	gene-AUO97_RS04675	0.8381286363043476	0	1
gene-AUO97_RS06145	660	568	133	133	53	48	host	gene-AUO97_RS06145	0.9400762101152638	0	1
gene-AUO97_RS14590	9	3	1	4	2	2	host	gene-AUO97_RS14590	0.7514158970504524	0	1
gene-M172_gp24	36105	39313	99434	120094	75742	56909	phage	gene-M172_gp24	0.43101241157713943	0	0
gene-AUO97_RS03195	84874	69640	38813	48820	29861	22185	host	omp38	0.4485382564269982	0	1
gene-AUO97_RS04885	17	17	10	19	5	3	host	gene-AUO97_RS04885	0.5264290589022748	0	1
gene-AUO97_RS16615	0	0	0	0	0	0	host	gene-AUO97_RS16615	0.0	0	1
gene-AUO97_RS06285	10	6	5	8	2	2	host	gene-AUO97_RS06285	0.5326786615529377	0	1
gene-AUO97_RS03835	0	0	0	0	0	0	host	gene-AUO97_RS03835	0.0	0	1
gene-AUO97_RS08005	0	0	0	0	0	0	host	gene-AUO97_RS08005	0.0	0	1
gene-AUO97_RS13350	11	19	7	15	5	5	host	gene-AUO97_RS13350	0.5080005080007619	0	1
gene-AUO97_RS08180	0	0	0	0	0	0	host	gene-AUO97_RS08180	0.0	0	1
gene-AUO97_RS13630	39	22	9	6	6	5	host	gene-AUO97_RS13630	0.854680985977991	0	1
gene-AUO97_RS16535	62	48	16	22	16	5	host	adeB	0.7113646775685024	0	1
gene-AUO97_RS13125	0	0	0	0	0	0	host	gene-AUO97_RS13125	0.0	0	1
gene-AUO97_RS16525	1	0	0	0	0	0	host	gene-AUO97_RS16525	2.2360679774997902	0	1
gene-AUO97_RS17025	0	0	0	0	0	0	host	gene-AUO97_RS17025	0.0	0	1
gene-AUO97_RS12770	0	0	0	0	0	0	host	gudD	0.0	0	1
gene-AUO97_RS16255	285	266	135	138	51	36	host	gene-AUO97_RS16255	0.629584213269271	0	1
gene-AUO97_RS03555	0	0	0	0	0	0	host	gene-AUO97_RS03555	0.0	0	1
gene-AUO97_RS04410	7675	6461	3067	3459	2121	1469	host	rpsJ	0.5591814499726279	0	1
gene-AUO97_RS02930	16	17	5	15	0	1	host	sbmA	0.7986614315869565	0	1
gene-AUO97_RS17565	595	538	373	477	90	96	host	gene-AUO97_RS17565	0.5570976189849637	0	1
gene-AUO97_RS16310	9	3	2	3	1	2	host	gene-AUO97_RS16310	0.787400787401181	0	1
gene-AUO97_RS12495	148	117	21	27	16	9	host	dnaQ	0.9738897208276417	0	1
gene-AUO97_RS09255	684	568	260	301	220	130	host	gene-AUO97_RS09255	0.548063185367876	0	1
gene-AUO97_RS09685	129	105	19	32	24	8	host	gene-AUO97_RS09685	0.8790853495292187	0	1
gene-AUO97_RS11185	104	58	20	23	9	7	host	gene-AUO97_RS11185	0.9338493943593827	0	1
gene-AUO97_RS11685	19	20	4	17	3	1	host	gene-AUO97_RS11685	0.759059862593195	0	1
gene-AUO97_RS11160	32	31	14	15	6	1	host	gene-AUO97_RS11160	0.7039614175364011	0	1
gene-AUO97_RS00490	205	179	49	57	38	17	host	queF	0.8033030875812897	0	1
gene-AUO97_RS02085	273	221	79	104	47	37	host	radA	0.7014043055035916	0	1
gene-AUO97_RS08805	361	288	96	149	58	38	host	trpE	0.7261776266973279	0	1
gene-AUO97_RS15260	173	155	46	28	24	20	host	gene-AUO97_RS15260	0.8627597584800888	0	1
gene-AUO97_RS00980	7	0	0	0	0	1	host	gene-AUO97_RS00980	1.9202864369671522	0	1
gene-AUO97_RS08090	0	0	0	0	0	0	host	gene-AUO97_RS08090	0.0	0	1
gene-AUO97_RS08855	13094	10876	5747	7094	4470	3298	host	rplA	0.4686198377947972	0	1
gene-AUO97_RS13465	17	6	4	3	3	1	host	benA	0.9319399716326388	0	1
gene-AUO97_RS14840	350	327	110	145	47	50	host	gene-AUO97_RS14840	0.7172623959578158	0	1
gene-AUO97_RS15295	626	425	153	146	93	57	host	gene-AUO97_RS15295	0.8232034985348398	0	1
gene-AUO97_RS18870	227	190	130	104	62	37	host	gene-AUO97_RS18870	0.5347447989461889	0	1
gene-AUO97_RS00650	2	0	1	1	0	0	host	gene-AUO97_RS00650	1.1180339887498951	0	1
gene-AUO97_RS03880	263	182	54	78	29	20	host	gene-AUO97_RS03880	0.8502965456940458	0	1
gene-AUO97_RS11670	622	467	297	371	143	127	host	bamE	0.5164015342631512	0	1
gene-AUO97_RS02870	173	140	41	63	36	22	host	gene-AUO97_RS02870	0.7174253751959636	0	1
gene-AUO97_RS11085	31	26	15	9	3	5	host	gene-AUO97_RS11085	0.7053638703694161	0	1
gene-AUO97_RS13880	817	585	312	317	141	98	host	gene-AUO97_RS13880	0.6636197977780858	0	1
gene-AUO97_RS16125	683	459	202	247	91	73	host	gene-AUO97_RS16125	0.7375634245245533	0	1
gene-AUO97_RS06275	403	303	91	107	61	63	host	gene-AUO97_RS06275	0.7739694770348182	0	1
gene-AUO97_RS03170	85	69	22	29	13	10	host	gene-AUO97_RS03170	0.7532631382817018	0	1
gene-AUO97_RS17105	10	9	7	8	2	2	host	gene-AUO97_RS17105	0.5048243708750232	0	1
gene-AUO97_RS10385	2643	2153	1080	1202	761	580	host	infC	0.531274460449635	0	1
gene-AUO97_RS14760	49	49	13	11	1	12	host	gene-AUO97_RS14760	0.8509496027012695	0	1
gene-AUO97_RS14670	33	18	10	10	3	1	host	madM	0.8551023330572779	0	1
gene-AUO97_RS14460	102	56	13	16	4	3	host	gene-AUO97_RS14460	1.109194033510331	0	1
gene-AUO97_RS05940	1	0	0	0	0	0	host	gene-AUO97_RS05940	2.2360679774997902	0	1
gene-AUO97_RS12325	117	117	26	34	12	10	host	gene-AUO97_RS12325	0.877375914550556	0	1
gene-AUO97_RS16145	20	32	5	6	0	0	host	gene-AUO97_RS16145	1.1157499537009505	0	1
gene-AUO97_RS18485	19	25	5	12	4	2	host	gene-AUO97_RS18485	0.755318264410746	0	1
gene-AUO97_RS12475	946	673	331	379	153	106	host	gene-AUO97_RS12475	0.6821232981718734	0	1
gene-AUO97_RS12505	127	111	21	36	11	11	host	gene-AUO97_RS12505	0.9038006285858758	0	1
gene-AUO97_RS07305	2529	1870	885	999	563	390	host	yidC	0.625695014850766	0	1
gene-AUO97_RS14260	3	1	2	6	2	1	host	gene-AUO97_RS14260	0.6831300510639732	0	1
gene-AUO97_RS14785	5	3	4	1	2	2	host	gene-AUO97_RS14785	0.47425045578226754	0	1
gene-AUO97_RS16325	75	70	24	52	9	3	host	gene-AUO97_RS16325	0.7318949442609178	0	1
gene-AUO97_RS08185	0	0	0	0	0	0	host	gene-AUO97_RS08185	0.0	0	1
gene-AUO97_RS09785	1516	1105	345	403	176	133	host	gene-AUO97_RS09785	0.8410317365295095	0	1
gene-AUO97_RS04220	1400	950	300	366	201	129	host	rnr	0.8274425470153681	0	1
