Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	Entity	Symbol
gene-PA2589	12	13	4	10	1	2	0	0	host	gene-PA2589
gene-PA1795	1379	1066	865	1203	190	188	93	57	host	cysS
gene-PA2468	785	474	25	30	10	7	4	4	host	foxI
gene-PA4119	14	15	17	21	9	4	6	3	host	aph
gene-PA2246	30	21	9	21	1	2	0	2	host	bkdR
gene-PA1033	22	20	13	11	3	4	3	1	host	gene-PA1033
gene-PA2214	3	2	3	1	0	2	0	0	host	gene-PA2214
gene-PA3210	25	18	14	25	7	3	2	8	host	trkH
gene-PA4724	66	42	179	40	8	5	2	2	host	gene-PA4724
gene-PA5368	46	37	42	61	23	27	24	9	host	pstC
gene-PA1496	17	24	9	13	0	1	3	4	host	gene-PA1496
gene-PA3978	53	53	36	59	15	14	8	10	host	gene-PA3978
gene-PA3440	56	46	33	40	8	6	3	3	host	gene-PA3440
gene-PA2568	110	65	43	74	8	15	4	5	host	gene-PA2568
gene-PA3091	244	166	68	83	16	16	11	8	host	gene-PA3091
gene-PA0504	40	35	40	67	13	11	3	1	host	bioD
gene-PA4546	65	52	44	67	14	9	6	6	host	pilS
gene-PA0925	24	14	26	28	3	8	11	4	host	gene-PA0925
gene-PA5178	1018	949	514	609	131	154	62	59	host	gene-PA5178
gene-PA5205	105	81	17	35	1	11	8	2	host	gene-PA5205
gene-PA1439	35	31	22	26	8	6	2	6	host	gene-PA1439
gene-PA1503	7	4	4	3	1	0	0	0	host	gene-PA1503
gene-PA0730	75	67	36	60	9	6	9	2	host	gene-PA0730
gene-PA1695	45	13	14	8	6	6	1	4	host	pscP
gene-PA4506	37	34	14	19	2	6	1	2	host	gene-PA4506
gene-PA3686	828	1243	398	709	107	144	80	68	host	adk
gene-PA0550	26	36	31	67	7	7	10	2	host	gene-PA0550
gene-PA4637	22	128	56	92	27	44	28	9	host	gene-PA4637
gene-PA2937	4	8	1	2	1	2	0	0	host	gene-PA2937
gene-PA5043	1346	1250	700	873	74	82	32	20	host	pilN
gene-PA1816	154	243	135	230	28	48	22	19	host	dnaQ
gene-PPLUZ19_gp23	2	0	1	7	16603	28710	139558	110577	phage	gp23
gene-PA4733	202	189	102	120	15	9	11	5	host	acsB
gene-PA0027	249	263	92	195	18	11	13	8	host	gene-PA0027
gene-PA4819	0	3	1	5	1	1	0	0	host	gene-PA4819
gene-PA0407	643	764	256	382	49	60	17	10	host	gshB
gene-PA4496	209	197	279	292	32	20	14	4	host	gene-PA4496
gene-PA1563	51	48	33	37	9	8	3	4	host	gene-PA1563
gene-PA0532	21	24	14	23	1	4	1	3	host	gene-PA0532
gene-PA3666	94	84	142	195	34	21	11	10	host	dapD
gene-PA3294	45	50	23	28	9	8	6	1	host	gene-PA3294
gene-PA4006	296	369	256	490	40	69	28	12	host	nadD
gene-PA4932	874	1502	847	1756	489	708	342	182	host	rplI
gene-PA5347	96	118	60	114	9	13	4	17	host	gene-PA5347
gene-PA2290	405	462	526	690	129	120	37	16	host	gcd
gene-PA3088	54	84	51	64	17	18	5	4	host	gene-PA3088
gene-PA0430	163	203	261	359	51	75	21	17	host	metF
gene-PA4308	343	283	128	189	39	39	36	24	host	gene-PA4308
gene-PA0527.1	427	1361	370	842	312	668	449	267	host	rsmY
gene-PA1664	2	3	2	4	0	1	4	1	host	gene-PA1664
gene-PA3738	25	26	18	28	2	3	3	1	host	xerD
gene-PA2029	23	39	15	14	6	2	2	2	host	gene-PA2029
gene-PA4085	6	10	3	7	0	1	0	1	host	cupB2
gene-PA3760	30	29	7	21	7	6	2	2	host	gene-PA3760
gene-PA1501	46	39	18	18	2	3	4	5	host	gene-PA1501
gene-PA0771	159	226	264	403	45	60	25	18	host	era
gene-PA2611	330	217	302	365	54	38	24	20	host	cysG
gene-PA4300	27	14	16	32	8	5	7	4	host	tadC
gene-PPLUZ19_gp36	0	0	259	543	55	282	197229	129583	phage	gp36
gene-PA4008	21	8	13	15	2	1	0	5	host	gene-PA4008
gene-PA4214	8	90	8	206	2	27	9	2	host	phzE1
gene-PA4694	772	853	891	993	155	168	63	66	host	ilvC
gene-PA5103	60	40	21	28	2	7	1	3	host	gene-PA5103
gene-PA2972	35	44	75	105	15	13	4	6	host	gene-PA2972
gene-PA5432	1	3	2	8	0	4	1	1	host	gene-PA5432
gene-PA3512	6	7	5	6	2	1	0	1	host	gene-PA3512
gene-PA5095	25	37	25	25	6	6	0	1	host	gene-PA5095
gene-PPLUZ19_gp16	0	0	5	8	99293	112838	57700	50473	phage	gp16
gene-PA0035	52	43	23	33	1	4	6	2	host	trpA
gene-PA2709	241	172	109	102	21	26	9	3	host	cysK
gene-PA1304	83	74	62	92	9	18	11	8	host	gene-PA1304
gene-PA0803	30	34	22	42	3	9	3	4	host	gene-PA0803
gene-PA4870	5	8	6	12	5	2	0	0	host	gene-PA4870
gene-PA2594	16	25	19	19	2	5	4	2	host	gene-PA2594
gene-PA0495	42	42	18	29	6	5	4	2	host	gene-PA0495
gene-PA1915	83	79	30	40	11	7	7	7	host	gene-PA1915
gene-PPLUZ19_gp40	0	0	97	195	14	69	18846	12573	phage	gp40
gene-PA0045	86	183	294	344	79	88	39	39	host	gene-PA0045
gene-PA5320	163	170	101	164	29	14	21	11	host	coaC
gene-PA4147	93	34	21	38	4	10	3	3	host	acoR
gene-PA3417	25	9	4	9	3	1	2	1	host	gene-PA3417
gene-PA2962	88	74	73	114	7	20	5	7	host	tmk
gene-PA5216	149	173	28	39	4	5	8	3	host	gene-PA5216
gene-PA0887	1524	944	686	927	203	127	82	116	host	acsA
gene-PA1281	5	6	4	8	0	2	1	0	host	cobV
gene-PA2037	48	67	28	56	5	12	5	2	host	gene-PA2037
gene-PA2057	14	16	5	6	4	0	1	1	host	gene-PA2057
gene-PPLUZ19_gp44	0	0	48	58	9	39	1816	1163	phage	gp44
gene-PA2279	8	4	4	10	2	3	2	2	host	arsC
gene-PA4180	122	93	58	42	14	6	3	10	host	gene-PA4180
gene-PA2433	14	9	13	13	4	1	0	2	host	gene-PA2433
gene-PA4222	213	173	124	180	52	55	7	7	host	gene-PA4222
gene-PA3526	104	86	81	97	15	23	11	6	host	gene-PA3526
gene-PA1143	11	6	3	2	1	1	1	0	host	gene-PA1143
gene-PA5496	84	130	60	114	4	13	11	1	host	nrdJb
gene-PA5428	56	34	25	27	8	9	3	2	host	gene-PA5428
gene-PA2908	32	20	17	24	5	6	0	2	host	cbiD
gene-PA0435	20	14	16	37	3	4	2	1	host	gene-PA0435
gene-PA1259	14	6	3	4	0	2	2	1	host	gene-PA1259
gene-PA3303	27	19	12	17	5	2	2	0	host	gene-PA3303
gene-PA5542	450	262	240	334	37	31	6	7	host	gene-PA5542
gene-PA5167	536	505	1006	1398	113	93	21	28	host	gene-PA5167
gene-PA5354	6	6	1	4	0	0	0	0	host	glcE
gene-PPLUZ19_gp48	0	0	150	232	32	118	1100	717	phage	gp48
gene-PA1831	81	138	88	94	18	23	11	8	host	gene-PA1831
gene-PA1023	51	58	33	34	6	3	1	0	host	gene-PA1023
gene-PA3303a	9	11	9	7	0	1	0	0	host	gene-PA3303a
gene-PA3368	12	16	13	26	3	5	2	0	host	gene-PA3368
gene-PA1542	8	12	6	25	6	2	1	1	host	gene-PA1542
gene-PA5039	518	356	279	370	47	27	17	20	host	aroK
gene-PA0516	12	7	4	5	3	1	1	1	host	nirF
gene-PA0955	211	183	206	289	40	45	29	18	host	gene-PA0955
gene-PA1947	74	52	69	89	12	9	2	4	host	rbsA
gene-PA0668.3	241	564	236	434	157	345	211	131	host	gene-PA0668.3
gene-PA3110	95	118	170	263	47	40	20	12	host	gene-PA3110
gene-PA0542	182	101	51	88	14	16	6	5	host	gene-PA0542
gene-PA5193	121	140	71	127	21	23	21	10	host	yrfI
gene-PA2231	45	60	47	75	11	7	4	7	host	pslA
gene-PA1870	3	13	2	9	1	2	4	0	host	gene-PA1870
gene-PA4977	45	48	37	88	4	5	1	3	host	aruI
gene-PA2659	75	86	57	68	14	25	5	7	host	gene-PA2659
gene-PA0358	17	23	32	51	10	15	4	2	host	gene-PA0358
gene-PA2692	45	21	25	24	9	5	7	0	host	gene-PA2692
gene-PA2922	3	1	0	3	0	0	0	1	host	gene-PA2922
gene-PA5149.1	105	156	29	56	6	9	5	6	host	gene-PA5149.1
gene-PA3314	19	17	8	15	6	5	5	3	host	gene-PA3314
gene-PA3079	1369	1208	1904	2317	129	81	39	61	host	gene-PA3079
gene-PA0710	3	5	3	0	0	0	0	0	host	gloA2
gene-PA4439	163	140	115	137	25	26	13	12	host	trpS
gene-PA0332	29	42	27	37	7	10	4	1	host	gene-PA0332
gene-PA0626	121	101	98	162	107	131	86	57	host	gene-PA0626
gene-PA4721	117	144	54	71	7	11	6	6	host	gene-PA4721
gene-PA1031	476	363	154	251	33	50	33	13	host	gene-PA1031
gene-PA2102	29	44	14	19	2	1	1	1	host	gene-PA2102
gene-PA2936	1	3	1	5	0	0	0	2	host	gene-PA2936
gene-PA5408	64	21	17	22	4	4	1	0	host	gene-PA5408
gene-PA0793	395	152	236	193	25	16	8	12	host	gene-PA0793
gene-PA1373	19	8	15	16	3	8	4	1	host	fabF2
gene-PA3617	673	655	364	480	109	141	96	56	host	recA
gene-PA1013	563	534	388	529	89	107	60	58	host	purC
gene-PA2800	267	386	289	439	82	77	58	49	host	gene-PA2800
gene-PA3109	61	71	66	117	20	22	11	10	host	gene-PA3109
gene-PA0499	37	27	15	20	5	4	4	3	host	gene-PA0499
gene-PA1022	68	69	49	53	9	7	9	4	host	gene-PA1022
gene-PA2932	11	5	1	4	2	2	1	0	host	morB
gene-PA3652	349	442	248	358	99	142	107	60	host	uppS
gene-PA2109	48	2	53	15	6	5	1	2	host	gene-PA2109
gene-PA1528	716	692	356	610	71	101	56	38	host	zipA
gene-PA1364	81	51	5	6	1	4	1	1	host	gene-PA1364
gene-PA0163	24	17	6	10	3	2	3	1	host	gene-PA0163
gene-PA2021	5	8	4	8	4	2	0	0	host	gene-PA2021
gene-PA3208	40	30	29	32	9	7	7	0	host	gene-PA3208
gene-PA2258	8	11	4	11	0	4	0	0	host	ptxR
gene-PA3581	24	31	44	74	5	5	3	0	host	glpF
gene-PA4551	50	57	62	82	10	12	5	2	host	pilV
gene-PA4926	29	19	13	23	1	4	1	2	host	gene-PA4926
gene-PA5452	964	707	614	836	54	54	9	22	host	wbpW
gene-PA1885	29	19	3	6	2	3	0	0	host	gene-PA1885
gene-PA0077	153	145	124	222	34	43	34	22	host	icmF1
gene-PA1553	223	334	233	411	78	109	79	52	host	ccoO1
gene-PA2060	4	3	3	1	0	2	0	0	host	gene-PA2060
gene-PA2916	2	1	1	0	1	0	0	1	host	gene-PA2916
gene-PA2400	16637	16028	14908	22967	2903	3447	1435	1018	host	pvdJ
gene-PA1009	72	56	52	53	8	17	3	5	host	gene-PA1009
gene-PA3833	32	34	16	27	5	5	2	2	host	gene-PA3833
gene-PA0318	214	159	78	99	20	27	11	146	host	gene-PA0318
gene-PA0195.1	8	12	2	7	2	0	1	1	host	pntAB
gene-PA0155	17	4	8	4	6	3	4	1	host	pcaR
gene-PA4459	120	138	88	146	35	46	22	19	host	gene-PA4459
gene-PA0580	124	137	100	174	37	51	21	12	host	gcp
gene-PA3915	2	4	3	6	3	1	1	0	host	moaB1
gene-PA4409	505	468	435	663	36	54	27	15	host	ftsQ
gene-PA0831	64	44	15	25	8	12	6	6	host	oruR
gene-PA2971	838	1699	986	1761	402	544	339	164	host	gene-PA2971
gene-PA2083	13	12	8	9	1	0	1	1	host	gene-PA2083
gene-PA5052	20	28	24	30	6	7	5	4	host	gene-PA5052
gene-PA0361	74	69	62	92	14	16	11	5	host	gene-PA0361
gene-PA5439	120	74	29	37	13	12	4	7	host	gene-PA5439
gene-PA3424	12	16	14	19	5	5	3	2	host	gene-PA3424
gene-PA2905	1	2	1	8	1	1	0	0	host	cobH
gene-PA3115	1924	1529	956	1245	194	203	94	90	host	fimV
