Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	60_R1	60_R2	60_R3	Entity	Symbol
gene-VC_RS12620	702	959	830	897	1156	1063	780	980	675	host	astA
gene-VC_RS03065	265	354	301	413	520	414	254	895	228	host	gene-VC_RS03065
gene-VC_RS02265	53675	45782	43421	43558	30707	27471	8403	9653	6905	host	gene-VC_RS02265
gene-VC_RS18015	268	421	397	280	387	310	318	339	201	host	gene-VC_RS18015
gene-VC_RS15185	75	83	98	71	110	82	97	93	85	host	gene-VC_RS15185
gene-VC_RS01635	1217	1936	1608	1465	2162	1440	1421	1686	999	host	hemE
gene-VC_RS13050	1017	1709	1389	1339	1800	1421	1911	2212	1468	host	recG
gene-VC_RS06950	171	232	228	126	208	150	111	129	81	host	ccoS
gene-VC_RS13570	257	396	283	279	408	277	254	276	214	host	gene-VC_RS13570
gene-VPVV882_gp20	513	678	564	8283	8780	8560	23994	26204	16316	phage	gene-VPVV882_gp20
gene-VPVV882_gp47	349	441	425	2831	2705	2798	12197	10791	8324	phage	gene-VPVV882_gp47
gene-VC_RS01710	1425	1673	1616	2435	2746	1974	1557	1334	803	host	gene-VC_RS01710
gene-VC_RS01995	1827	2635	2479	2915	2574	2172	2294	2630	1871	host	uvrA
gene-VC_RS16215	84	113	106	91	110	78	166	163	94	host	gene-VC_RS16215
gene-VC_RS00170	387	555	586	636	786	639	587	577	429	host	gene-VC_RS00170
gene-VC_RS08745	100	173	130	197	222	200	247	236	160	host	gene-VC_RS08745
gene-VC_RS18535	143	240	175	251	369	306	455	532	341	host	gene-VC_RS18535
gene-VC_RS00580	1324	2189	1754	1171	2346	1308	1066	7309	796	host	lysA
gene-VC_RS11160	589	966	872	942	1253	928	1312	1623	1030	host	tcdA
gene-VC_RS04610	200	287	202	159	274	176	347	469	306	host	gene-VC_RS04610
gene-VC_RS11600	296	306	276	17310	407	537	356	359	312	host	ftsL
gene-VC_RS09460	1200	1964	1673	1947	2357	1907	3277	3635	2342	host	gene-VC_RS09460
gene-VC_RS03790	368	558	466	340	508	407	288	307	213	host	ndk
gene-VC_RS08725	123	195	196	177	264	200	366	420	253	host	gene-VC_RS08725
gene-VC_RS12950	295	546	444	578	761	579	561	702	434	host	fieF
gene-VC_RS03840	1779	2593	2453	3516	4344	3470	5996	6754	4845	host	xseA
gene-VC_RS15865	197	258	241	256	360	282	422	427	304	host	nrdD
gene-VC_RS05315	132	214	190	110	180	144	93	157	65	host	gene-VC_RS05315
gene-VC_RS12710	2285	3342	2729	3010	3499	2906	3016	3691	2384	host	gene-VC_RS12710
gene-VC_RS17875	166	267	248	228	258	228	202	273	159	host	gene-VC_RS17875
gene-VC_RS10965	1212	1869	1442	1149	1655	1045	743	844	510	host	gene-VC_RS10965
gene-VC_RS17525	1061	1373	1258	1122	1408	1090	1074	1226	820	host	gene-VC_RS17525
gene-VC_RS03625	544	650	611	527	683	592	626	698	528	host	rdgC
gene-VC_RS08070	195	323	253	314	367	295	366	360	229	host	gene-VC_RS08070
gene-VC_RS11750	1206	1677	1521	1862	2233	1774	1256	1524	880	host	gene-VC_RS11750
gene-VC_RS07965	54	85	87	100	134	130	128	186	111	host	gene-VC_RS07965
gene-VC_RS10695	44	50	40	47	95	81	93	82	56	host	gene-VC_RS10695
gene-VC_RS14675	809	1109	1011	1175	1227	1058	2014	2173	1606	host	gene-VC_RS14675
gene-VC_RS11000	3361	2740	2312	2192	5441	2234	1986	3624	6439	host	gpt
gene-VC_RS01880	2508	4451	3194	2967	4388	2920	3577	3382	3593	host	pgi
gene-VC_RS03695	199	325	247	230	339	251	252	318	206	host	aceB
gene-VC_RS03465	679	1063	953	1113	1102	1006	1851	2019	1356	host	gene-VC_RS03465
gene-VC_RS09355	1485	2175	2103	1937	2729	2260	2811	3314	2268	host	gene-VC_RS09355
gene-VC_RS09410	162	272	207	349	374	274	352	390	220	host	gene-VC_RS09410
gene-VC_RS12360	876	1613	1375	7766	2025	1669	13828	5222	8803	host	dbpA
gene-VPVV882_gp49	126	136	122	1996	1178	1433	7994	6769	5087	phage	gene-VPVV882_gp49
gene-VC_RS00440	71	93	102	102	156	104	151	145	92	host	gene-VC_RS00440
gene-VC_RS14510	48	69	72	90	76	75	141	128	98	host	gene-VC_RS14510
gene-VC_RS07750	173	202	186	183	226	198	284	299	217	host	gene-VC_RS07750
gene-VC_RS04335	513	838	663	772	1304	860	730	1052	577	host	gene-VC_RS04335
gene-VC_RS11780	373	480	426	385	499	419	418	506	347	host	gene-VC_RS11780
gene-VC_RS06745	395	742	601	723	1078	808	1257	1519	955	host	gene-VC_RS06745
gene-VC_RS10010	98	132	125	138	202	100	125	200	109	host	gene-VC_RS10010
gene-VC_RS18800	549	823	785	554	784	564	462	543	353	host	gene-VC_RS18800
gene-VC_RS16980	435	746	564	386	539	389	486	612	432	host	artM
gene-VC_RS18790	467	758	623	381	543	432	599	500	323	host	gene-VC_RS18790
