Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	60_R1	60_R2	60_R3	Entity	Symbol
gene-VC_RS03415	135	164	164	152	175	133	225	264	310	host	gene-VC_RS03415
gene-VC_RS00480	481	527	612	375	522	411	408	601	600	host	gene-VC_RS00480
gene-VC_RS07910	646	725	780	640	1007	694	994	1165	1170	host	gene-VC_RS07910
gene-VC_RS03250	1141	1098	1560	1217	1386	1198	951	1371	1428	host	rimP
gene-VC_RS09975	447	485	613	356	540	427	411	491	500	host	sixA
gene-VC_RS12430	2222	1859	2478	7943	1628	1431	727	1085	1031	host	rpmD
gene-VC_RS13170	1029	1062	1252	805	957	968	710	987	931	host	gspC
gene-VC_RS14405	1644	1164	1429	1114	943	953	826	849	1040	host	prtV
gene-VC_RS02085	390	409	543	323	400	335	416	578	551	host	gene-VC_RS02085
gene-VC_RS09225	457	428	566	596	556	396	362	573	541	host	gene-VC_RS09225
gene-VC_RS12905	1857	2222	2930	2490	2433	2424	2747	2061	2742	host	rpmE
gene-VC_RS08645	57	81	73	77	101	94	86	110	129	host	gene-VC_RS08645
gene-VC_RS07145	380	302	443	469	583	470	689	709	792	host	gene-VC_RS07145
gene-VC_RS07395	228	303	366	296	349	301	408	398	457	host	gene-VC_RS07395
gene-VC_RS18495	449	497	651	257	283	255	109	110	87	host	gene-VC_RS18495
gene-VC_RS08210	356	314	330	194	267	244	65	94	73	host	gene-VC_RS08210
gene-VC_RS05610	3280	3618	4360	2677	3037	2383	2034	2444	2540	host	clpA
gene-VC_RS11530	6084	7103	7003	4789	5229	3952	2659	2948	12668	host	secA
gene-VC_RS12705	225	250	349	202	249	191	189	212	241	host	pilM
gene-VC_RS13845	425	410	446	450	490	467	469	539	520	host	gene-VC_RS13845
gene-VC_RS02005	94	111	176	100	86	92	87	98	116	host	gene-VC_RS02005
gene-VC_RS18725	63	57	79	69	117	56	22	85	73	host	gene-VC_RS18725
gene-VC_RS08005	501	589	667	531	638	490	963	967	1010	host	mgtE
gene-VC_RS16325	693	710	828	927	1187	860	2142	2745	2694	host	gene-VC_RS16325
gene-VC_RS11655	1583	1722	2021	1847	2467	3045	2588	2367	3240	host	fldB
gene-VC_RS10090	1641	1773	2267	1396	1853	1556	1403	1927	1840	host	pgm
gene-VC_RS05895	83	89	111	52	84	50	54	70	62	host	hutG
gene-VC_RS11545	6282	6996	7772	5665	15812	5652	7362	6114	5809	host	ftsZ
gene-VC_RS07100	58	66	87	73	69	57	102	97	131	host	gene-VC_RS07100
gene-VC_RS03725	3145	3771	4055	2285	2008	1813	1463	1314	1452	host	secD
gene-VC_RS14690	161	191	232	215	256	158	273	295	319	host	gene-VC_RS14690
gene-VC_RS17030	711	893	929	610	854	639	1340	1203	1398	host	gene-VC_RS17030
gene-VC_RS17425	29	38	32	24	25	26	22	30	43	host	gene-VC_RS17425
gene-VC_RS04610	224	214	297	224	204	190	284	295	317	host	gene-VC_RS04610
gene-VC_RS18505	306	258	332	193	208	156	56	99	82	host	gene-VC_RS18505
gene-VC_RS10875	636	813	778	651	1284	602	1136	653	689	host	gene-VC_RS10875
gene-VC_RS17010	1048	1124	1423	822	1070	1099	822	983	1086	host	gene-VC_RS17010
gene-VC_RS04815	273	257	323	317	389	289	357	528	510	host	gene-VC_RS04815
gene-VC_RS02500	3104	3125	4278	2543	2906	2757	2463	3212	3470	host	gene-VC_RS02500
gene-VC_RS03770	3835	4533	4551	3103	3633	3196	2898	3016	4224	host	hscA
gene-VC_RS14365	123	168	171	268	283	225	681	589	571	host	emrD
gene-VC_RS01815	9769	10183	10860	18440	38995	6422	64824	5446	5737	host	rpsG
gene-VC_RS03955	100	97	132	103	114	86	140	219	192	host	gene-VC_RS03955
gene-VC_RS12160	2060	1882	2183	1562	1698	1985	1490	1579	1696	host	mlaE
gene-VC_RS14395	49	51	66	46	69	57	66	131	93	host	gene-VC_RS14395
gene-VC_RS14520	167	252	300	179	275	202	276	322	352	host	ulaG
gene-VPVV882_gp35	3105	2783	3423	9059	18271	19090	95234	127040	155524	phage	D
gene-VC_RS06610	517	612	709	410	408	423	364	427	419	host	gene-VC_RS06610
gene-VC_RS04240	556	640	844	512	787	656	419	566	543	host	gene-VC_RS04240
gene-VC_RS13120	397	400	405	278	358	316	226	328	301	host	gene-VC_RS13120
gene-VC_RS03235	2045	1875	2338	1828	2028	1630	3443	4284	2387	host	secG
gene-VC_RS07090	699	905	922	703	829	707	1022	911	1016	host	rstR
gene-VC_RS16975	349	344	377	271	287	272	341	419	469	host	gene-VC_RS16975
gene-VC_RS18560	32	32	22	40	32	34	42	60	60	host	gene-VC_RS18560
gene-VC_RS08330	1128	1131	1511	1020	1258	905	895	1159	1185	host	purR
gene-VC_RS17700	837	800	967	753	842	648	551	640	685	host	gene-VC_RS17700
gene-VC_RS02230	229	228	250	189	197	172	130	220	169	host	apaG
gene-VC_RS10020	1307	1263	1649	1203	1300	1146	1335	1441	1508	host	znuA
gene-VC_RS14290	2211	2187	3259	2085	2680	2408	2333	2713	3099	host	gene-VC_RS14290
gene-VC_RS07735	2363	2365	2715	1616	1744	1538	1383	1540	1787	host	gene-VC_RS07735
gene-VC_RS11395	923	949	1219	685	845	732	777	924	1032	host	gene-VC_RS11395
gene-VC_RS04040	111	105	139	98	148	85	13170	128	112	host	gene-VC_RS04040
gene-VPVV882_gp17	857	688	741	4806	4582	5155	12885	10428	12185	phage	gene-VPVV882_gp17
gene-VC_RS11995	2059	2387	2556	1584	1926	1445	1091	1348	1290	host	leuB
gene-VC_RS16835	315	379	519	301	436	326	393	491	529	host	gene-VC_RS16835
gene-VC_RS01060	569	604	726	409	456	405	168	213	204	host	gene-VC_RS01060
gene-VC_RS11835	635	640	820	421	430	525	293	376	373	host	acpS
gene-VC_RS03685	6547	6537	6821	5989	6028	4600	4033	4936	4869	host	gene-VC_RS03685
gene-VC_RS18005	200	204	276	135	162	132	73	113	112	host	gene-VC_RS18005
gene-VC_RS09695	642	660	850	480	605	537	358	454	483	host	gene-VC_RS09695
gene-VC_RS01760	26701	3468	4065	2753	3181	2716	5748	3429	3288	host	hflK
gene-VC_RS10080	553	592	713	586	690	539	952	888	841	host	gene-VC_RS10080
gene-VC_RS11010	1041	1032	1344	968	1205	958	1223	1546	1583	host	gene-VC_RS11010
gene-VC_RS11065	3168	3533	4578	1963	1810	1876	976	907	921	host	nqrE
gene-VC_RS01370	928	1036	1243	671	745	652	444	443	491	host	gene-VC_RS01370
gene-VC_RS07565	135	140	154	93	150	109	185	277	248	host	gene-VC_RS07565
gene-VC_RS09295	124	99	158	107	158	98	131	162	175	host	gene-VC_RS09295
gene-VC_RS09135	719	854	1175	687	882	788	781	901	1022	host	lpoB
gene-VC_RS00220	227	253	284	229	323	268	216	361	287	host	dprA
gene-VC_RS05355	7455	15205	8481	5537	6345	4935	5688	6121	6785	host	gene-VC_RS05355
gene-VC_RS14795	427	437	529	477	464	365	557	745	749	host	gene-VC_RS14795
gene-VC_RS02555	1368	1432	2017	1216	1637	1487	1526	1757	2055	host	gene-VC_RS02555
gene-VC_RS03545	1578	1496	2005	1617	1866	1687	1731	2358	2331	host	gene-VC_RS03545
gene-VC_RS10770	977	926	1075	850	1123	911	900	1388	1402	host	gene-VC_RS10770
gene-VC_RS14220	907	1115	1235	1028	1266	1164	2240	1884	2223	host	norR
gene-VC_RS16130	79	63	99	88	120	79	108	161	157	host	gene-VC_RS16130
gene-VC_RS16770	511	598	750	498	613	437	576	736	840	host	pncA
gene-VC_RS01270	3711	4182	4827	3863	5261	4245	4841	5698	13999	host	gene-VC_RS01270
gene-VC_RS08320	232	243	369	247	398	281	491	607	680	host	torR
gene-VC_RS14400	73	75	65	78	92	78	94	137	119	host	gene-VC_RS14400
gene-VC_RS03800	3321	3277	4272	3901	3045	2349	3433	3243	4416	host	rodZ
gene-VC_RS12435	6145	6440	7663	4502	4345	3504	2578	3048	3064	host	rpsE
gene-VC_RS00815	2458	2042	2822	2427	3770	4152	1553	3144	2756	host	gene-VC_RS00815
gene-VC_RS13565	207	214	301	179	271	179	185	240	283	host	gene-VC_RS13565
gene-VC_RS12625	1498	1566	1571	1193	1478	1160	1109	1117	1142	host	gene-VC_RS12625
gene-VC_RS03765	15185	7384	13095	7714	14679	11199	3819	6388	7100	host	hscB
gene-VC_RS17165	404	344	548	484	576	408	479	628	741	host	gene-VC_RS17165
gene-VC_RS03475	953	1089	1238	788	1016	817	822	910	899	host	gene-VC_RS03475
gene-VC_RS16180	414	500	647	482	800	573	632	753	763	host	gene-VC_RS16180
gene-VC_RS03585	3455	3028	4038	2178	1972	2390	745	985	744	host	gene-VC_RS03585
gene-VC_RS09820	3659	3863	4855	3425	3949	3423	3148	3826	4151	host	gene-VC_RS09820
gene-VC_RS13240	564	612	712	438	571	441	390	524	539	host	glnG
gene-VC_RS02480	487	634	659	669	629	605	591	476	495	host	gene-VC_RS02480
gene-VC_RS05385	2853	3416	3442	2388	2828	2302	3635	3918	4109	host	pta
gene-VC_RS14185	772	867	884	706	686	502	465	487	577	host	gene-VC_RS14185
gene-VC_RS18960	79	52	69	49	81	36	49	53	83	host	gene-VC_RS18960
gene-VC_RS13680	2277	2647	2945	2309	2412	1806	2820	2773	3146	host	gene-VC_RS13680
gene-VC_RS00380	575	508	749	410	474	328	222	274	289	host	uspA
gene-VC_RS17750	419	452	556	346	419	314	559	671	720	host	rlmC
gene-VC_RS06870	133	182	186	130	120	87	196	186	210	host	gene-VC_RS06870
gene-VC_RS00570	537	525	618	567	640	539	506	491	532	host	cyaY
gene-VC_RS04145	58	51	78	45	47	52	178	47	48	host	tcpD
gene-VC_RS15700	142	119	178	195	229	227	373	423	555	host	gene-VC_RS15700
gene-VC_RS16700	283	346	428	300	381	359	520	484	555	host	gene-VC_RS16700
gene-VC_RS17225	321	291	434	310	501	475	562	722	740	host	gene-VC_RS17225
gene-VC_RS03550	1466	1841	2095	1331	1896	1417	1483	1752	1867	host	pheA
gene-VC_RS01540	203	206	239	207	296	206	244	318	290	host	gene-VC_RS01540
gene-VC_RS04560	139	120	152	96	106	101	121	177	187	host	vpsB
gene-VC_RS12115	1218	1105	1522	1178	1686	1349	861	1182	1209	host	pyrB
gene-VC_RS15890	81	88	145	105	113	105	176	172	166	host	pfkB
gene-VC_RS16290	32	31	23	18	48	48	53	81	71	host	phnW
gene-VC_RS09155	3826	4284	5498	2856	3925	3669	2575	3024	3297	host	gene-VC_RS09155
gene-VC_RS06595	3580	3725	4883	3016	2144	2034	1762	1384	1427	host	gene-VC_RS06595
gene-VC_RS08975	1366	2144	2184	1244	1814	1460	1068	1015	1151	host	xthA
gene-VC_RS09350	292	346	362	275	354	250	548	510	573	host	gene-VC_RS09350
gene-VC_RS11930	1048	994	1337	746	843	891	520	767	834	host	gene-VC_RS11930
gene-VC_RS03105	136	194	198	107	202	135	161	199	226	host	gene-VC_RS03105
gene-VC_RS16235	591	658	748	375	510	422	397	486	483	host	gene-VC_RS16235
gene-VC_RS14730	174	148	230	182	184	174	225	249	259	host	gene-VC_RS14730
gene-VC_RS13255	718	747	956	657	1061	975	693	1049	1036	host	gene-VC_RS13255
gene-VC_RS06895	1874	1873	2428	1683	1893	1767	2214	2184	2600	host	gene-VC_RS06895
gene-VC_RS08410	1914	1301	1802	1269	1020	964	359	424	506	host	gene-VC_RS08410
gene-VC_RS16245	507	571	737	432	593	443	431	536	562	host	gene-VC_RS16245
gene-VC_RS16840	2980	2882	3597	2006	2427	2006	1560	2002	2174	host	gene-VC_RS16840
gene-VC_RS08745	145	126	204	142	193	166	246	226	238	host	gene-VC_RS08745
gene-VC_RS12860	2207	2071	2416	2191	2464	1733	1628	2327	2177	host	tpiA
gene-VC_RS07480	702	623	567	878	836	736	584	743	691	host	gene-VC_RS07480
gene-VC_RS03045	803	789	986	725	881	700	824	947	910	host	hrpB
gene-VC_RS02885	7642	7683	8755	10004	3371	3090	1948	1959	2016	host	trmD
gene-VC_RS03120	56	74	84	54	67	45	57	82	71	host	gene-VC_RS03120
gene-VC_RS04260	4953	5208	4312	7578	5941	3425	1372	1880	1800	host	grpE
gene-VC_RS08480	3279	2354	2701	2309	3665	3821	576	1483	1147	host	gene-VC_RS08480
gene-VC_RS10350	1095	1184	1279	969	1160	1047	970	1177	1163	host	dapE
