Geneid	0_R1	0_R2	15_R2	15_R3	60_R1	60_R2	60_R3	120_R1	120_R2	120_R3	Entity	Symbol
gene-VC_RS11855	702	820	902	881	962	978	843	1112	1030	1019	host	rnc
gene-VC_RS08875	619	788	926	875	641	541	580	563	505	514	host	ybgC
gene-VC_RS06875	1202	1273	1493	1552	1202	1201	1030	1120	976	1134	host	gene-VC_RS06875
gene-VC_RS03725	4386	3976	4184	4044	2867	2821	2962	3552	3475	3228	host	secD
gene-VC_RS03860	3807	5732	4051	3733	16891	16206	15740	31843	33450	30520	host	gene-VC_RS03860
gene-VC_RS11865	7537	7842	7208	7351	10823	10949	11534	13672	11619	11963	host	lepA
gene-VC_RS09675	1027	960	1026	956	965	1027	1021	1209	1314	970	host	gene-VC_RS09675
gene-VC_RS10275	476	611	591	630	672	602	550	910	867	886	host	gene-VC_RS10275
gene-VC_RS02195	12602	14040	15348	14565	13955	12193	14341	15148	11609	65487	host	rplU
gene-VC_RS15340	343	401	332	320	724	644	838	1637	1987	1666	host	gene-VC_RS15340
gene-VC_RS04835	939	740	1012	1088	783	587	642	1118	1122	975	host	gene-VC_RS04835
gene-VC_RS04765	2383	2678	2514	2724	4735	4457	4497	5345	5299	4849	host	miaB
gene-VC_RS01375	103	96	101	90	162	178	156	280	316	265	host	gene-VC_RS01375
gene-VC_RS10190	792	905	925	898	1159	1082	1206	1197	1079	1022	host	smrB
gene-VC_RS17250	536	481	659	627	621	452	526	803	817	691	host	gene-VC_RS17250
gene-VC_RS14360	1410	1586	1382	1403	3710	3752	3691	5362	6444	5219	host	gene-VC_RS14360
gene-VC_RS02670	982	914	980	878	1357	1341	1558	1587	1385	1450	host	folK
gene-VC_RS08985	664	823	868	936	776	917	792	1476	1615	1464	host	gene-VC_RS08985
gene-VC_RS07960	574	666	634	666	785	688	831	1161	1371	1052	host	gene-VC_RS07960
gene-VC_RS06525	1407	1367	1230	1225	2739	3525	3336	3472	3052	3128	host	gene-VC_RS06525
gene-VC_RS07440	591	673	683	748	581	522	522	501	457	485	host	gene-VC_RS07440
gene-VC_RS07215	4316	4272	3915	3867	4498	4446	5111	6844	6743	5892	host	gene-VC_RS07215
gene-VC_RS00580	2004	2155	2538	2313	1838	1855	1772	1795	1616	1709	host	lysA
gene-VC_RS05655	1425	1446	1777	1502	1075	971	993	922	1146	889	host	gene-VC_RS05655
gene-VC_RS06145	1076	1051	1166	1120	1661	1661	1695	2093	2035	1722	host	gene-VC_RS06145
gene-VC_RS09300	38	47	49	41	80	70	75	155	159	152	host	gene-VC_RS09300
gene-VC_RS17570	233	218	272	275	235	210	265	330	365	319	host	gene-VC_RS17570
gene-VC_RS16345	360	387	336	379	563	546	544	783	720	668	host	moeB
gene-VC_RS17065	392	454	412	361	496	519	447	697	702	693	host	gene-VC_RS17065
gene-VC_RS17350	3251	3246	3049	3311	5172	5289	5395	4444	4444	3859	host	gene-VC_RS17350
gene-VC_RS15895	149	170	131	108	230	242	215	350	412	329	host	fruB
gene-VC_RS01840	12546	13273	11360	10535	11371	10781	13272	11957	10578	10119	host	rpsF
gene-VC_RS06580	582	600	597	656	1155	1185	1059	1661	1605	1559	host	gene-VC_RS06580
gene-VC_RS05405	1456	1610	1502	1610	1627	1871	1700	2236	2099	2131	host	gene-VC_RS05405
gene-VC_RS15505	311	358	343	329	634	570	616	1128	1329	1109	host	gene-VC_RS15505
gene-VC_RS05695	267	269	218	257	357	407	371	515	498	463	host	gene-VC_RS05695
gene-VC_RS08720	127	126	89	96	287	258	312	425	380	385	host	gene-VC_RS08720
gene-VC_RS04780	9983	10975	11134	10903	14537	13031	14995	14054	11788	12491	host	ptsI
gene-VC_RS05390	2508	3073	2885	2685	6186	6641	6156	8925	8186	7894	host	gene-VC_RS05390
gene-VC_RS15575	433	502	510	591	1311	1152	1125	1854	2219	1919	host	gene-VC_RS15575
gene-VC_RS12220	104	112	97	104	235	266	210	400	327	324	host	gene-VC_RS12220
gene-VC_RS01110	586	735	700	785	1015	1022	852	979	1076	953	host	gene-VC_RS01110
gene-VC_RS05755	1794	1810	1863	1668	552	538	549	753	720	572	host	gene-VC_RS05755
gene-VC_RS05840	287	290	349	330	337	244	306	421	442	397	host	gene-VC_RS05840
gene-VC_RS10710	1402	1321	1025	1051	1108	1132	1212	1386	1328	1303	host	copA
gene-VC_RS13595	330	410	415	358	452	440	414	489	566	437	host	gene-VC_RS13595
gene-VC_RS09305	118	117	145	119	223	227	250	380	472	340	host	dctP
gene-VC_RS04650	406	488	483	499	628	597	653	948	1007	861	host	vpsO
gene-VC_RS16165	3130	3967	5701	5060	4244	3048	4039	3722	3521	2965	host	gene-VC_RS16165
gene-VC_RS03330	384	465	557	487	844	932	799	1119	1078	1017	host	rimI
gene-VC_RS14090	294	306	296	280	166	166	177	248	212	214	host	gene-VC_RS14090
gene-VC_RS18010	2005	2069	2099	2120	1777	1840	1672	1341	1159	1130	host	ppsA
gene-VC_RS12875	1108	1241	1282	1190	1844	1832	1900	2545	2237	2320	host	gene-VC_RS12875
gene-VC_RS08210	1483	1578	1587	1282	294	223	279	199	162	171	host	gene-VC_RS08210
gene-VC_RS09540	1417	1494	1301	1430	2534	2679	2688	3760	3579	3438	host	gene-VC_RS09540
gene-VC_RS14150	6108	6423	7131	6722	7505	7180	6729	5354	6103	4564	host	gene-VC_RS14150
gene-VC_RS16470	121	124	121	139	137	124	136	152	190	139	host	gene-VC_RS16470
gene-VC_RS16700	81	100	99	124	183	149	168	240	247	206	host	gene-VC_RS16700
gene-VC_RS16610	212	232	216	178	344	371	373	510	587	480	host	napA
gene-VC_RS08440	155	149	139	162	341	331	279	537	490	546	host	gene-VC_RS08440
gene-VC_RS07090	609	587	532	489	691	498	654	694	874	697	host	rstR
gene-VC_RS14225	147	196	216	218	367	331	341	476	594	522	host	hmpA
gene-VC_RS14895	1577	1556	1787	1719	1326	1036	1182	1133	1452	1112	host	gene-VC_RS14895
gene-VC_RS05335	355	374	369	391	255	233	233	269	329	288	host	gene-VC_RS05335
gene-VC_RS07340	237	209	218	220	132	124	126	127	134	113	host	gene-VC_RS07340
gene-VC_RS18395	919	947	842	764	1128	1140	1149	2272	2271	1850	host	gene-VC_RS18395
gene-VPVV882_gp48	452	1184	150	138	5556	5012	6914	12617	12050	15251	phage	gene-VPVV882_gp48
gene-VC_RS00860	5777	5660	5996	5224	5582	4088	5823	4745	4961	4202	host	gene-VC_RS00860
gene-VC_RS03195	1375	1381	1454	1355	1461	1490	1470	1666	1788	1648	host	dacB
gene-VC_RS09365	1809	1890	2094	2058	2828	3034	2539	1548	1459	1348	host	folD
gene-VC_RS11310	263	295	276	274	410	443	450	631	675	609	host	deoA
gene-VC_RS04020	256	307	332	363	526	490	456	651	551	563	host	fdxA
gene-VC_RS07950	406	448	512	506	611	505	593	735	697	641	host	gene-VC_RS07950
gene-VC_RS02675	800	842	920	944	1307	1369	1215	1494	1333	1358	host	gene-VC_RS02675
gene-VC_RS01540	267	315	302	339	382	336	331	524	481	464	host	gene-VC_RS01540
gene-VC_RS04390	1415	1235	1524	1594	1194	1140	1143	2316	2578	2010	host	gene-VC_RS04390
gene-VC_RS06460	341	348	346	347	528	530	572	872	1020	826	host	mglA
gene-VC_RS08305	1476	1509	1357	1362	1684	1905	2052	2421	2265	2038	host	mukF
gene-VC_RS09320	645	716	605	672	643	633	670	859	941	884	host	gene-VC_RS09320
gene-VC_RS07920	848	838	979	841	1525	1303	1488	1570	1554	1412	host	rsuA
gene-VC_RS17895	558	819	622	598	1667	1688	1662	3556	3787	3405	host	gene-VC_RS17895
gene-VC_RS11660	422	421	406	387	666	809	682	970	961	969	host	ampD
gene-VC_RS08860	840	1060	1226	1303	1263	1290	1079	1321	1129	1281	host	tolA
gene-VC_RS12665	1892	2006	1934	2018	2469	2421	2414	4134	4498	3913	host	gene-VC_RS12665
gene-VC_RS06120	1397	1422	1589	1342	754	634	857	1031	1056	890	host	yfaE
gene-VC_RS04970	1353	1360	1484	1488	1727	1965	1798	1606	1610	1384	host	gene-VC_RS04970
gene-VC_RS04430	1733	1961	1805	1894	3784	3922	3797	5886	5963	5724	host	thiI
gene-VC_RS06690	421	477	473	557	638	504	608	964	1002	993	host	gene-VC_RS06690
gene-VC_RS12065	1664	1787	1719	1900	2708	2774	2751	3146	2832	3035	host	lptG
gene-VC_RS14840	224	271	272	292	457	445	461	893	868	826	host	gene-VC_RS14840
gene-VC_RS02405	1466	1037	1462	1291	1174	1159	1205	2176	2105	1798	host	rsmE
gene-VC_RS13360	1051	1377	1613	1909	1706	1824	1420	1863	1635	1802	host	glmU
gene-VC_RS00610	478	547	492	529	444	443	421	673	565	580	host	gene-VC_RS00610
gene-VC_RS15815	746	860	883	920	1534	1512	1662	2299	2143	2332	host	gene-VC_RS15815
gene-VC_RS13720	94	108	99	87	150	146	175	305	296	290	host	pstC
gene-VC_RS17510	276	346	372	415	493	477	435	456	442	421	host	gene-VC_RS17510
gene-VC_RS01685	11802	11449	10719	9590	8965	7137	9827	6729	6103	5792	host	gene-VC_RS01685
gene-VC_RS06750	786	864	819	826	1282	1179	1341	2051	2253	2000	host	gene-VC_RS06750
gene-VC_RS07825	253	209	205	200	343	327	371	502	571	462	host	gene-VC_RS07825
gene-VC_RS01135	683	764	792	637	374	333	355	442	456	441	host	gene-VC_RS01135
gene-VC_RS07585	76	100	85	87	187	180	161	440	473	434	host	gene-VC_RS07585
gene-VC_RS02980	1884	1665	1857	1610	1931	2079	2073	1569	1863	1380	host	hpt
gene-VC_RS02515	1300	1306	1331	1292	1349	1228	1404	1471	1820	1351	host	gene-VC_RS02515
gene-VC_RS07605	37	91	63	112	109	90	98	245	216	262	host	gene-VC_RS07605
gene-VC_RS12810	329	298	296	285	264	245	268	215	241	214	host	frdD
gene-VC_RS15530	895	1112	1188	1107	1208	1149	1254	1532	1696	1329	host	gene-VC_RS15530
gene-VC_RS13150	364	432	422	484	429	369	432	656	584	626	host	gspG
gene-VC_RS13550	690	769	703	724	810	757	852	958	1021	889	host	gene-VC_RS13550
gene-VC_RS02025	590	744	853	892	582	621	473	701	619	617	host	gspM
gene-VC_RS04775	14445	15693	16609	14660	9203	8723	9469	7461	6606	6136	host	crr
gene-VC_RS02155	263	319	262	315	521	545	570	678	724	591	host	gene-VC_RS02155
gene-VC_RS01030	643	593	589	641	499	491	505	542	570	492	host	pyrE
gene-VC_RS02400	1274	1144	1281	1534	926	1135	894	1568	1454	1367	host	gshB
gene-VC_RS07165	558	639	640	695	1334	1141	1250	1226	1089	1119	host	matP
gene-VC_RS01020	911	1006	1010	1053	1214	1375	1171	1339	1109	1219	host	gene-VC_RS01020
gene-VC_RS00145	106	109	120	113	165	170	164	239	233	206	host	gene-VC_RS00145
gene-VC_RS04045	318	341	332	309	156	107	123	145	144	135	host	gene-VC_RS04045
gene-VC_RS08040	251	255	318	309	343	381	388	475	541	444	host	gene-VC_RS08040
gene-VC_RS12350	817	914	797	903	1007	1096	1002	1579	1530	1557	host	cpdB
gene-VC_RS12650	4613	3053	3168	2830	2796	2825	2939	3886	4464	3392	host	trpS
gene-VC_RS09075	911	952	960	1036	1616	1516	1513	1770	1938	1544	host	gene-VC_RS09075
gene-VC_RS12560	1934	2695	2282	2630	2213	2850	1872	2306	1628	2005	host	slyD
gene-VC_RS12975	706	792	856	879	901	875	770	817	889	796	host	trmL
gene-VC_RS04955	4968	4849	5424	5367	7931	7889	8173	4413	4437	3730	host	purF
gene-VC_RS15595	196	295	203	239	686	778	709	1731	1682	1870	host	gene-VC_RS15595
gene-VC_RS04095	642	795	754	719	1418	1150	1502	1869	2287	1831	host	gene-VC_RS04095
gene-VC_RS03625	1486	1415	1384	1539	1369	1265	1341	1750	2061	1757	host	rdgC
gene-VC_RS17235	2175	2416	2254	2208	3755	3967	3651	4545	4266	4092	host	speA
gene-VC_RS02370	731	779	808	834	578	491	545	530	540	538	host	gene-VC_RS02370
gene-VC_RS11145	294	368	312	371	657	741	566	939	932	884	host	gene-VC_RS11145
gene-VC_RS04300	491	565	398	431	1002	1041	1060	1564	1425	1466	host	gene-VC_RS04300
gene-VC_RS10845	3989	3881	3587	3735	3537	3570	3843	4247	3969	3807	host	dnaE
gene-VC_RS14955	514	592	660	702	947	793	976	1174	1157	1077	host	gene-VC_RS14955
gene-VC_RS08830	1070	1118	1262	1154	1579	1624	1601	2357	2358	2194	host	cqsR
gene-VC_RS07045	640	539	625	583	752	511	728	771	964	744	host	gene-VC_RS07045_gene_rstR
gene-VC_RS07660	308	266	227	263	468	492	591	923	961	891	host	gene-VC_RS07660
gene-VC_RS06320	6799	6984	7350	6692	8543	8166	8982	9231	9032	8318	host	asnS
gene-VC_RS15045	746	802	704	683	1150	1146	1307	2364	2705	2248	host	gene-VC_RS15045
gene-VC_RS04635	96	84	77	56	183	185	209	343	366	293	host	vpsL
gene-VC_RS17490	204	240	224	188	412	339	421	580	557	498	host	gene-VC_RS17490
gene-VC_RS10745	1588	1631	1707	1572	3561	3339	3795	4038	3919	3363	host	rluF
gene-VC_RS18295	473	448	422	421	344	397	351	448	426	388	host	gene-VC_RS18295
gene-VC_RS01470	3249	3361	3444	3529	3794	3515	3705	3539	3386	2984	host	rhlB
gene-VC_RS17440	183	234	251	236	270	256	281	404	429	396	host	gene-VC_RS17440
gene-VC_RS12140	1435	1544	1627	1577	1234	1275	1289	1221	1242	1047	host	ibaG
gene-VC_RS12365	434	407	394	438	714	742	707	1127	1355	1209	host	gene-VC_RS12365
gene-VC_RS01605	30629	30267	31581	26848	29479	30748	34263	28369	25386	23673	host	rplJ
gene-VC_RS04770	860	755	734	759	1591	1730	1781	1907	2046	1757	host	gene-VC_RS04770
gene-VC_RS03570	1107	5183	1087	1092	3479	2418	2344	2678	2464	2374	host	pgeF
gene-VC_RS06435	753	792	812	816	1160	981	1124	1387	1451	1183	host	carR
gene-VC_RS10540	6150	5301	5973	5102	5406	5561	4808	2996	2637	2298	host	gene-VC_RS10540
gene-VC_RS16460	42	41	46	54	77	76	83	101	105	96	host	gene-VC_RS16460
gene-VC_RS04335	108	122	140	140	199	163	157	220	196	199	host	gene-VC_RS04335
gene-VC_RS11825	363	386	390	432	366	342	392	567	612	544	host	gene-VC_RS11825
