Geneid	0_R1	0_R2	0_R3	1_R1	1_R2	1_R3	4_R2	4_R3	7_R1	7_R2	7_R3	20_R1	20_R2	20_R3	Entity	Symbol
gene-b2751	10267	10866	5677	9533	15544	6088	5111	2794	854	2901	1421	633	1422	338	host	cysN
gene-b1314	88	111	35	104	73	44	28	17	5	21	9	5	8	2	host	ycjR
gene-b1821	1691	3221	1202	6584	5665	3613	1001	1036	349	915	444	261	450	107	host	mntP
gene-b4418	2455	3266	1637	3663	2095	2670	868	1038	173	541	305	113	156	42	host	sraB
gene-b1084	48452	53991	26044	65801	48883	38061	17168	20982	4188	8978	6024	3022	3910	1220	host	rne
gene-b1163	284	285	166	576	445	426	287	368	57	152	83	39	51	13	host	bluF
gene-b0472	17364	18053	8626	21252	17816	12234	6325	7686	1950	4367	3060	914	1253	440	host	recR
gene-b3628	0	1	0	0	0	0	1	0	0	1	0	0	0	0	host	waaB
gene-b2586	604	846	367	954	731	503	232	211	46	130	79	39	59	26	host	yfiM
gene-b0737	3734	5994	2176	6016	4364	3969	1840	1640	426	1046	471	342	511	149	host	tolQ
gene-b0882	60413	92007	29541	105707	66288	42178	11674	9888	3555	9432	4709	3450	5101	1419	host	clpA
gene-b1151	1	0	1	1	1	0	0	0	0	0	0	0	0	0	host	beeE
gene-b4141	1289	1310	507	2397	1684	1106	253	223	69	192	112	70	99	28	host	yjeH
gene-b3682	104	113	47	189	119	80	26	29	14	23	10	3	6	1	host	glvB
gene-b1014	13989	6496	5532	7547	3094	3654	1294	2539	677	980	1235	384	358	204	host	putA
gene-b3169	36901	46077	18542	44766	32717	29292	29497	27918	7198	16525	8915	3290	4548	1441	host	nusA
gene-b4421	528	653	258	889	734	472	227	293	66	181	101	34	53	15	host	ldrB
gene-b3427	7	8	4	15	9	9	13	6	1	6	2	2	0	0	host	yzgL
gene-b1126	3518	4859	2006	5471	4723	3957	2331	2777	550	1301	647	291	412	145	host	potA
gene-b0583	168	138	54	229	159	113	28	23	6	16	11	3	10	6	host	entD
gene-b1766	7478	9281	4056	9254	6952	5906	2476	3107	560	1399	929	482	608	216	host	sppA
gene-b1403	12	13	5	13	10	4	2	2	1	0	0	1	0	0	host	insC2
gene-b3344	1232	1575	676	2260	1818	1243	274	248	90	255	110	86	140	42	host	tusC
gene-b3157	16416	20993	7491	26028	16205	9269	1532	1283	610	1666	978	617	830	280	host	ubiT
gene-T4p055	0	0	18	240	284	241	14997	10549	21379	49913	22564	23894	28162	11916	phage	46.1
gene-T4p242	0	2	9	9400	9115	8416	43688	50341	12269	29772	23858	6520	9997	3966	phage	frd.3
gene-b0652	1363	1526	759	2133	1038	883	242	307	73	177	126	60	69	23	host	gltL
gene-b2288	22954	29374	13647	36420	24551	17385	4544	5881	1133	2960	1902	871	1500	434	host	nuoA
gene-b3433	22159	26181	10117	27209	20179	12862	8244	8823	2861	6726	4779	1400	1981	706	host	asd
gene-b4311	45	37	11	81	62	45	40	36	9	36	13	3	4	1	host	nanC
gene-b0334	89	84	34	122	79	39	21	19	7	17	9	6	7	4	host	prpD
gene-b1083	11077	11455	5862	15262	11692	9442	4285	5643	1184	2637	1709	736	919	336	host	flgL
gene-b3741	7529	12784	4429	10182	7832	8102	6599	5381	1239	3061	1339	807	1199	411	host	mnmG
gene-T4p262	0	4	43	20962	21442	21617	219082	246073	84319	214880	141855	12059	17532	5720	phage	motA
gene-b0781	21753	15524	7512	22574	13421	7394	1385	1451	568	1489	876	452	605	146	host	moaA
gene-b3116	329	367	118	504	329	216	111	102	28	95	58	16	32	10	host	tdcC
gene-b2578	695	960	404	2177	1710	712	242	269	85	248	131	47	105	19	host	eamB
gene-b2317	2619	2232	1072	2767	1716	1371	734	839	244	451	247	138	207	83	host	dedA
gene-b1725	2638	3658	1437	5487	4307	2246	689	615	201	494	303	146	232	72	host	yniA
gene-b0618	450	547	233	984	653	385	127	156	43	102	55	26	33	6	host	citC
gene-b1566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	flxA
gene-b2152	3166	3493	1586	4741	3607	2535	757	812	271	555	342	177	243	82	host	yeiB
gene-b0843	586	567	303	689	532	374	216	228	44	115	62	30	42	13	host	ybjH
gene-b1326	1983	2510	999	3225	2697	1626	526	448	150	405	218	119	204	60	host	mpaA
gene-b2147	161	289	134	384	332	196	106	77	17	67	36	17	23	6	host	preA
gene-T4p041	0	5	207	1385	679	307	123954	68882	216713	472235	248197	266444	258937	126408	phage	uvsX
