"","0_R1","0_R2","0_R3","1_R1","1_R2","1_R3","4_R2","4_R3","7_R1","7_R2","7_R3","20_R1","20_R2","20_R3"
"gene-b2751",2713.84875006864,2535.83557799649,3174.68914550073,1715.02159214787,3940.61846582137,2194.11752064461,4781.8174294899,2655.50286833108,3009.16370490623,3853.96618693364,3509.13426815417,3008.92378177561,4574.19727874367,3535.50279033346
"gene-b1314",23.2608054939165,25.904449581963,19.5726827712745,18.7099806549227,18.5065072056717,15.8576167720701,26.1966128009621,16.1573188123223,17.6180544783737,27.8984108671515,22.2253401923909,23.7671704721612,25.7338806117787,20.9201348540441
"gene-b1821",446.977523752417,751.695784716242,672.181848316342,1184.48569838472,1436.15566191959,1302.12657721566,936.528907634394,984.646017033287,1229.74020259049,1215.57361635446,1096.45011615795,1240.64629864681,1447.53078441255,1119.22721469136
"gene-b4418",648.923607813237,762.197588600821,915.442334187897,658.987107105595,531.111405423043,962.269017759707,812.094996829824,986.54687807003,609.584684951731,718.716203768045,753.192084297692,537.138052670843,501.810671929685,439.322831934927
"gene-b1084",12807.1880430823,12600.0643007186,14564.3128598593,11837.8407411016,12392.5149552719,13717.1989082218,16062.266020247,19941.9331364792,14756.8824310858,11927.234893585,14876.1610354403,14364.8778333742,12577.4341490068,12761.2822609669
"gene-b1163",75.0689631849122,66.5114246023374,92.8304382866163,103.624508242649,112.813639815396,153.530562384133,268.515281209861,349.758430760859,200.845821053461,201.931354847953,204.967026218716,185.383929682857,164.053488900089,135.980876551287
"gene-b0472",4589.77984768597,4213.09034507368,4823.82747385755,3823.3125853694,4516.60181337324,4409.13826339785,5917.62771307447,7305.00896420641,6871.04124656575,5801.54096461192,7556.61566541291,4344.63876231107,4030.56905081984,4602.42966788971
"gene-b3628",0,0.233373419657324,0,0,0,0,0.935593314320074,0,0,1.32849575557864,0,0,0,0
"gene-b2586",159.653710435517,197.433913030096,205.233559344507,171.628091776887,185.318585854055,181.281391735256,217.057648922257,200.540839376471,162.086101201038,172.704448225223,195.08909724432,185.383929682857,189.787369511868,271.961753102574
"gene-b0737",986.9982694805,1398.840277426,1216.86164886553,1082.30041942322,1106.33421158289,1430.42911291696,1721.49169834894,1558.70605012991,1501.05824155744,1389.60656033526,1163.12613673512,1625.67446029583,1643.75162407737,1558.55004662629
"gene-b0882",15968.8072989088,21471.9882224114,16519.9034784635,19017.0762027876,16804.9225979392,15200.9672775539,10922.1163513725,9397.85696566133,12526.4367341237,12530.3719666177,11628.7918851076,16399.3476257912,16408.5656250854,14842.8356789443
"gene-b1151",0.264327335158141,0,0.559219507750701,0.179903660143488,0.253513797337968,0,0,0,0,0,0,0,0,0
"gene-b4141",340.717935018844,305.719179751095,283.524290429605,431.22907336394,426.917234717138,398.602821588852,236.705108522979,211.946005596933,243.129151801557,255.071185071099,276.582011283087,332.740386610257,318.456772570762,292.881887956618
"gene-b3682",27.4900428564467,26.3711964212776,26.2833168642829,34.0017917671191,30.1681418832182,28.8320304946729,24.3254261723219,27.562485032785,49.3305525394464,30.5554023783087,24.6948224359899,14.2603022832967,19.300410458834,10.4600674270221
"gene-b1014",3697.67509152724,1515.99373409398,3093.60231687688,1357.7329231029,784.371688963673,1316.90299284418,1210.65774873018,2413.14308614625,2385.4845763718,1301.92584046707,3049.81057084475,1825.31869226198,1151.5911573771,2133.8537551125
"gene-b3169",9753.94299467058,10753.1470575505,10369.0481127135,8053.56724998336,8294.21090750629,10556.8479656245,27597.1959924992,26534.1192119067,25362.9512270668,21953.392360937,22015.434201685,15638.7981706821,14629.7111277962,15072.9571623388
"gene-b4421",139.564832963499,152.392843036233,144.278632999681,159.93435386756,186.079127246068,170.10897991857,212.379682350657,278.476141882966,232.558319114533,240.457731759734,249.417706603498,161.616759210696,170.486959053034,156.901011405331
"gene-b3427",1.85029134610699,1.86698735725859,2.2368780310028,2.69855490215231,2.28162417604171,3.2436034306507,12.162713086161,5.70258311023139,3.52361089567475,7.97097453347184,4.93896448719798,9.50686818886448,0,0
"gene-b1126",929.903565086342,1133.96144611494,1121.79433254791,984.25292464502,1197.34566482722,1426.10430834276,2180.86801568009,2639.34554951876,1937.98599262111,1728.37297800781,1597.75501160855,1383.24932147978,1325.2948515066,1516.7097769182
"gene-b0583",44.4069923065678,32.2055319127108,30.1978534185378,41.1979381728586,40.3086937767369,40.7252430737254,26.1966128009621,21.8599019225537,21.1416653740485,21.2559320892582,27.1643046795889,14.2603022832967,32.1673507647234,62.7604045621324
"gene-b1766",1976.63981231258,2165.93870783963,2268.19432343684,1664.82847096783,1762.42791909355,2128.52465126922,2316.5290462565,2952.98762058149,1973.22210157786,1858.56556205452,2294.14900430346,2291.15523351634,1955.77492649518,2259.37456423677
"gene-b1403",3.1719280218977,3.03385445554522,2.7960975387535,2.33874758186534,2.53513797337968,1.44160152473364,1.87118662864015,1.9008610367438,3.52361089567475,0,0,4.75343409443224,0,0
"gene-b3344",325.65127691483,367.563135960286,378.032387239474,406.582271924282,460.888083560426,447.97767381098,256.3525681237,235.706768556231,317.124980610727,338.766417672553,271.643046795889,408.795332121172,450.342910706128,439.322831934927
"gene-b3157",4339.19753395605,4899.20819886621,4189.1133325605,4682.53246621469,4108.19108586177,3340.55113318904,1433.32895753835,1219.40235507115,2149.4026463616,2213.27392879402,2415.15363423981,2932.86883626469,2669.89011347204,2928.81887956618
"gene-b0652",360.278157820547,356.127838397077,424.447606382782,383.734507086059,263.147321636811,318.233536584952,226.413582065458,291.782169140173,257.223595384256,235.143748737419,311.154762693473,285.206045665934,221.954720276591,240.581550821508
"gene-b2288",6067.36965121998,6855.11082901424,7631.66862227382,6552.09130242582,6224.01723844445,6265.5606268736,4251.33602027041,5589.48187854513,3992.25114479949,3932.34743651278,4696.95522732528,4140.24109625048,4825.10261470851,4539.66926332758
"gene-b3433",5857.22941976926,6109.94950004841,5657.62375991384,4894.99868884415,5115.65491648285,4635.46970278103,7713.03128325469,8385.64846359526,10081.0507725254,8935.46245202194,11801.6556421596,6654.80773220513,6372.3521864917,7384.80760347758
"gene-b4311",11.8947300821164,8.634816527321,6.15141458525771,14.5721964716225,15.717855434954,16.2180171532535,37.4237325728029,34.2154986613883,31.7124980610727,47.8258472008311,32.1032691667869,14.2603022832967,12.8669403058894,10.4600674270221
"gene-b0334",23.5251328290746,19.6033672512152,19.0134632635238,21.9482465375055,20.0275899896995,14.055614866153,19.6474596007215,18.0581798490661,24.6652762697232,22.5844278448369,22.2253401923909,28.5206045665934,22.5171455353064,41.8402697080883
"gene-b1083",2927.95389154673,2673.29252217465,3278.14475443461,2745.68966110991,2964.08331847552,3402.90039913377,4009.01735186152,5363.27941517262,4171.9553004789,3503.24330746088,4220.34515431068,3498.52749350213,2956.17953527808,3514.58265547942
"gene-b3741",1990.12050640565,2983.44579689923,2476.78319982785,1831.77906758099,1985.52006075096,2919.96388834799,6173.98028119817,5114.26661935918,4365.75389974101,4066.52550782622,3306.63672417905,3836.02131420682,3856.86535669033,4299.08771250607
"gene-b0781",5749.91252169505,3622.8889667603,4200.85694222326,4061.14522407909,3402.40867407287,2664.80041847014,1295.7967403333,1379.07468215762,2001.41098874326,1978.1301800566,2163.26644539272,2148.55221068337,1946.12472126577,1527.16984434522
"gene-b3116",86.9636932670286,85.648045014238,65.9879019145827,90.6714447123177,83.4060393241914,77.8464823356167,103.850857889528,96.9439128739336,98.6611050788929,126.207096779971,143.229970128741,76.0549455109158,102.935522447115,104.600674270221
"gene-b2578",183.707497934908,224.038482871031,225.924681131283,391.650268132372,433.508593447925,256.605071402589,226.413582065458,255.665809442041,299.506926132353,329.466947383503,323.502173911468,223.411402438315,337.757183029596,198.741281113419
"gene-b2317",692.273290779173,520.889472675148,599.483312308751,497.79342761703,435.029676231953,494.108922602456,686.725492710934,797.411204914023,859.761058544638,599.151585765967,609.962114168951,655.973905031649,665.864160829774,868.185596442832
"gene-b1725",697.295510147177,853.679969106492,803.598432637757,987.131383207316,1091.88392513463,809.459256137941,644.623793566531,584.514768798717,708.245790030624,656.276903255848,748.253119810494,694.001377787107,746.282537741583,753.124854745589
"gene-b0618",118.947300821164,127.655260552556,130.298145305913,177.025201581192,165.544509661693,138.754146755613,118.820350918649,148.267160866016,151.515268514014,135.506567069021,135.821523397945,123.589286455238,106.152257523587,62.7604045621324
"gene-b1566",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-b2152",836.860343110676,815.173354863034,886.922139292612,852.923252740274,914.42426699805,913.614966299947,708.244138940296,771.749580917981,954.898552727856,737.315144346146,844.562927310855,841.357834714506,781.666623582778,857.72552901581
"gene-b0843",154.895818402671,132.322728945703,169.443510848462,123.953621838863,134.869340183799,134.789742562596,202.088155893136,216.698158188793,155.038879409689,152.777011891544,153.107899103137,142.603022832967,135.102873211838,135.980876551287
"gene-b1326",524.161105618595,585.767283339884,558.66028824295,580.189303962747,683.726711420499,586.011019804226,492.122083332359,425.79287223061,528.541634351212,538.040781009349,538.34712910458,565.658657237436,656.213955600357,627.604045621324
"gene-b2147",42.5567009604608,67.4449182809667,74.9354140385939,69.0830054950992,84.1665807162053,70.6384747119485,99.1728913179278,73.1831499146362,59.9013852264707,89.0092156237689,88.9013607695637,80.8083796053481,73.9849067588638,62.7604045621324
"gene-b0683",3783.58147545364,4055.56328680498,3971.57694404548,3934.67295099822,4350.29676231953,4503.92356364909,4597.50554656884,4953.64386175433,4013.39281017354,4134.27879136073,3699.28440091129,3707.67859365715,3782.88044993147,3399.52191378217
"gene-b1602",1654.95344542512,1410.04220156955,1507.65579289589,1317.79431055105,976.78866114319,1228.96529983543,891.62042854703,1160.47566293209,1152.22076288564,894.077643504425,1150.77872551713,1530.60577840718,1112.99033645943,1276.12822609669
"gene-b1357",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-b0622",164.147275133206,122.98779215941,158.818340201199,174.146743018896,149.319626632063,164.342573819635,73.9118718312858,77.9353025064957,91.6138832875434,100.965677423977,101.248771987559,128.34272054967,77.2016418353361,198.741281113419
"gene-b0845",435.347121005459,347.493021869756,447.934825708311,373.659902118024,345.792819568988,441.490466949678,305.003420468344,366.866180091553,352.361089567475,350.722879472761,370.422336539849,394.535029837876,472.860056241434,491.623169070037
"gene-b1153",0,0,0,0.179903660143488,0,0.360400381183411,0,0,0,0,0,0,0,0
"gene-b1773",7.13683804926982,8.634816527321,9.50673163176191,6.11672444487858,8.11244151481497,6.84760724248481,20.5830529150416,14.2564577755785,14.094443582699,7.97097453347184,19.7558579487919,14.2603022832967,3.21673507647234,10.4600674270221
"gene-b1168",13.7450214282234,18.4365001529286,11.7436096627647,21.408535557075,19.5205623950235,25.5884270640222,38.359325887123,42.7693733267354,42.283330748097,55.7968217343029,29.6337869231879,19.013736377729,38.6008209176681,31.3802022810662
"gene-b2304",1328.50918650482,962.665356086463,1149.19608842769,956.36785732278,814.032803252215,974.883031101126,772.800077628381,984.646017033287,1032.4179924327,908.69109681579,1133.49234981194,1031.4951984918,919.986231871089,794.965124453677
"gene-b3705",9440.97942984334,11049.5313005153,12240.1965856473,8046.19119991748,10344.3769865784,15052.1219201252,25206.7550744114,27476.9462861316,18703.3266342416,17500.2745882374,16725.803235896,15985.7988595756,15671.9332925732,15888.8424216465
"gene-b0554",42.8210282956189,23.3373419657324,30.7570729262885,54.8706163437637,55.519521617015,46.1312487914766,34.6169526298427,23.7607629592975,17.6180544783737,27.8984108671515,32.1032691667869,28.5206045665934,28.9506156882511,10.4600674270221
"gene-b2166",3.96491002737212,7.00120258971973,0.559219507750701,7.1961464057395,6.08433113611123,7.20800762366822,9.35593314320074,10.4547357020909,14.094443582699,18.598940578101,7.40844673079697,19.013736377729,0,0
"gene-b0383",47.5789203284655,51.3421523246114,46.9744386510589,49.833313859746,55.266007819677,55.1412583210619,47.7152590303238,39.9180817716197,52.8541634351212,49.1543429564097,59.2675738463758,19.013736377729,80.4183769118085,52.3003371351104
"gene-b1994",0.264327335158141,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-b0467",527.333033640492,437.108415018169,466.948288971835,519.741674154536,505.25299809457,442.571668093229,380.78647892827,353.560152834346,440.451361959343,405.191205451485,491.426966476199,432.562502593334,514.677612235574,460.242966788971
"gene-b0823",136.657232276759,122.521045320095,105.133267457132,147.52100131766,146.277461064007,124.69853188946,106.657637832488,119.754245314859,151.515268514014,135.506567069021,167.924792564731,109.328984171941,122.235932905949,198.741281113419
"gene-b2239",209.875904115564,220.537881576171,204.674339836757,245.928303416147,230.444041780213,219.483832140697,132.85425063345,119.754245314859,144.468046722665,122.221609513235,175.333239295528,128.34272054967,112.585727676532,167.361078832353
"gene-b0940",77.4479092013355,74.9128677100011,64.3102433913306,98.9470130789181,88.7298290682888,81.8108865286343,168.406796577613,150.16802190276,112.755548661592,130.192584046707,116.065665449153,52.2877750387546,119.019197829477,94.1406068431986
"gene-b3405",3894.07030154974,4019.85715359741,3687.49343410812,3258.2351888587,3192.49924987703,2770.0373297757,2294.07480671282,2238.26387076582,2603.94845190364,2544.0693719331,2704.0830567409,3070.71842500323,3435.47306167246,2709.15746359872
"gene-b1538",1088.23563884607,1076.55158487924,1021.69404066053,980.474947782007,846.736083108813,889.468140760658,603.457687736447,665.301362860329,729.387455404672,673.547348078371,805.051211413271,922.166214319854,916.769496794617,805.425191880699
"gene-b2297",20501.7567695358,26999.2042935755,25488.6659437692,24833.0017279063,33018.1439928916,28422.9760620297,48235.4489130857,53412.2942714639,45253.7347331508,41763.9210681257,51965.3148520536,32470.7082990666,38185.8620928031,32781.8513162872
"gene-b2780",15651.8788240542,16377.2130978724,15455.7087552139,29047.4248704276,13880.6409456458,15102.938373872,16236.2863767106,17357.712557026,16039.4767971114,14487.2462145851,14997.1656653767,13366.6566735435,13133.9293172366,12541.6208449995
"gene-b2577",139.564832963499,179.930906555797,144.278632999681,219.842272695342,252.753255945954,185.606196309457,198.345782635856,164.424479678338,179.704155679412,211.230825137004,143.229970128741,166.370193305128,225.171455353064,146.440943978309
"gene-b4129",3438.89863040742,4963.38588927197,4094.60523575063,5201.91433304894,5887.09740178229,4512.57317279749,6841.9939076227,6046.63895788202,7322.06344121212,7176.53407163582,7709.72356451605,4140.24109625048,4468.04502122008,3629.64339717666
"gene-b2089",197.981174033448,164.061514019099,171.121169371714,187.459613869514,176.699116744564,157.134566195967,166.535609948973,151.118452421132,186.751377470762,189.974893047746,185.211168269924,137.849588738535,170.486959053034,146.440943978309
"gene-b1851",1038.54209983634,1297.55621329472,1130.74184467192,1098.67165249628,1175.79699205349,1013.80627226893,1567.11880148612,1433.24922170482,1508.10546334879,1433.44692026935,1585.40760039055,1311.9478100633,1428.23037395372,920.485933577942
"gene-b0908",2668.12012108628,2776.44357366319,3329.03372963992,2073.38968315369,2482.15358973604,3216.21300168076,3101.49183697104,4161.93523995054,2847.07760370519,2938.63261133995,3812.88058411684,3042.19782043663,2956.17953527808,3797.00447600901
"gene-b0246",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-b0929",431586.536008164,395187.314271704,471465.104935938,438834.500596506,355934.639031494,401548.734304646,785540.051789477,986954.612762412,1451248.47793618,1175333.47991798,1887691.98286502,1485671.56591251,1010012.99645632,1465696.02807661
"gene-b2745",1542.61432798291,1282.386941017,1427.12818377979,1042.9015178518,1035.35034832826,1175.2656430391,1646.64423320333,1538.7470092441,1300.21242050398,1258.08548053297,1266.84439096628,1202.61882589136,1379.97934780663,1391.18896779394
"gene-b1333",2957.55855308445,3151.70803247217,3192.58416974875,3627.217595813,3041.4050266636,2364.22650056318,1081.54587135401,976.092142367939,1775.89989142007,1558.32552129375,1624.91931628814,1934.64767643392,2023.3263631011,1861.89200200993
"gene-b1412",428.210282956189,450.644073358293,444.579508661807,335.880133487891,366.83446474804,373.735195287197,459.376317331156,563.605297394536,581.395797786333,552.654234320715,721.088815130905,370.767859365715,398.87514948257,418.402697080883
"gene-b3561",120.533264832113,117.386830087634,116.317657612146,176.485490600761,172.896409784494,172.992182968037,94.4949247463274,104.547357020909,98.6611050788929,110.265147713027,111.126700961955,99.822115983077,93.2853172176979,125.520809124265
"gene-b3565",74.0116538442796,80.7472032014342,62.6325848680785,70.3423311161036,67.4346700918994,56.9432602269789,55.2000055448843,55.1249700655701,35.2361089567475,71.7387708012466,81.4929140387667,66.5480773220513,86.8518470647532,94.1406068431986
"gene-b2272",8.45847472506053,6.53445575040508,6.15141458525771,8.27556836660043,7.35190012280107,5.76640609893457,7.48474651456059,8.55387466534708,10.5708326870242,3.98548726673592,12.347411217995,0,6.43347015294468,10.4600674270221
