"","0_R1","0_R2","0_R3","1_R1","1_R2","1_R3","4_R2","4_R3","7_R1","7_R2","7_R3","20_R1","20_R2","20_R3"
"gene-T4p055",0,0,786.035903661346,889.840248781388,1822.51014689279,2035.41256596226,649.419930670483,569.059558258543,890.367796318047,932.954245377745,740.896426076884,929.815502148322,936.319373382328,981.335369848113
"gene-T4p242",0,2723.40917194897,393.017951830673,34852.0764106043,58493.591510309,71078.9715980847,1891.83556252131,2715.61543485575,510.965082231448,556.486562486451,783.385345388331,253.72047685641,332.376421266357,326.617663378451
"gene-T4p262",0,5446.81834389795,1877.75243652433,77720.1303956477,137599.516090405,182570.595180109,9486.97854578587,13274.2622693482,3511.61991757058,4016.45279279486,4657.85598835031,469.266139633657,582.897210927455,471.06733094421
"gene-T4p041",0,6808.52292987244,9039.41289210548,5135.11976900926,4357.33940049367,2592.82845539591,5367.62006310122,3715.79870053702,9025.41167704163,8826.83164838738,8149.63083952333,10368.4507263082,8609.03805075989,10410.2585961531
"gene-T4p021",0,1361.70458597449,829.704564975865,16287.7842204026,32105.6981158613,40649.1314521841,1876.28966966869,2904.47480668845,871.876599275847,872.767266632401,962.1408915487,390.659488828451,364.726352034804,334.358979656205
"gene-T4p212",0,1361.70458597449,17249.1212192351,24329.7154687644,16864.6361480079,13031.7078393352,3862.69968898698,3453.35915641645,5915.76706093799,5507.94967757272,4905.40155457056,28791.475909851,22083.6320300366,22195.5890847495
"gene-T4p079",0,0,2969.46896938731,2280.21563750231,1995.77695663259,1756.70462124544,1592.52299595504,1476.62027568595,1690.52853679509,1841.02996010019,1491.01958038137,2353.724393046,2289.76334226408,2428.22032393183
"gene-T4p114",0,8170.22751584692,5371.24534168587,3151.51754776741,2586.16756759786,1554.00793417866,3412.17191952004,3013.06489966167,3812.18516318672,3460.02230513333,3634.80555636673,5858.53033600192,4864.62499525727,5992.35527998139
"gene-T4p058",0,0,567.69259708875,292.905748557207,205.35325598792,177.359601183434,421.384633283621,350.854428563235,593.300885277464,614.337090193544,514.92367283007,509.308834524032,519.427511197788,608.187454374649
"gene-T4p140",0,0,3231.48093727442,7975.19322970319,6096.42478714136,3479.62646131308,50.6648875698116,32.7442555562552,53.3912491173458,43.4766809197731,28.632409304159,2321.23104976761,1904.92218230028,3118.59749793625
"gene-T4p250",0,4085.11375792346,1397.39716206462,15631.5270369264,13206.7812757231,7254.85225793188,169.142778502294,104.220595938526,343.669725207752,311.626493677755,229.814487064001,1155.16753918444,856.658084460232,1900.74020947419
"gene-T4p026",0,0,829.704564975865,1012.19328298883,2226.799369619,3327.60394601299,2043.1373720674,2207.72883508286,1545.43094559007,1592.91755144625,1656.37831117924,440.430729610559,418.188519224591,432.690167269385
"gene-T4p191",3902.57888904032,0,1834.08377520981,4616.04629055345,3202.22733556162,1714.47614477319,21.3052347729464,12.7848246570551,29.5692565314474,24.3177824061156,13.5609920213505,1967.73460624559,1591.29741669004,2410.59647623566
"gene-T4p205",3902.57888904032,4085.11375792346,2358.10771098404,470.873798313484,494.131272220932,1334.41985652298,6610.03569495205,8052.38964644699,4497.81709315463,4552.93933439388,5365.75290599752,873.701249444803,930.667278592363,929.369725472974
"gene-T4p224",0,1361.70458597449,1310.05983943558,5865.53030655065,5993.7481591474,7668.69132735989,2433.69003958204,2803.97637489059,1844.3303175988,2110.24519453162,2088.65545394215,1368.84532115047,1313.9125529684,1582.11092565896
"gene-T4p270",3902.57888904032,4085.11375792346,1222.72251680654,14133.629284811,27125.8816581543,36772.5573120319,4979.18925839933,6143.51283077377,1783.90075249017,1946.71231346236,2754.95000623572,152.037715196011,196.82588915643,181.262097099337
"gene-T4p082",0,0,2139.76440441144,452.335459797205,474.879404472064,472.958936489157,2097.82946864917,1544.21261870405,2799.37565672436,2644.13360257611,2615.66252886388,2980.90428959428,3230.27191531426,2968.13595709096
"gene-T4p267",0,1361.70458597449,960.710548919423,107.522363394418,109.093917243582,540.52449884475,3963.76964419035,4086.39678236811,2569.40180522204,2682.13364226222,3222.16394200278,160.55992139717,193.035660885512,155.402806554497
"gene-T4p177",0,5446.81834389795,20480.6021565095,100029.166966138,80338.0441160239,44542.5969829252,711.386985467406,460.253687653985,1971.47812068402,1868.4318578768,1267.2467943632,25380.9590336778,20144.9302694621,25996.245959413
"gene-T4p022",0,0,305.680629201635,122.353034207441,141.180363491695,50.6741717666953,640.109716287996,511.986374768398,717.116941147877,792.58026699963,710.589414852413,260.725029898458,238.950619149875,323.07642295352
"gene-T4p027",0,1361.70458597449,1004.37921023394,5517.0095424446,10582.1099726275,12871.2396287406,2288.19087527899,2630.76088133023,1569.87764077875,1651.62789313542,1801.57614826983,459.45976537479,442.392783972206,440.596192404113
"gene-T4p002",0,1361.70458597449,829.704564975865,163.137378943254,231.02241298641,405.393374133563,1699.78532630583,1456.39112274757,2347.38250019507,2453.3857398133,2199.83588731816,903.665170791342,997.893958976535,737.483907098847
"gene-T4p228",0,5446.81834389795,9563.43682787971,48933.7983475698,39966.8774466489,22119.2759761625,2104.58478699181,1522.25724471493,5068.00398212934,4917.87429496037,3761.61560766566,10385.3394819762,9340.98432606036,12413.1182969509
"gene-T4p081",0,0,1266.39117812106,426.381785874415,385.037354977349,777.003967089329,1407.14147143678,951.57935422132,1955.11091249126,1975.57215668684,1800.8209356391,2240.21171958126,2474.05488003335,2156.7801276395
"gene-T4p037",0,1361.70458597449,1703.07779126625,26724.8688050677,52320.1592521721,60868.1259870956,4782.72208326751,5985.18599377606,2603.67715469441,3000.22743241385,3235.29807471111,1294.44140217049,1333.36240856917,1315.61199507583
"gene-T4p091",0,0,1965.08975915337,7975.19322970319,19713.9125748403,28157.9481116937,5997.94322845693,7838.33823615503,2279.87297225496,2752.50754753434,3087.47341107886,299.522470914691,295.538062282349,257.357589021094
"gene-T4p256",0,0,567.69259708875,600.642167927437,391.454644226972,371.610592955766,1494.48427334132,1428.12425304168,1087.81546563578,1078.59925729815,1089.70615547835,426.499451893597,402.695129976804,489.267659639782
"gene-T4p009",0,6808.52292987244,3580.83022779058,36019.9917371299,71257.5798278081,92607.0489036357,11609.6641216701,13820.6651763158,7011.20389832766,7327.72727902898,8448.76071195555,1401.416492796,1252.17172929214,1293.29394495592
"gene-T4p017",3902.57888904032,6808.52292987244,6768.64250375048,355.936099512555,365.785487228482,929.026482389415,7621.25488685824,6717.64316336886,7307.39622572435,7500.56858103463,7066.82010371685,5294.11901754711,5423.65041760123,5524.08799960573
"gene-T4p229",0,0,2663.78834018567,6481.00314529111,4485.68518548612,2626.61123657371,347.942197968749,198.839087282301,975.910406058319,960.393526370964,659.694650607635,2971.75945645605,2763.50862851238,3614.94763842589
