Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol
gene-AUO97_RS17180	3	0	0	0	0	0	host	gene-AUO97_RS17180
gene-AUO97_RS08455	0	0	0	0	0	0	host	gene-AUO97_RS08455
gene-AUO97_RS07760	3028	2107	655	705	532	367	host	glmS
gene-M172_gp35	3563	4180	29154	46956	157765	129184	phage	gene-M172_gp35
gene-AUO97_RS10170	60	60	26	22	7	2	host	gene-AUO97_RS10170
gene-AUO97_RS10920	3029	2262	638	664	463	299	host	gene-AUO97_RS10920
gene-AUO97_RS03240	101	63	26	33	11	14	host	gene-AUO97_RS03240
gene-AUO97_RS13540	167	123	85	115	64	67	host	gene-AUO97_RS13540
gene-AUO97_RS04845	5	10	0	6	5	2	host	gene-AUO97_RS04845
gene-AUO97_RS07725	6	7	5	5	3	1	host	gene-AUO97_RS07725
gene-AUO97_RS06740	22	28	6	8	7	1	host	gene-AUO97_RS06740
gene-AUO97_RS02250	2574	2007	929	1134	600	443	host	htpX
gene-AUO97_RS09775	48	33	10	13	7	6	host	gene-AUO97_RS09775
gene-AUO97_RS10955	962	705	206	229	135	94	host	ndhC
gene-AUO97_RS18940	69	40	17	30	8	7	host	pgaA
gene-AUO97_RS16235	84	60	35	35	15	17	host	gene-AUO97_RS16235
gene-AUO97_RS00385	180	134	58	59	40	18	host	gene-AUO97_RS00385
gene-AUO97_RS02225	121	107	52	71	23	41	host	gene-AUO97_RS02225
gene-AUO97_RS09840	726	538	254	255	147	114	host	gene-AUO97_RS09840
gene-AUO97_RS11310	72	73	18	34	17	9	host	gene-AUO97_RS11310
gene-AUO97_RS14000	194	144	65	27	45	22	host	tssM
gene-AUO97_RS11165	134	94	33	52	13	9	host	ccsA
gene-AUO97_RS03495	193	133	46	47	26	23	host	gene-AUO97_RS03495
gene-AUO97_RS11205	267	197	77	78	53	35	host	ligA
gene-AUO97_RS06915	0	0	0	0	0	0	host	gene-AUO97_RS06915
gene-AUO97_RS11470	507	398	114	135	74	54	host	cntA
gene-AUO97_RS15420	20955	16726	7167	8463	5141	3717	host	rpsA
gene-AUO97_RS17205	12	21	2	9	0	3	host	gene-AUO97_RS17205
gene-AUO97_RS08780	73	56	17	34	9	10	host	gspN
gene-AUO97_RS06405	825	603	195	238	104	79	host	gene-AUO97_RS06405
gene-AUO97_RS03680	1	1	0	0	0	0	host	cadR
gene-AUO97_RS04175	197	164	37	44	36	25	host	gene-AUO97_RS04175
gene-AUO97_RS07195	14	11	7	18	6	5	host	gene-AUO97_RS07195
gene-AUO97_RS18605	53	25	13	13	7	4	host	gene-AUO97_RS18605
gene-AUO97_RS10320	2625	1975	759	935	528	394	host	gene-AUO97_RS10320
gene-AUO97_RS13185	0	0	0	0	0	0	host	gene-AUO97_RS13185
gene-AUO97_RS16925	1	0	0	0	0	0	host	gene-AUO97_RS16925
gene-AUO97_RS06695	748	615	211	218	124	91	host	gene-AUO97_RS06695
gene-AUO97_RS02835	41	38	21	17	5	0	host	gene-AUO97_RS02835
gene-AUO97_RS19130	0	0	0	0	0	0	host	gene-AUO97_RS19130
gene-AUO97_RS00465	40	25	8	11	3	4	host	gene-AUO97_RS00465
gene-AUO97_RS11865	489	395	128	149	89	68	host	gene-AUO97_RS11865
gene-AUO97_RS05340	0	0	0	0	0	0	host	gene-AUO97_RS05340
gene-AUO97_RS09620	853	643	236	244	120	120	host	gene-AUO97_RS09620
gene-AUO97_RS00890	0	0	0	0	0	0	host	gene-AUO97_RS00890
gene-AUO97_RS08390	0	0	0	0	0	0	host	gene-AUO97_RS08390
gene-AUO97_RS06370	50	45	11	22	16	12	host	gene-AUO97_RS06370
gene-AUO97_RS11850	347	283	115	137	67	34	host	betB
gene-AUO97_RS15960	227	145	51	79	27	25	host	gene-AUO97_RS15960
gene-AUO97_RS18045	57	45	37	44	30	18	host	gene-AUO97_RS18045
gene-AUO97_RS18700	84	59	26	39	14	14	host	tsaE
gene-AUO97_RS03150	127	110	27	25	21	12	host	gene-AUO97_RS03150
gene-AUO97_RS08345	0	0	0	0	0	0	host	gene-AUO97_RS08345
gene-AUO97_RS14970	1491	1400	912	1149	512	374	host	gene-AUO97_RS14970
gene-AUO97_RS04675	589	561	148	142	81	66	host	gene-AUO97_RS04675
gene-AUO97_RS06145	660	568	133	133	53	48	host	gene-AUO97_RS06145
gene-AUO97_RS14590	9	3	1	4	2	2	host	gene-AUO97_RS14590
gene-M172_gp24	36105	39313	99434	120094	75742	56909	phage	gene-M172_gp24
gene-AUO97_RS03195	84874	69640	38813	48820	29861	22185	host	omp38
