Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,treatment
SRR8782490,RNA-Seq,300,2531191800,PRJNA528935,SAMN11250055,749968468,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5572468,GSM3685827,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-16T00:00:00Z,2019-03-25T12:25:00Z,1,GSM3685827,PAO1r,SRP189356,PAO1r,without phiYY phage infection
SRR8782491,RNA-Seq,300,3283050900,PRJNA528935,SAMN11250054,935461654,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5572469,GSM3685828,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-16T00:00:00Z,2019-03-25T12:27:00Z,1,GSM3685828,PAO1r,SRP189356,PAO1r,without phiYY phage infection
SRR8782492,RNA-Seq,300,3134933700,PRJNA528935,SAMN11250053,943011918,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5572470,GSM3685829,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-16T00:00:00Z,2019-03-25T12:27:00Z,1,GSM3685829,PAO1r,SRP189356,PAO1r,without phiYY phage infection
SRR8782493,RNA-Seq,300,2190640200,PRJNA528935,SAMN11250052,686329985,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5572471,GSM3685830,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-16T00:00:00Z,2019-03-25T12:25:00Z,1,GSM3685830,PAO1r,SRP189356,PAO1r,after phiYY phage infection of 6min
SRR8782494,RNA-Seq,300,4024468800,PRJNA528935,SAMN11250051,1296062050,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5572472,GSM3685831,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-16T00:00:00Z,2019-03-25T12:28:00Z,1,GSM3685831,PAO1r,SRP189356,PAO1r,after phiYY phage infection of 6min
SRR8782495,RNA-Seq,300,2813382900,PRJNA528935,SAMN11250050,845497959,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5572473,GSM3685832,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-16T00:00:00Z,2019-03-25T12:25:00Z,1,GSM3685832,PAO1r,SRP189356,PAO1r,after phiYY phage infection of 6min
SRR8782496,RNA-Seq,300,2178461700,PRJNA528935,SAMN11250049,656449031,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5572474,GSM3685833,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-16T00:00:00Z,2019-03-25T12:25:00Z,1,GSM3685833,PAO1r,SRP189356,PAO1r,after phiYY phage infection of 12min
SRR8782497,RNA-Seq,300,2809986000,PRJNA528935,SAMN11250048,832424590,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5572475,GSM3685834,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-16T00:00:00Z,2019-03-25T12:26:00Z,1,GSM3685834,PAO1r,SRP189356,PAO1r,after phiYY phage infection of 12min
SRR8782498,RNA-Seq,300,2517072900,PRJNA528935,SAMN11250047,748744595,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5572476,GSM3685835,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-16T00:00:00Z,2019-03-25T12:26:00Z,1,GSM3685835,PAO1r,SRP189356,PAO1r,after phiYY phage infection of 12min
SRR8782499,RNA-Seq,300,2432876100,PRJNA528935,SAMN11250046,754398328,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5572477,GSM3685836,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-16T00:00:00Z,2019-03-25T12:26:00Z,1,GSM3685836,PAO1r,SRP189356,PAO1r,after phiYY phage infection of 18min
SRR8782500,RNA-Seq,300,2801484900,PRJNA528935,SAMN11250045,826223753,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5572478,GSM3685837,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-16T00:00:00Z,2019-03-25T12:27:00Z,1,GSM3685837,PAO1r,SRP189356,PAO1r,after phiYY phage infection of 18min
SRR8782501,RNA-Seq,300,2919711000,PRJNA528935,SAMN11250044,863156165,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5572479,GSM3685838,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-07-16T00:00:00Z,2019-03-25T12:26:00Z,1,GSM3685838,PAO1r,SRP189356,PAO1r,after phiYY phage infection of 18min
