Geneid	0_R1	0_R2	0_R3	6_R1	6_R2	6_R3	12_R1	12_R2	12_R3	18_R1	18_R2	18_R3	Entity	Symbol
gene-PA3733a	231	281	367	151	345	178	64	112	99	117	125	184	host	gene-PA3733a
gene-PA2175	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA2175
gene-PA3190	486	450	561	145	122	338	124	96	646	149	112	376	host	gene-PA3190
gene-PA3483	659	654	632	495	1206	1424	704	973	1202	728	1017	1527	host	gene-PA3483
gene-PA3519	17	83	51	31	77	44	23	48	19	24	30	22	host	gene-PA3519
gene-PA1737	298	920	590	364	699	259	353	524	216	966	1234	359	host	gene-PA1737
gene-PA3070	1256	2573	1668	1001	1857	1105	718	1122	1159	822	1178	1168	host	gene-PA3070
gene-PA1340	232	453	313	228	330	488	125	219	1301	111	221	790	host	gene-PA1340
gene-PA5359	432	962	648	278	567	327	183	279	331	285	319	302	host	gene-PA5359
gene-PA2165	0	0	0	0	0	0	0	1	0	0	0	0	host	gene-PA2165
gene-PA2211	0	0	0	0	1	0	0	0	1	0	0	0	host	gene-PA2211
gene-PA0173	34	129	44	41	106	28	10	59	19	11	36	26	host	gene-PA0173
gene-PA0805	3739	7306	4224	7036	8673	2868	3638	5417	2649	3808	4208	2708	host	gene-PA0805
gene-PA0267	340	378	472	299	811	540	240	452	420	271	353	399	host	gene-PA0267
gene-PA1758	463	929	649	502	1088	835	383	799	665	392	597	658	host	pabB
gene-PA3099	119	235	159	145	375	156	103	198	153	99	171	249	host	xcpV
gene-PA4998	560	917	1061	987	2186	1320	645	1490	1126	614	1033	1165	host	gene-PA4998
gene-PA5304	7460	14073	6863	1073	1969	959	1000	545	1347	1766	1805	636	host	dadA
gene-PA1279	415	444	361	301	307	157	255	222	466	434	538	556	host	cobU
gene-PA2419	48	74	85	38	51	50	25	38	57	38	40	37	host	gene-PA2419
gene-PA0799	631	909	831	687	1612	1327	670	1190	1136	744	1063	1092	host	gene-PA0799
gene-PA4245	14983	10462	10570	13376	34821	29722	26956	28213	30307	29819	34393	32758	host	rpmD
gene-PA2512	55	127	52	39	101	44	28	59	29	38	52	40	host	antA
gene-PA3668	159	335	198	178	348	333	135	256	216	154	224	224	host	gene-PA3668
gene-PA0971	2143	2899	2947	2201	4687	3225	2949	3493	3977	2216	4210	5044	host	tolA
gene-PA5252	1468	1797	1500	2073	4493	2891	1245	2961	1563	1232	1821	2185	host	gene-PA5252
gene-PA3095	159	276	168	111	277	168	116	210	142	88	227	282	host	xcpZ
gene-PA4162	175	303	224	86	186	107	50	89	102	81	138	87	host	gene-PA4162
gene-PA4677	392	753	464	348	580	328	172	301	289	182	243	328	host	gene-PA4677
gene-PA0021	89	136	121	49	91	39	35	84	50	29	67	70	host	gene-PA0021
gene-PA3939	87	99	113	85	140	137	50	95	121	47	82	96	host	gene-PA3939
gene-PA4166	35	70	60	25	166	44	18	81	50	19	34	52	host	gene-PA4166
gene-PA4179	204	655	383	177	639	576	81	289	435	100	168	202	host	gene-PA4179
gene-PA1128	135	393	154	93	268	129	57	109	176	77	140	139	host	gene-PA1128
gene-PA2545	526	607	591	454	1268	858	399	720	684	460	607	791	host	xthA
gene-PA5104	630	1998	372	293	1099	148	240	491	203	217	729	113	host	gene-PA5104
gene-PA0924	521	714	381	429	742	735	491	365	267	340	349	389	host	gene-PA0924
gene-PA2573	375	962	436	222	354	138	154	200	190	228	265	124	host	gene-PA2573
gene-PA1942	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA1942
gene-PA2190	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA2190
gene-PA2373	218	441	212	337	497	125	140	228	99	135	173	110	host	gene-PA2373
gene-PA3560	159	265	367	156	300	880	327	189	248	418	560	1718	host	fruA
gene-PA1646	391	726	579	196	299	162	86	148	136	136	137	116	host	gene-PA1646
gene-PA2054	0	0	0	0	0	0	0	0	0	0	0	0	host	cynR
gene-PA3600	81	209	139	79	165	80	118	126	98	77	131	116	host	gene-PA3600
gene-PA2814	240	602	378	126	224	47	139	122	123	161	227	148	host	gene-PA2814
gene-PA5563	1318	1931	1824	1332	3431	2328	1669	2300	2461	1834	2139	2607	host	soj
gene-PA1401	79	248	152	47	113	64	33	60	99	51	97	63	host	gene-PA1401
gene-PA4010	392	417	584	453	907	709	365	641	553	476	461	835	host	gene-PA4010
gene-PA4551	933	1305	566	508	860	469	489	801	913	485	823	844	host	pilV
gene-PA1997	0	0	0	0	0	0	0	0	1	0	0	0	host	gene-PA1997
gene-PA3429	89	179	217	96	121	73	37	53	94	75	91	52	host	gene-PA3429
gene-PA2589	50	85	42	25	40	20	22	24	24	15	30	24	host	gene-PA2589
gene-PA3553	114	255	230	67	186	234	106	104	246	144	185	572	host	arnC
gene-PA2774	261	196	224	185	525	672	292	400	603	353	486	816	host	gene-PA2774
gene-PA1757	268	347	303	321	1160	671	246	563	378	325	432	607	host	thrH
gene-PA3087	716	1203	717	435	1243	738	407	697	824	527	763	780	host	gene-PA3087
gene-PA0995	418	969	915	256	470	246	188	235	266	164	313	228	host	ogt
gene-PA2129	0	0	0	0	0	0	0	0	0	0	0	0	host	cupA2
gene-PA5444	275	483	336	206	541	435	222	366	258	221	315	368	host	gene-PA5444
gene-PA2295	19	17	19	18	69	26	24	21	11	8	20	13	host	gene-PA2295
gene-PA4209	124	204	147	71	89	64	48	64	73	56	59	64	host	phzM
gene-PA0873	513	1280	988	384	819	600	142	430	934	233	370	446	host	phhR
gene-PA4134	165	200	270	89	194	117	66	125	107	110	120	143	host	gene-PA4134
gene-PA0505	979	2092	2061	491	1053	566	592	588	517	677	1180	432	host	gene-PA0505
gene-PA2088	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA2088
gene-PA5049	4215	4440	6751	7894	18949	14077	5181	11635	5549	9703	10691	10384	host	rpmE
gene-PA1561	4137	10720	14230	2321	3788	1514	1022	1295	1138	1683	1744	864	host	aer
gene-PA2604	2269	2739	2959	2078	4727	1608	1378	2378	1646	1635	3139	1933	host	gene-PA2604
gene-PA2249	509	7532	1810	2476	5442	583	560	1175	182	407	365	131	host	bkdB
gene-PA0043	194	419	323	145	272	187	107	156	200	119	194	179	host	gene-PA0043
gene-PA1700	32	36	64	17	40	125	13	26	111	24	37	85	host	gene-PA1700
gene-PA0975	449	526	639	1025	1529	808	653	1186	496	1022	564	535	host	gene-PA0975
gene-PA4718	747	1335	1086	566	1006	548	433	544	504	501	609	555	host	gene-PA4718
gene-PA0300	2644	3418	3975	1471	3082	1981	1066	1681	2385	1252	2062	2504	host	spuD
gene-PA2445	8550	14220	1978	9069	17289	2406	4732	7703	1078	3596	3116	436	host	gcvP2
gene-PA4903	36	143	86	58	82	41	25	49	56	22	47	40	host	gene-PA4903
gene-PA2817	237	599	250	381	939	552	331	509	287	340	373	406	host	gene-PA2817
gene-PA0867	1296	668	1880	552	694	853	387	480	911	518	736	920	host	mliC
gene-PA4312	303	951	539	315	649	441	233	371	343	337	371	359	host	gene-PA4312
gene-PA2261	698	1473	930	745	425	100	109	68	43	114	40	32	host	gene-PA2261
gene-PA1289	89	237	151	57	97	67	39	67	58	60	98	78	host	gene-PA1289
gene-PA3614	3463	11614	11753	1180	1597	452	615	612	1024	1258	1052	480	host	gene-PA3614
gene-PA1680	161	342	348	168	296	128	91	148	157	130	194	184	host	gene-PA1680
gene-PA2140	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA2140
gene-PA5369	368	723	588	286	521	318	944	424	318	1847	772	691	host	pstS
gene-PA5042	1638	3814	2335	3688	3772	967	1440	3607	1235	1345	2300	2346	host	pilO
gene-PA5374	2681	4581	5958	1668	1707	1129	613	625	1152	702	829	905	host	betI
gene-PA0785	43	106	110	27	52	38	21	42	42	33	50	44	host	azoR1
gene-PA0395	1166	2145	1439	948	2811	1119	832	2309	1865	837	1577	1579	host	pilT
gene-PA5069	1544	2001	1544	1264	2477	1763	1046	1811	1350	899	1626	1345	host	tatB
gene-PA2061	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA2061
gene-PA1072	129	462	346	306	378	234	94	148	596	87	152	526	host	braE
gene-phiYY_sL3	0	1	0	5409	9261	8874	3719	3439	5422	8808	6166	17607	phage	gene-phiYY_sL3
gene-PA1908	0	0	0	0	0	1	0	0	0	0	0	0	host	gene-PA1908
gene-PA0129	351	631	477	573	890	526	346	702	302	318	374	341	host	gabP
gene-PA3672	191	314	236	129	452	288	116	314	234	124	254	319	host	gene-PA3672
gene-PA0049	106	158	69	57	124	113	155	95	127	170	202	407	host	gene-PA0049
gene-PA3324	163	316	171	166	238	98	105	131	89	87	107	95	host	gene-PA3324
gene-PA1769	1234	2031	1579	1312	2531	1221	893	1493	848	988	1367	1139	host	gene-PA1769
gene-PA0927	350	520	420	323	551	332	222	413	311	264	359	356	host	ldhA
gene-PA0077	860	657	1129	652	637	968	647	467	1450	665	840	1740	host	icmF1
gene-PA4727	2864	3252	2801	3550	6538	3983	3236	4183	3026	2805	3415	3574	host	pcnB
gene-PA5274	746	1247	1808	1481	5047	3927	1158	3174	3342	1118	1543	2551	host	rnk
gene-PA4853	913	607	730	1314	3805	3081	2447	2465	1429	2098	2407	2510	host	fis
gene-PA5347	408	1054	623	422	955	534	232	510	403	330	424	514	host	gene-PA5347
gene-PA3048	915	1173	768	1328	3120	2757	1677	2318	1669	1540	1922	2141	host	gene-PA3048
gene-PA1188	240	515	278	171	377	138	155	188	191	247	376	162	host	gene-PA1188
gene-PA1053	4374	6890	8846	2564	5956	3517	2496	3085	3832	3869	5050	5103	host	gene-PA1053
gene-PA1799	352	442	235	374	806	438	309	468	232	318	363	359	host	parR
gene-PA2191	0	0	0	1	0	0	0	0	0	0	0	0	host	exoY
gene-PA4921	1056	1126	2957	1565	1302	911	433	815	406	405	443	455	host	gene-PA4921
gene-PA4265	82243	50794	77119	60139	106207	91469	88857	93691	105656	111736	125091	122770	host	tufA
gene-PA5369.3	512	481	603	792	943	1258	291	1031	389	707	718	640	host	gene-PA5369.3
gene-PA5514	242	364	319	180	396	237	126	228	273	146	195	218	host	gene-PA5514
gene-PA4577	2185	8779	4976	269	473	156	245	177	403	755	808	238	host	gene-PA4577
gene-PA0290	339	726	447	185	379	198	128	265	288	154	286	252	host	gene-PA0290
gene-PA1411	145	186	142	81	212	111	78	147	127	102	161	129	host	gene-PA1411
gene-PA1588	29378	10847	20231	19894	18719	15525	18423	13670	17088	19226	20766	22978	host	sucC
gene-PA1443	1364	2789	1856	1298	2389	1599	971	1399	1323	1101	1519	1492	host	fliM
gene-PA0447	406	2266	427	347	1639	303	380	1145	425	349	948	356	host	gcdH
gene-PA3259	331	848	463	282	606	359	193	338	323	175	342	321	host	gene-PA3259
gene-PA1197	580	1437	772	445	612	291	189	352	361	291	298	235	host	gene-PA1197
gene-PA2502	313	367	352	419	887	637	386	628	466	428	482	608	host	gene-PA2502
gene-PA3632	503	465	755	773	1061	729	393	834	499	436	440	592	host	gene-PA3632
gene-PA1806	345	584	1081	298	611	645	225	413	428	213	448	587	host	fabI
gene-PA5243	8347	13326	9538	6602	9111	4901	3868	4222	3438	3690	4103	2953	host	hemB
gene-PA2210	0	0	0	0	2	0	0	0	0	0	0	0	host	gene-PA2210
gene-PA1893	0	0	0	0	1	0	0	0	0	0	0	0	host	gene-PA1893
gene-PA3673	912	1045	955	924	2586	1852	962	1732	1489	971	1464	1683	host	plsB
gene-PA4142	110	168	49	84	118	35	30	58	39	31	56	40	host	gene-PA4142
gene-PA3080	195	399	245	306	550	601	373	622	560	235	519	760	host	gene-PA3080
gene-PA4107	16	36	29	10	30	11	6	11	9	6	14	10	host	gene-PA4107
gene-PA1428	94	225	291	211	626	267	92	302	124	65	186	85	host	gene-PA1428
gene-PA5393	57	124	91	36	60	52	27	43	44	25	42	51	host	gene-PA5393
gene-PA2890	20	103	40	23	111	22	13	44	26	12	25	32	host	atuE
gene-PA1068	798	818	743	723	1602	1616	819	978	1526	855	1156	2318	host	gene-PA1068
gene-PA4760	4180	21378	6760	6094	16238	3580	1827	8796	958	1188	5216	1212	host	dnaJ
gene-PA3439	401	647	589	321	923	582	306	615	596	292	488	512	host	folX
gene-PA3859	1220	1325	1424	471	809	596	352	358	516	541	515	394	host	gene-PA3859
gene-PA4940	764	972	1019	2351	3919	2783	1763	3107	1437	1466	1785	2161	host	gene-PA4940
gene-PA4293	114	334	212	214	490	339	114	262	141	123	140	192	host	pprA
gene-PA5053	1522	6329	2119	1283	7683	555	427	2732	315	460	1474	491	host	hslV
gene-PA5226	789	1665	1805	463	1123	681	356	551	725	412	714	609	host	gene-PA5226
gene-PA1548	702	749	592	665	1214	502	445	537	291	414	470	265	host	gene-PA1548
gene-PA2977	733	948	503	963	1948	1748	886	1684	1214	872	1284	1515	host	murB
gene-PA1666	509	219	87	450	237	75	472	145	122	404	231	131	host	gene-PA1666
gene-PA2154	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA2154
gene-PA2465	16	28	16	12	19	10	12	9	20	11	30	22	host	gene-PA2465
gene-PA4414	2060	5485	5237	2505	5649	3750	2144	4163	3230	2296	3057	3480	host	murD
gene-PA1501	123	589	296	55	142	74	47	68	112	46	109	92	host	gene-PA1501
gene-PA1041	397	1067	342	151	273	59	105	93	84	272	268	54	host	gene-PA1041
gene-PA2396	92	213	153	91	149	50	40	71	81	56	65	119	host	pvdF
gene-PA4941	5451	8774	5694	6455	19857	9961	4809	11681	5541	4200	8935	7661	host	hflC
gene-PA2687	112	151	106	88	122	112	237	147	374	72	244	312	host	pfeS
gene-PA3239	238	338	326	168	570	272	156	427	465	170	294	511	host	gene-PA3239
gene-PA2197	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-PA2197
gene-PA4122	315	630	47	628	1270	35	282	326	42	181	153	44	host	gene-PA4122
gene-PA0174	27	106	38	36	80	31	6	61	13	9	18	11	host	gene-PA0174
gene-PA4031	3000	2188	3668	3038	9966	7596	2899	5023	3846	4224	4712	5980	host	ppa
gene-PA4508	49	160	116	75	167	97	42	113	70	39	60	120	host	gene-PA4508
gene-PA3403a	69	164	109	60	114	38	32	30	43	42	52	73	host	gene-PA3403a
gene-PA3931	47	41	41	29	31	30	34	25	34	34	38	62	host	gene-PA3931
gene-PA1775	942	1752	1875	1460	3118	2082	1173	2290	1818	1664	1993	1674	host	cmpX
gene-PA2615	3362	4644	4877	3671	7087	4659	2757	4640	4269	2768	3937	4224	host	ftsK
gene-PA0829	97	157	155	112	133	56	31	101	79	40	60	59	host	gene-PA0829
gene-PA1110	258	506	456	348	704	432	219	450	398	243	362	363	host	gene-PA1110
gene-PA4167	45	69	34	32	121	37	18	51	37	22	34	45	host	gene-PA4167
