Geneid	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier	Ctrl_T	0_T	2_T	5_T	10_T	20_T	30_T	classification
gene-CPT_phageK_gp066	phage	gene-CPT_phageK_gp066	0.9948209774879808	0	0	0	1.6666666666666667	1.4198458756099865	62.37736941281808	326.78575144549427	674.5219731487969	557.0590890524383	296.5119573492951	early
gene-CPT_phageK_gp079	phage	gene-CPT_phageK_gp079	1.0066677386937943	0	0	0	0.0	1.544271480358864	80.07525576823606	302.15161524982983	397.7145254434816	263.28562818096043	148.80073802132287	early
gene-CPT_phageK_gp220	phage	gene-CPT_phageK_gp220	1.051170711056636	0	0	0	1.0	3.61985945689921	224.69805532781777	1702.123627496312	3353.0954028476176	3302.5596670137325	1616.8844186696808	early
gene-CPT_phageK_gp161	phage	gene-CPT_phageK_gp161	0.9957271934321242	0	0	0	0.3333333333333333	3.427490243437289	193.14583473393236	1003.4513037829632	2387.4653629649806	2303.6422630240527	1108.7859062402667	early
gene-CPT_phageK_gp043	phage	gene-CPT_phageK_gp043	0.8534514019370223	0	0	0	0.0	8.50913291592249	210.79463086401495	305.2652394619977	394.8325193102246	266.4352170977399	205.2445988082892	early
gene-CPT_phageK_gp215	phage	gene-CPT_phageK_gp215	1.1290533488042052	0	0	0	1.0	0.6053486384036789	44.7150420386528	352.29855775688856	1017.6855319799093	1845.8430477776926	999.9359289415116	middle
gene-CPT_phageK_gp221	phage	gene-CPT_phageK_gp221	1.054935542870887	0	0	0	0.6666666666666666	2.3412185713788083	150.81672446707924	1366.2549582367767	2915.780109004358	2970.0634997797206	1468.1910468486042	middle
gene-CPT_phageK_gp187	phage	gene-CPT_phageK_gp187	1.5727783704464453	0	0	0	0.3333333333333333	0.0	0.7748104961493786	2.8442826809778183	26.876021555737932	190.32946545790784	264.51534060464553	late
gene-CPT_phageK_gp218	phage	gene-CPT_phageK_gp218	1.200429052617163	0	0	0	0.0	0.12442560474887737	29.23699254397621	283.7980525237934	1101.0585920289036	2223.169106048994	1330.5514244272172	middle
gene-CPT_phageK_gp210	phage	gene-CPT_phageK_gp210	1.0978021997799872	0	0	0	0.6666666666666666	0.6725214862710672	40.98638326773533	413.53233538375844	1469.933856710804	2463.7395563268196	2035.1001430022523	middle
