Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-PPLUZ19_gp23	1.24169307333936	0.0	0.5810322037098906	2.920192799472029	7407.000938645423	11266.750019425432	35152.26316717463	34447.65282004585	phage	gp23	1.2935496323029234	0	0	0
gene-PPLUZ19_gp36	0.0	0.0	150.48734076086168	226.52352715904456	24.536833802656044	110.6660921448266	49678.59751643535	40368.52324968123	phage	gp36	1.7312539748431703	0	0	0
gene-PPLUZ19_gp16	0.0	0.0	2.905161018549453	3.337363199396605	44297.01525031139	44281.349310063626	14533.63895115992	15723.671114121147	phage	gp16	1.2173134375339765	0	0	0
gene-PPLUZ19_gp40	0.0	0.0	56.36012375985939	81.34822798529224	6.245739513403357	27.07787360990438	4746.98370318128	3916.8212097130186	phage	gp40	1.6979484490327883	0	0	0
gene-PPLUZ19_gp44	0.0	0.0	27.88954577807475	24.195883195625385	4.015118258616443	15.304885083858997	457.41920858416665	362.3051830824975	phage	gp44	1.564121015403338	0	0	0
gene-PPLUZ19_gp48	0.0	0.0	87.1548305564836	96.78353278250154	14.275976030636244	46.30708820244517	277.0711065212463	223.36441639737805	phage	gp48	1.050827371579025	0	0	0
gene-PPLUZ19_gp5	0.6208465366696799	0.0	5856.804613395698	4437.441543997711	10167.17167931875	8203.025971997555	1979.0433490340288	1957.9433152824563	phage	gp5	0.8655742667131824	0	0	0
gene-PPLUZ19_gp6	0.0	0.0	2833.113025289427	2151.7649228109613	7336.0671827432	6212.21361224328	1235.9890179088688	1338.317340088056	phage	gp6	0.9727258052794364	0	0	0
gene-PPLUZ19_gp46	0.0	0.0	72.62902546373633	97.6178735823507	9.368609270105036	56.117911974149656	645.0719125462834	519.0029535816344	phage	gp46	1.3683235261568998	0	0	0
gene-PPLUZ19_gp46.1	0.0	0.0	19.755094926136284	37.54533599321181	2.230621254786913	14.912452132990818	326.18825722274	253.27094913677595	phage	gp46.1	1.49290034305899	0	0	0
gene-PPLUZ19_gp31	0.0	0.0	232.41288148395623	302.4485399453173	78.51786816849933	194.64674363061692	14012.745270899975	12784.7312197099	phage	gp31	1.6670838359573563	0	0	0
