Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	relative changes	negligible changes	Genes with too high Zero count	Outlier
gene-T7p48	0.1836151532150939	0.0923093822794601	1.059680932058259	0.5026209167704998	0.4689314453293637	1.5746326854334691	244.1308345877841	321.0179281005455	1888.174982181992	1886.575262637537	2154.905453441794	2235.1807056001367	phage	gene-T7p48	1.2894990700424602	0	0	0
gene-T7p43	1.5056442563637706	0.7384750582356815	4.139378640852574	1.5078627503114992	1.8171093506512843	6.2985307417338765	4893.749693984441	5756.335620725247	15074.248373689676	15053.341025202975	10107.664053822991	9612.584249126452	phage	gene-T7p43	1.145359867681807	0	0	0
gene-T7p49	0.2203381838581127	0.2461583527452271	1.8544416311019527	0.963356757143458	0.9378628906587274	2.204485759606857	405.90017309546425	582.268602792736	3096.1691949997467	3486.886584498226	3481.248348477681	3681.9105344377954	phage	gene-T7p49	1.2832069287350134	0	0	0
gene-T7p05	0.0734460612860375	0.1230791763726135	1.0265659029314385	0.2094253819877082	243.6685022792706	323.96942765161174	1396.7941724867844	1577.2328468631306	354.5182998283599	359.63774327964546	371.7825391809283	374.381678450772	phage	gene-T7p05	1.209182343930138	0	0	0
gene-T7p47	1.4321981950777332	1.0461729991672155	6.72235091274458	2.6387598130451235	1.6412600586527728	14.801547243074609	1049.455863155863	1279.174883718155	14995.395346229923	15820.99527495506	26631.74748390955	28386.861695823776	phage	gene-T7p47	1.4404340175647987	0	0	0
gene-T7p55	0.4039533370732067	0.1230791763726135	1.6557514563410296	0.5026209167704998	0.2930821533308523	2.249475264904956	317.2337624878488	380.6230348637339	2866.2835238814696	2826.2865597154087	4202.923426869072	4105.087056792762	phage	gene-T7p55	1.35233705765796	0	0	0
gene-T7p38	0.5141224290022631	0.3384677350246873	1.4239462524532855	0.2931955347827915	0.4103150146631932	1.979538233116361	2422.564005390645	3030.326222186824	7491.83841802782	7296.704360836562	3493.626622270504	3477.820113313169	phage	gene-T7p38	1.187041261228016	0	0	0
gene-T7p19	0.2203381838581127	0.1538489704657669	1.3908312233264648	0.1675403055901665	0.2930821533308523	0.6298530741733877	364.4354198965153	564.8540531018589	1998.339655278268	2023.261971317092	1644.7468430189924	1716.181002255515	phage	gene-T7p19	1.2095152953173738	0	0	0
gene-T7p36	0.5141224290022631	0.1846187645589203	1.1590260194387207	0.0418850763975416	0.0	1.3946746642410726	907.5668857709668	1066.8924958662335	4103.961069988068	3860.475961354997	2640.350948818574	2749.0771670239656	phage	gene-T7p36	1.2093517441875972	0	0	0
gene-T7p39	0.550845459645282	0.8923240287014484	1.622636427214209	0.5863910695655831	0.2344657226646818	3.3742128973574337	2735.367287399702	3465.75482311682	10132.453866707952	10104.323241822014	5982.09398002416	5794.024598332661	phage	gene-T7p39	1.1882060693414511	0	0	0
gene-T7p52	1.4321981950777332	1.476950116471363	6.987271145759145	2.890070271430373	1.934342211983625	18.130770635133945	516.1509757792448	865.5063625694977	14462.803740313544	15224.651365379566	30883.14162499893	31282.91223016657	phage	gene-T7p52	1.5084413351123764	0	0	0
gene-T7p33	0.8079066741464135	0.3076979409315339	1.0927959611850795	0.2513104583852499	0.3516985839970227	2.204485759606857	1499.6608410392453	1912.9088316867235	7399.344937950622	6930.739256976868	3534.58350713588	3683.8733197919455	phage	gene-T7p33	1.262686294983054	0	0	0
gene-T7p42	4.847440044878481	2.9846700270358792	8.841712776861097	2.722529965840207	2.403273657312989	22.944647702030547	7206.119697723086	8558.42422517577	47621.329290135895	49787.21007768544	45542.275236173125	46475.22417265947	phage	gene-T7p42	1.2625941311170676	0	0	0
gene-T7p41	0.7711836435033947	0.3384677350246873	2.2518219806238005	0.5445059931680414	0.6447807373278751	6.658446784118669	2397.7419545030552	2939.42681290651	12313.137811281267	13514.141788447723	9088.302348849116	10469.693357577136	phage	gene-T7p41	1.23350055889209	0	0	0
gene-T7p07	0.3305072757871691	0.5230864995836078	5.463979805925398	1.3403224447213329	240.26874930063272	302.0595385714375	5649.373819745561	5466.028267219228	2761.724516244418	2723.358874254869	2365.162377761289	2557.86261782257	phage	gene-T7p07	1.0931399453166737	0	0	0
gene-T7p26	0.4773993983592443	0.3076979409315339	0.8609907572973354	0.0837701527950832	0.2344657226646818	1.4396641695391716	3021.814890663126	3551.5628277389064	5623.817137853991	5341.903644988068	2634.4875559693423	2639.435977141088	phage	gene-T7p26	1.0993729677177304	0	0	0
