Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	Entity	Symbol	relative changes	negligible changes	Expression of 0	Rows with missing values	Outlier
gene-PA2589	12	13	4	10	1	2	0	0	host	gene-PA2589	0.9839989676081822	0	1	0	1
gene-PA1795	1379	1066	865	1203	190	188	93	57	host	cysS	0.820855907506411	0	0	0	1
gene-PA2468	785	474	25	30	10	7	4	4	host	foxI	1.6612363132787729	0	0	0	1
gene-PA4119	14	15	17	21	9	4	6	3	host	aph	0.5530784033365829	0	0	0	1
gene-PA2246	30	21	9	21	1	2	0	2	host	bkdR	1.0123627376594846	0	1	0	1
gene-PA1033	22	20	13	11	3	4	3	1	host	gene-PA1033	0.7945462611918145	0	0	0	1
gene-PA2214	3	2	3	1	0	2	0	0	host	gene-PA2214	0.8860722131644512	0	1	0	1
gene-PA3210	25	18	14	25	7	3	2	8	host	trkH	0.6766836834014666	0	0	0	1
gene-PA4724	66	42	179	40	8	5	2	2	host	gene-PA4724	1.3017544428691132	0	0	0	1
gene-PA5368	46	37	42	61	23	27	24	9	host	pstC	0.45101072827833355	0	0	0	1
gene-PA1496	17	24	9	13	0	1	3	4	host	gene-PA1496	0.9004175892070202	0	1	0	1
gene-PA3978	53	53	36	59	15	14	8	10	host	gene-PA3978	0.6543697669387353	0	0	0	1
gene-PA3440	56	46	33	40	8	6	3	3	host	gene-PA3440	0.8339760834842929	0	0	0	1
gene-PA2568	110	65	43	74	8	15	4	5	host	gene-PA2568	0.9096512108537603	0	0	0	1
gene-PA3091	244	166	68	83	16	16	11	8	host	gene-PA3091	1.0587831832868273	0	0	0	1
gene-PA0504	40	35	40	67	13	11	3	1	host	bioD	0.8194351242792162	0	0	0	1
gene-PA4546	65	52	44	67	14	9	6	6	host	pilS	0.7647691387921703	0	0	0	1
gene-PA0925	24	14	26	28	3	8	11	4	host	gene-PA0925	0.6348583322145099	0	0	0	1
gene-PA5178	1018	949	514	609	131	154	62	59	host	gene-PA5178	0.845619037224469	0	0	0	1
gene-PA5205	105	81	17	35	1	11	8	2	host	gene-PA5205	1.1326253734957514	0	0	0	1
gene-PA1439	35	31	22	26	8	6	2	6	host	gene-PA1439	0.7125906729168069	0	0	0	1
gene-PA1503	7	4	4	3	1	0	0	0	host	gene-PA1503	1.0082760031930535	0	1	0	1
gene-PA0730	75	67	36	60	9	6	9	2	host	gene-PA0730	0.8637692614387409	0	0	0	1
gene-PA1695	45	13	14	8	6	6	1	4	host	pscP	1.0780469108000026	0	0	0	1
gene-PA4506	37	34	14	19	2	6	1	2	host	gene-PA4506	0.9442293143668231	0	0	0	1
gene-PA3686	828	1243	398	709	107	144	80	68	host	adk	0.9138141893863942	0	0	0	1
gene-PA0550	26	36	31	67	7	7	10	2	host	gene-PA0550	0.8734863358996253	0	0	0	1
gene-PA4637	22	128	56	92	27	44	28	9	host	gene-PA4637	0.7436139668272507	0	0	0	1
gene-PA2937	4	8	1	2	1	2	0	0	host	gene-PA2937	1.1055415967851332	0	1	0	1
gene-PA5043	1346	1250	700	873	74	82	32	20	host	pilN	0.9682694770440143	0	0	0	1
gene-PA1816	154	243	135	230	28	48	22	19	host	dnaQ	0.7963131792152206	0	0	0	1
gene-PPLUZ19_gp23	2	0	1	7	16603	28710	139558	110577	phage	gp23	1.4164101064301209	0	1	0	1
