Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	15_R1	15_R2	15_R3	Entity	Symbol	relative changes	negligible changes	Outlier
gene-PA2589	12	13	24	4	10	119	1	2	19	0	0	203	host	gene-PA2589	1.7636469063292433	0	1
gene-PA1795	1379	1066	304	865	1203	489	190	188	41	93	57	246	host	cysS	0.9104884733332509	0	1
gene-PA2468	785	474	20	25	30	38	10	7	6	4	4	86	host	foxI	1.900197993026247	0	1
gene-PA4119	14	15	14	17	21	96	9	4	10	6	3	175	host	aph	1.5399941659792091	0	1
gene-PA2246	30	21	8	9	21	101	1	2	8	0	2	72	host	bkdR	1.326126528747515	0	1
gene-PA1033	22	20	28	13	11	125	3	4	15	3	1	122	host	gene-PA1033	1.384118408422284	0	1
gene-PA2214	3	2	21	3	1	222	0	2	23	0	0	306	host	gene-PA2214	2.020168892285132	0	1
gene-PA3210	25	18	37	14	25	323	7	3	33	2	8	253	host	trkH	1.6443306803766629	0	1
gene-PA4724	66	42	25	179	40	97	8	5	15	2	2	177	host	gene-PA4724	1.121316926869314	0	1
gene-PA5368	46	37	19574	42	61	551	23	27	25106	24	9	859	host	pstC	2.1597627840293625	0	1
gene-PA1496	17	24	13	9	13	121	0	1	15	3	4	110	host	gene-PA1496	1.4545833328401327	0	1
gene-PA3978	53	53	66	36	59	138	15	14	388	8	10	815	host	gene-PA3978	1.6493103202406276	0	1
gene-PA3440	56	46	36	33	40	111	8	6	21	3	3	95	host	gene-PA3440	0.8840503234274218	0	1
gene-PA2568	110	65	31	43	74	73	8	15	10	4	5	46	host	gene-PA2568	0.8149405704247558	0	1
gene-PA3091	244	166	38	68	83	176	16	16	16	11	8	176	host	gene-PA3091	0.9417579070159524	0	1
gene-PA0504	40	35	13	40	67	63	13	11	1376	3	1	100	host	bioD	2.531500317262558	0	1
gene-PA4546	65	52	612	44	67	312	14	9	8410	6	6	491	host	pilS	2.7250007499716737	0	1
gene-PA0925	24	14	18	26	28	106	3	8	22	11	4	121	host	gene-PA0925	1.165359924841845	0	1
gene-PA5178	1018	949	273	514	609	444	131	154	297	62	59	256	host	gene-PA5178	0.780365497617993	0	1
gene-PA5205	105	81	71	17	35	191	1	11	45	8	2	186	host	gene-PA5205	1.0305539011905693	0	1
gene-PA1439	35	31	16	22	26	48	8	6	8	2	6	53	host	gene-PA1439	0.7557416633690924	0	1
gene-PA1503	7	4	8	4	3	47	1	0	5	0	0	61	host	gene-PA1503	1.655541097807787	0	1
gene-PA0730	75	67	525	36	60	340	9	6	1966	9	2	179	host	gene-PA0730	1.953948827852476	0	1
gene-PA1695	45	13	11	14	8	65	6	6	6	1	4	81	host	pscP	1.1806627363652247	0	1
gene-PA4506	37	34	31	14	19	130	2	6	23	1	2	246	host	gene-PA4506	1.5212447780046825	0	1
gene-PA3686	828	1243	153	398	709	213	107	144	36	80	68	82	host	adk	1.091533338332117	0	1
gene-PA0550	26	36	29	31	67	206	7	7	27	10	2	215	host	gene-PA0550	1.2928222904521642	0	1
gene-PA4637	22	128	24	56	92	65	27	44	10	28	9	40	host	gene-PA4637	0.7452410528929053	0	1
gene-PA2937	4	8	14	1	2	39	1	2	10	0	0	54	host	gene-PA2937	1.4750043593434918	0	1
gene-PA5043	1346	1250	380	700	873	204	74	82	25	32	20	92	host	pilN	1.1180721258289525	0	1
gene-PA1816	154	243	72	135	230	119	28	48	11	22	19	75	host	dnaQ	0.8015778372250562	0	1
gene-PPLUZ19_gp23	2	0	32	1	7	5694	16603	28710	108874	139558	110577	119010	phage	gp23	1.234121184895338	0	0
gene-PA4733	202	189	77	102	120	310	15	9	25	11	5	266	host	acsB	0.9295470635880405	0	1
gene-PA0027	249	263	60	92	195	194	18	11	18	13	8	476	host	gene-PA0027	1.04914845182179	0	1
gene-PA4819	0	3	11	1	5	195	1	1	15	0	0	398	host	gene-PA4819	2.2249665594062735	0	1
gene-PA0407	643	764	146	256	382	186	49	60	22	17	10	77	host	gshB	1.1165329488894769	0	1
gene-PA4496	209	197	443	279	292	581	32	20	51	14	4	256	host	gene-PA4496	0.8955479858717075	0	1
gene-PA1563	51	48	20	33	37	144	9	8	12	3	4	209	host	gene-PA1563	1.2664596212365222	0	1
gene-PA0532	21	24	29	14	23	220	1	4	19	1	3	118	host	gene-PA0532	1.5632315541515591	0	1
gene-PA3666	94	84	60	142	195	221	34	21	16	11	10	264	host	dapD	0.8905082363355666	0	1
gene-PA3294	45	50	53	23	28	324	9	8	37	6	1	407	host	gene-PA3294	1.5592827152834703	0	1
gene-PA4006	296	369	111	256	490	196	40	69	14	28	12	193	host	nadD	0.8621275660241359	0	1
gene-PA4932	874	1502	1031	847	1756	1463	489	708	128	342	182	203	host	rplI	0.6717603740352659	0	1
